tab 	sites																									
age	age_high	age_low	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
				Ma	10.1139/e76-086		12.9	89.6	9.8	28	6	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	36			-4.3	203.6
				Ma	10.1139/e76-086		17.3	95.2	2.3	13	7	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	37			2	201
				Ma	10.1139/e76-086		33.8	74.5	15.7	4.9	6	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	38			-15.3	214.5
				Ma	10.1139/e76-086		14.3	276.5	0.1	23	6	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	41			3.7	201.2
				Ma	10.1139/e76-086			98	3.6		2	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	42			3	199
				Ma	10.1139/e76-086		8.9	93.5	15.6	58	6	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	43			-4.6	199.2
				Ma	10.1139/e76-086			106.1	1.9		2	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	g	i	44			8.2	192.4
				Ma	10.1139/e76-086		11.6	209.7	83.6	28	7	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	b	i	34				
				Ma	10.1139/e76-086			74	17		6	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	b	i	35				
				Ma	10.1139/e76-086		17.4	355	77.8	11	8	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	b	i	39				
				Ma	10.1139/e76-086		19.5	276.2	46.6	10	7	0	Igneous	Intrusion		Quartz monzonite	Mistastin Pluton		LP-AF; DE-BLANKET	b	i	40				
