tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
SC 2	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	81.0	55	40.9518	250.2012	750	800	Ma	0.0	104.5	36.0	11.5	45.0	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 5	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	80.0	54	40.9518	250.2012	750	800	Ma	0.0	102.6	58.7	12.7	53.0	4.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 6	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	78.0	55	40.9518	250.2012	750	800	Ma	0.0	114.0	31.3	12.6	23.8	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 9	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	43.0	23	40.9518	250.2012	750	800	Ma	0.0	97.5	-8.2	17.1	52.9	3.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 10	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	55.0	31	40.9518	250.2012	750	800	Ma	0.0	81.2	33.3	11.9	108.4	3.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 11	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	39.0	26	40.9518	250.2012	750	800	Ma	0.0	98.1	-12.5	4.1	115.0	12.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 12	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	36.0	27	40.9518	250.2012	750	800	Ma	0.0	95.3	6.5	5.3	69.2	12.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 13	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	38.0	16	40.9518	250.2012	750	800	Ma	0.0	88.7	15.6	6.5	1502.0	2.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 13	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	38.0	16	40.9518	250.2012	750	800	Ma	0.0	82.3	32.9	12.5	98.1	3.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 14	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	39.0	31	40.9518	250.2012	750	800	Ma	0.0	105.3	6.4	3.4	718.1	4.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
