tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
SC 15	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	30.0	28	40.9518	250.2012	750	800	Ma	0.0	108.0	6.4	11.6	63.8	4.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 16	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	41.0	45	40.9518	250.2012	750	800	Ma	0.0	105.9	6.0	9.5	65.6	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 17	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	41.0	38	40.9518	250.2012	750	800	Ma	0.0	90.5	10.2	7.5	48.1	9.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 19	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	40.0	33	40.9518	250.2012	750	800	Ma	0.0	96.2	11.7	9.6	64.6	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 20	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	35.0	34	40.9518	250.2012	750	800	Ma	0.0	97.4	6.0	5.7	64.6	11.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 21	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	52.0	35	40.9518	250.2012	750	800	Ma	0.0	273.1	62.9	20.7	36.5	3.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 22	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	30.0	17	40.9518	250.2012	750	800	Ma	0.0	90.8	22.3	6.4	39.3	14.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 23	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	30.0	17	40.9518	250.2012	750	800	Ma	0.0	98.3	0.5	7.5	56.0	8.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 24	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	357	40.9518	250.2012	750	800	Ma	0.0	95.1	-1.2	3.6	665.2	4.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 26	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	22.0	347	40.9518	250.2012	750	800	Ma	0.0	89.8	-0.4	5.9	55.9	8.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 71	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	33.0	24	40.9518	250.2012	750	800	Ma	0.0	99.5	-1.8	11.3	47.2	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 72	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	25.0	48	40.9518	250.2012	750	800	Ma	0.0	96.4	18.4	15.9	24.0	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 75	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	39.0	24	40.9518	250.2012	750	800	Ma	0.0	89.6	0.1	13.2	22.0	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 77	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	32.0	14	40.9518	250.2012	750	800	Ma	0.0	90.6	11.1	7.5	66.3	8.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 80	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	27.0	26	40.9518	250.2012	750	800	Ma	0.0	86.6	20.7	10.2	36.0	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 83	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	30.0	14	40.9518	250.2012	750	800	Ma	0.0	103.3	-11.1	2.5	502.2	8.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 84	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	95.0	8	40.9518	250.2012	750	800	Ma	0.0	90.9	-0.9	7.3	70.1	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 85	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	30.0	10	40.9518	250.2012	750	800	Ma	0.0	77.2	17.9	8.2	46.4	8.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 86	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	23.0	357	40.9518	250.2012	750	800	Ma	0.0	88.5	9.9	8.3	53.5	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 87	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	35.0	9	40.9518	250.2012	750	800	Ma	0.0	89.6	-11.8	7.3	69.4	7.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 88	Sheep Creek Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	27.0	22	40.9518	250.2012	750	800	Ma	0.0	74.3	10.7	11.6	44.3	5.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 89	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	15.0	337	40.9518	250.2012	750	800	Ma	0.0	99.3	-19.5	11.0	23.0	9.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 90	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	15.0	337	40.9518	250.2012	750	800	Ma	0.0	91.1	-21.8	9.6	50.1	6.0	ChRM	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BL 54	Browne Lake	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone		90	40.8717	250.2097	750	800	Ma							ChRM	-1.6	167.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BL 55	Browne Lake	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	5.0	8	40.8717	250.2097	750	800	Ma	0.0	41.7	57.9	6.4	114.9	5.0	ChRM	-1.6	167.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BL 56	Browne Lake	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	11.0	7	40.8717	250.2097	750	800	Ma	0.0	82.9	-5.8	13.1	35.1	5.0	ChRM	-1.6	167.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
CC 57	Carter Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	12.0	15	40.895	250.2808	750	800	Ma	0.0	263.2	-13.4	5.8		8.0	ChRM	-5.7	160.1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
CC 58	Carter Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	10.0	322	40.895	250.2808	750	800	Ma	0.0	266.4	-6.7	4.4		10.0	ChRM	-5.7	160.1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
CC 59	Carter Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	9.0	7	40.895	250.2808	750	800	Ma	0.0	270.4	-11.8	12.9		5.0	ChRM	-5.7	160.1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
CC 60	Carter Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	5.0	30	40.895	250.2808	750	800	Ma	0.0	272.0	-5.0	3.4		4.0	ChRM	-5.7	160.1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
CC 61	Carter Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	1.0	11	40.895	250.2808	750	800	Ma	0.0	263.9	-5.9	11.7		9.0	ChRM	-5.7	160.1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 29	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	0.0	90	40.9434	250.2747	750	800	Ma	0.0	98.7	-20.1	30.7	4.8	7.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 29	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	0.0	90	40.9434	250.2747	750	800	Ma	0.0	281.1	-42.2	14.3	30.3	5.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 30	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	4.0	197	40.9434	250.2747	750	800	Ma	0.0	290.9	-72.2	8.1	69.2	6.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 31	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	3.0	307	40.9434	250.2747	750	800	Ma	0.0	107.1	3.3	20.6	8.2	8.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 32	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	0.0	90	40.9434	250.2747	750	800	Ma	0.0	282.0	-36.1	24.0	11.1	5.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 33	Dowd Springs (flat)	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	7.0	222	40.9434	250.2747	750	800	Ma	0.0	97.0	-14.7	19.9	39.5	3.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 34	Dowd Springs (flat)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	7.0	222	40.9434	250.2747	750	800	Ma	0.0	101.9	-5.0	10.8	23.7	9.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 35	Dowd Springs (flat)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	4.0	189	40.9434	250.2747	750	800	Ma	0.0	103.8	-7.2	8.8	31.1	10.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 36	Dowd Springs (flat)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	6.0	192	40.9434	250.2747	750	800	Ma	0.0	108.7	-23.0	9.3	31.4	9.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 37	Dowd Springs (flat)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	10.0	210	40.9434	250.2747	750	800	Ma	0.0	107.6	6.6	12.4	18.3	9.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 38	Dowd Springs (flat)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	12.0	192	40.9434	250.2747	750	800	Ma	0.0	91.7	-12.7	10.7	13.7	15.0	ChRM	11.2	155.6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 39	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	19.0	153	40.9434	250.2747	750	800	Ma	0.0	261.7	-0.2	11.5	48.33	4.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 40	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	19.0	153	40.9434	250.2747	750	800	Ma	0.0	257.8	-38.7	12.7	64.1	4.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 41	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	19.0	153	40.9434	250.2747	750	800	Ma	0.0	261.2	-19.4	8.5	139.59	3.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 42	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	14.0	311	40.9434	250.2747	750	800	Ma	0.0	271.2	-0.6	14.8	46.69	3.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 43	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	14.0	311	40.9434	250.2747	750	800	Ma	0.0	276.4	8.2	12.2	32.1	3.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
DS 44	Dowd Springs (fold)	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	14.0	311	40.9434	250.2747	750	800	Ma	0.0	271.4	-6.8	7.9	103.9	5.0	ChRM	-4.7	156.7	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
