site,dec,inc
WAB,58,21
WAC,128,17
WAD,79,15
WAE,90,40
WAF,257,-16
WAG,111,27
WAH,94,18
WAI,109,37
WAJ,72,18
WBA,280,-5
WBB,266,-25
WBC,300,-7
WBD,274,-28
WBE,64,35
WBG,76,24
WBH,86,17
WBI,82,23
WBJ,126,22
WCA,96,42
WCB,65,39
WCC,50,37
WCD,89,8
WCE,40,30
