site,N,dec,inc,k,a95,Plon,Plat
26,6,50.4,19.7,15,17.9,75,27
27,6,280.8,47.4,176,5.1,230,30
28,6,61.8,-26.5,22,14.7,1,75
29,6,285.1,39.5,186,4.9,222,27
30,5,298,46.8,157,6.1,214,38
31,5,276.4,52.4,91,8.1,236,31
32,5,266.2,-23.5,,,220,13
