site,Reference,unit,candidate_merge,locality,region,Area,lat,lon,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,Pol,vgp_lat,vgp_lon,result_quality,Notes,accepted,exclusion
N1m,"DuBois, 1962",N1m,,N1m,Nipigon Embayment,Nipigon,48.921879,271.610634,137.71107554573075,-70.1915588862405,31.84002573389344,63.63314419943252,2,R,63.6051726269982,209.388228439883,b,Below a dam on Black Sturgeon River,True,
N9-11,"DuBois, 1962",Doghead Mountain,,N9-11,Nipigon Embayment,Nipigon,49.000493,271.771438,138.6485256215548,-72.28524098379613,6.965187262816448,174.9798069896921,4,R,64.308835550785,216.659402257008,g,Lower contact of the sill east of Nipigon,True,
N12-15,"DuBois, 1962",Red Rock North,,N12-15,Nipigon Embayment,Nipigon,48.974358,271.710327,133.65819899541546,-72.04511606006834,5.097454490677984,119.04519153909864,8,R,61.5876701623504,215.943617625043,g,SW and S of Nipigon,True,
N16-18,"DuBois, 1962",N16-18,Doghead Mountain,N16-18,Nipigon Embayment,Nipigon,48.903885,271.622022,115.04412673935428,-68.09020739722742,10.124057122615376,83.32987764391164,4,R,49.604247973215,210.427252885474,g,"Hwy 17 and a river crossing, 2 miles SW of N1m? Same or not?",True,
N19-21,"DuBois, 1962",N19-21,,N19-21,Nipigon Embayment,Nipigon,49.334,271.868,116.49133365702006,-72.03441498904816,10.84384649406004,39.1278509499237,6,R,52.6119977100511,218.531754834583,g,"Hwy 11 South of Orient Bay, opposite of reflection lake",True,
N22-23,"DuBois, 1962",N22-23,,N22-23,Nipigon Embayment,Nipigon,49.244,271.637,93.27278603215493,-71.7294658740687,12.326746377482978,56.52402976911761,4,R,40.7418858715606,225.079867123961,g,Road cut on Pine Portage road north of Lake Maria,True,
N24m,"DuBois, 1962",N24m,,N24m,Nipigon Embayment,Nipigon,49.098599,271.639313,133.0384974189064,-73.16470333376117,12.34941926138058,411.0705257619179,2,R,61.4038980296379,219.380217410077,b,Road cut on Pine Portage road 3 miles south of Cameron Falls,True,
N25m,"DuBois, 1962",N25m,,N25m,Nipigon Embayment,Nipigon,49.04552,271.681488,105.32835972195888,-77.51532959259146,15.556482548087937,259.8257618503327,2,R,49.5297314418986,234.70743016459,b,2 miles NW of Nipigon,True,
N29 BCT,"DuBois, 1962",Red Rock North,,N29 BCT,Nipigon Embayment,Nipigon,48.959595,271.737457,145.59399706856337,-73.66109185762963,5.730223111892566,258.0691477550813,4,R,67.6149506997783,223.096501865524,g,BCT of N27-29,True,
N27-29,"DuBois, 1962",Red Rock North,,N27-29,Nipigon Embayment,Nipigon,48.959595,271.737457,113.16725493069858,-86.25316439029511,5.492537873475321,2069.618466392082,2,R,51.3917916585676,260.696946895252,b,Lower part of the sill on Cliffs at Red Rock,True,
S1,"Robertson and Fahrig, 1971",S1,,S1,Nipigon Embayment,Nipigon,49.262876,271.87786800000003,111.0,-71.0,9.0,71.0,5,R,49.1735320767309,217.7896400772,g,Northern most area of their sampling,True,
S8,"Robertson and Fahrig, 1971",S8,N19-21,S8,Nipigon Embayment,Nipigon,49.364489,271.876495,108.0,-75.0,11.0,77.0,4,R,49.8122044069764,227.756198593629,g,Northern most area of their sampling,True,
S2,"Robertson and Fahrig, 1971",Quimet,,S2,Nipigon Embayment,Nipigon,48.758905,271.420814,116.0,-64.0,8.0,90.0,5,R,47.7362492870058,202.485722917619,g,Our Nipigon sill MA fairly close in the same area as this..,True,
S5,"Robertson and Fahrig, 1971",Colville Lake,,S5,Nipigon Embayment,Nipigon,49.038543,270.727131,53.0,-69.0,7.0,70.0,7,R,21.0226408314118,239.326437516745,g,"Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?",True,
S6,"Robertson and Fahrig, 1971",Colville Lake,,S6,Nipigon Embayment,Nipigon,49.010177,270.714428,53.0,-75.0,10.0,65.0,5,R,28.6107362624934,245.265278725248,g,"Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?",True,
S9,"Robertson and Fahrig, 1971",S9,,S9,Nipigon Embayment,Nipigon,49.018058,271.564938,183.0,-76.0,24.0,107.0,2,R,75.4298826140664,276.89194761932,b,,True,
S13,"Robertson and Fahrig, 1971",Red Rock North,,S13,Nipigon Embayment,Nipigon,48.986301,271.670555,148.0,-88.0,26.0,10.0,5,R,52.3252586116303,268.207731502458,b,,True,
S14,"Robertson and Fahrig, 1971",Kama Hill,,S14,Nipigon Embayment,Nipigon,48.986751,271.985725,84.0,-62.0,14.0,47.0,4,R,27.835811453123,216.970471296858,g,"Same as Pes79 R47, dated B20 @ 1106.3 +- 3.6 Ma",True,
S11,"Robertson and Fahrig, 1971",Red Rock North,,S11,Nipigon Embayment,Nipigon,48.962,271.726,,,,,1,,,,b,Excluded!,False,"flagged ""Excluded!"" in the source compilation"
R42,"Pesonen, 1979",Quimet,,R42,Nipigon Embayment,Nipigon,48.747021,271.374809,129.0,-64.2,6.8,78.0,7,R,55.9888723853025,196.419004548314,g,North of Sibley peninsula and West of Black Bay,True,
R43,"Pesonen, 1979",R43,,R43,Nipigon Embayment,Nipigon,48.658258,271.272341,130.5,-58.3,14.4,74.0,3,R,53.6906752236316,184.821244955098,g,Just a little N of Sibley peninsula,True,
R44,"Pesonen, 1979",Steward Lake,,R44,Nipigon Embayment,Nipigon,48.897847,271.448465,123.8,-67.1,8.7,48.0,7,R,54.2553503127185,204.810692501628,g,Little N of Black Bay,True,
R46,"Pesonen, 1979",Red Rock North,,R46,Nipigon Embayment,Nipigon,48.985174,271.670212,131.8,-64.6,12.4,30.0,6,R,58.0321523938568,195.831992754029,g,A little NW of town Red Rock in Nipigon Bay,True,
R47,"Pesonen, 1979",Kama Hill,,R47,Nipigon Embayment,Nipigon,48.992383,271.980286,96.9,-75.4,3.0,490.0,6,R,44.8837915895503,231.637460213034,g,"North shore of Nipigon Bay, same sill as R&F S14&15?",True,
R48,"Pesonen, 1979",R48,,R48,Nipigon Embayment,Nipigon,49.082074,271.11766,71.7,-67.6,10.4,55.0,5,R,26.8888547607576,228.49925169349,g,"North of Sibley peninsula, more north than R44",True,
R49,"Pesonen, 1979",R49,,R49,Nipigon Embayment,Nipigon,48.992383,271.980286,50.1,-77.3,11.1,123.0,3,R,30.9989252327759,250.402428306843,g,"North shore of Nipigon Bay,, same sill as R&F S14&15?",True,
M5,Middleton et al. 2004,Steward Lake,,Hele 1,Nipigon Embayment,Nipigon,48.941,271.555,202.5,-82.2,11.8,20.1,9,R,62.5706184053108,284.234966445811,b,"L, Hele 1",True,
M13,Middleton et al. 2004,Hele 2,,Hele 2,Nipigon Embayment,Nipigon,48.941,271.555,302.1,44.1,6.0,87.5,16,N,40.0086550470341,175.997056946271,g,"L & T, Hele 2",False,normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint
M1,Middleton et al. 2004,Disraeli,,Disraeli,Nipigon Embayment,Nipigon,49.136,270.997,84.3,-75.6,6.2,50.3,12,R,40.0207154304473,234.587872304358,b,"L, Disreali",True,
M10,Middleton et al. 2004,Geikie,,Geikie,Nipigon Embayment,Nipigon,49.506,270.681,129.5,-54.7,10.1,36.6,7,R,50.9026240320385,178.81396587062,b,"L, Geikie",True,
M11,Middleton et al. 2004,Rift,,Rift,Nipigon Embayment,Nipigon,49.0,271.0,110.9,-77.2,12.6,10.2,15,R,51.62109601403077,232.5032731913579,g,"L & T, Rift, location not reported in the text or map",True,
M4,Middleton et al. 2004,Steward Lake,,Hele 1,Nipigon Embayment,Nipigon,48.941,271.555,292.4,-84.9,28.6,3.8,10,R,44.2922871120225,284.673520090926,b,"T, Hele 1",True,
M6,Middleton et al. 2004,Hele 2,,Hele 2,Nipigon Embayment,Nipigon,48.941,271.555,326.4,53.6,23.4,3.5,10,N,61.1650399970504,163.294335330958,b,"T, Hele 2",False,normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint
M7,Middleton et al. 2004,Havoc,,Havoc,Nipigon Embayment,Nipigon,49.926,270.921,135.1,-61.4,35.4,6.6,9,R,58.5702928606683,184.839742854145,b,"T, Havoc",True,
M8,Middleton et al. 2004,Havoc,,Havoc,Nipigon Embayment,Nipigon,49.926,270.921,98.1,-77.5,17.0,4.0,24,R,47.4173477360705,234.54725316618,b,"L, Havoc",True,
M14,Middleton et al. 2004,Hele 2,,Hele 2,Nipigon Embayment,Nipigon,48.941,271.555,126.5,-61.8,32.6,1.4,11,R,53.128894385024,193.084696567583,b,"L, Hele 2",True,
SI,Borradaile & Middleton 2006,Seagull Intrusion,,SI,Nipigon Embayment,Nipigon,49.027149,271.047148,87.4,-75.7,4.0,38.28125,32,R,41.2347511034604,233.938307181443,g,"AFD, Seagull Intrusion, 1107.8 +- 1.4 Ma",True,
IS,Borradaile & Middleton 2006,Inspiration Sills,,IS,Nipigon Embayment,Nipigon,50.294,270.981,102.1,-70.3,4.0,40.833333333333336,30,R,44.705317954928,217.757527758939,g,"AFD, T, Inspiration Sills (Logan Sills), dated to 1105.5 +- 3 Ma B2020",True,
PL_ST,Borradaile & Middleton 2006,PL_ST,,PL_ST,Nipigon Embayment,Nipigon,50.211,270.897,108.3,-70.1,11.0,4.153422335240517,39,R,47.7525360903146,214.990992360498,b,"L,T, Pillar Lake Lava surface L+T, baked by Nipigon sills",False,Pillar Lake Lava; age relative to the sills unconstrained
PL_SAF,Borradaile & Middleton 2006,PL_SAF,,PL_SAF,Nipigon Embayment,Nipigon,50.211,270.897,114.3,-65.2,12.0,6.8055555555555545,20,R,47.9934994209413,203.331326173559,b,"L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",False,Pillar Lake Lava; age relative to the sills unconstrained
PL_BHT,Borradaile & Middleton 2006,PL_BHT,,PL_BHT,Nipigon Embayment,Nipigon,50.204,270.847,112.7,-66.1,4.0,39.516129032258064,31,R,47.6318099233252,205.616763813884,g,"L,T, Pillar Lake Lava  borehole L+T, baked by Nipigon sills",False,Pillar Lake Lava; age relative to the sills unconstrained
PL_BHAF,Borradaile & Middleton 2006,PL_BHAF,,PL_BHAF,Nipigon Embayment,Nipigon,50.204,270.847,133.2,-69.5,17.0,6.782006920415223,10,R,61.3671855564882,205.202799587153,b,"L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",False,Pillar Lake Lava; age relative to the sills unconstrained
P8m,"DuBois, 1962",P8m,,P8m,Thunder Bay-Logan,Pigeon,48.117689,270.650841,17.59391359182524,-83.92185775212,138.20329460278433,5.942521933488782,2,R,36.5544364321965,266.15524624377,b,"Jarvis Bay, may be cut by P9 dyke",True,
SN5-15,"DuBois, 1962",Terry Fox,,SN5-15,Thunder Bay-Logan,Pigeon,48.48339,270.814506,69.64338126687318,-71.63061378621549,5.120840283952887,80.46390903233862,11,R,29.745106646925,234.131432143437,g,Hwy 17 near Current River,True,
SN30-35m,"DuBois, 1962",Mt Mackay,,SN30-35m,Thunder Bay-Logan,Pigeon,48.345497,270.717195,163.8324190615621,-43.092980835559274,46.659306284078944,2.0332338545859616,10,R,63.4801618941362,125.116467703719,b,"Mt Mackay near Fort William, DuBois used/suggested great circle fitting!! 1106.3 +- 2 Ma Bleeker et al. 2020",True,
SN30-35m,"DuBois, 1962",Mt Mackay,,SN30-35m,Thunder Bay-Logan,Pigeon,48.345497,270.717195,114.77945491192084,-48.22623648318841,14.216007931823905,76.25496052272186,3,R,37.4485687473212,184.429547108675,b,Great circle fitting gave a direction close to the mean direction!!!! 1106.3 +- 2 Ma Bleeker et al. 2020,True,
M9,Middleton et al. 2004,Terry Fox,,Terry Fox,Thunder Bay-Logan,Thunder Bay,48.486,270.831,89.6,-80.2,5.3,32.3,24,R,44.9298472102309,243.366414324028,b,"L, Terry Fox",True,
M2,Middleton et al. 2004,Middleton SW,,Middleton SW,Thunder Bay-Logan,Thunder Bay,48.093,270.397,119.8,-66.0,25.4,4.1,16,R,50.946477322725,204.05851649228,b,"T, SW",True,
