site,location,result_type,result_quality,method_codes,citations,geologicl_classes,geologic_types,lithologies,lat,lonW,lon,age,age_low,age_high,age_unit,dir_tilt_correction,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,Pol,vgp_lat,vgp_lon,vdp_dp,vgp_dm,Area,Notes,Notes2,Description,Reference,Sill/dyke name for dublicates
S1,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,49.262876,-88.122132,271.87786800000003,1107.5,1106.9,1108.2,Ma,0.0,111.0,-71.0,9.0,71.0,5,R,49.1735320767309,217.7896400772,13.6572232902976,15.6789674157884,Nipigon,Northern most area of their sampling,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Northern most area of their sampling","Robertson and Fahrig, 1971",
S8,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,49.364489,-88.123505,271.876495,1107.5,1106.9,1108.2,Ma,0.0,108.0,-75.0,11.0,77.0,4,R,49.8122044069764,227.756198593629,18.3186494958655,20.075116161782,Nipigon,Northern most area of their sampling,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Northern most area of their sampling","Robertson and Fahrig, 1971",
S2,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.758905,-88.579186,271.420814,1107.5,1106.9,1108.2,Ma,0.0,116.0,-64.0,8.0,90.0,5,R,47.7362492870058,202.485722917619,10.1490142527809,12.7430070252077,Nipigon,Our Nipigon sill MA fairly close in the same area as this..,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Our Nipigon sill MA fairly close in the same area as this..","Robertson and Fahrig, 1971",Quimet
S5,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,49.038543,-89.272869,270.727131,1107.5,1106.9,1108.2,Ma,0.0,53.0,-69.0,7.0,70.0,7,R,21.0226408314118,239.326437516745,10.1062399578057,11.8948459178452,Nipigon,"Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?","AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?","Robertson and Fahrig, 1971",Colville Lake
S6,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,49.010177,-89.285572,270.714428,1107.5,1106.9,1108.2,Ma,0.0,53.0,-75.0,10.0,65.0,5,R,28.6107362624934,245.265278725248,16.6533177235141,18.25010560162,Nipigon,"Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?","AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Westernmost area of their sampling, could this be the McIntyre diabase, younger 1100.8+4.4 Ma sill in Nipigon?","Robertson and Fahrig, 1971",Colville Lake
S9,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,49.018058,-88.435062,271.564938,1107.5,1106.9,1108.2,Ma,0.0,183.0,-76.0,24.0,107.0,2,R,75.4298826140664,276.89194761932,40.8309572517182,44.2705991385081,Nipigon,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",
S13,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.986301,-88.329445,271.670555,1107.5,1106.9,1108.2,Ma,0.0,148.0,-88.0,26.0,10.0,5,R,52.3252586116303,268.207731502458,51.8106876533089,51.9052575176357,Nipigon,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",Red Rock North
S14,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.986751,-88.014275,271.985725,1107.5,1106.9,1108.2,Ma,0.0,84.0,-62.0,14.0,47.0,4,R,27.835811453123,216.970471296858,16.8551773297083,21.7242943552105,Nipigon,"Same as Pes79 R47, dated B20 @ 1106.3 +- 3.6 Ma","AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Same as Pes79 R47, dated B20 @ 1106.3 +- 3.6 Ma","Robertson and Fahrig, 1971",Kama Hill
S11,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.962,-88.274,271.726,1107.5,1106.9,1108.2,Ma,0.0,,,,,1,,,,,,Nipigon,Excluded!,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Nipigon: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Excluded!","Robertson and Fahrig, 1971",Red Rock North
R42,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.747021,-88.625191,271.374809,1107.5,1106.9,1108.2,Ma,0.0,129.0,-64.2,6.8,78.0,7,R,55.9888723853025,196.419004548314,8.67193006717132,10.859937795104,Nipigon,North of Sibley peninsula and West of Black Bay,5-10 mT steps until 100 mT: thermal demag used to shows stability,Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:North of Sibley peninsula and West of Black Bay,"Pesonen, 1979",Quimet
R43,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.658258,-88.727659,271.272341,1107.5,1106.9,1108.2,Ma,0.0,130.5,-58.3,14.4,74.0,3,R,53.6906752236316,184.821244955098,15.7518095165695,21.2991106405221,Nipigon,Just a little N of Sibley peninsula,5-10 mT steps until 100 mT: thermal demag used to shows stability,Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:Just a little N of Sibley peninsula,"Pesonen, 1979",
R44,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.897847,-88.551535,271.448465,1107.5,1106.9,1108.2,Ma,0.0,123.8,-67.1,8.7,48.0,7,R,54.2553503127185,204.810692501628,11.9649110769749,14.4287716989134,Nipigon,Little N of Black Bay,5-10 mT steps until 100 mT: thermal demag used to shows stability,Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:Little N of Black Bay,"Pesonen, 1979",Steward Lake
R46,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.985174,-88.329788,271.670212,1107.5,1106.9,1108.2,Ma,0.0,131.8,-64.6,12.4,30.0,6,R,58.0321523938568,195.831992754029,15.9798340061729,19.9072821689222,Nipigon,A little NW of town Red Rock in Nipigon Bay,5-10 mT steps until 100 mT: thermal demag used to shows stability,Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:A little NW of town Red Rock in Nipigon Bay,"Pesonen, 1979",Red Rock North
R47,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.992383,-88.019714,271.980286,1107.5,1106.9,1108.2,Ma,0.0,96.9,-75.4,3.0,490.0,6,R,44.8837915895503,231.637460213034,5.03940442988024,5.49876591421034,Nipigon,"North shore of Nipigon Bay, same sill as R&F S14&15?",5-10 mT steps until 100 mT: thermal demag used to shows stability,"Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:North shore of Nipigon Bay, same sill as R&F S14&15?","Pesonen, 1979",Kama Hill
