site,location,result_type,result_quality,method_codes,citations,geologicl_classes,geologic_types,lithologies,lat,lonW,lon,age,age_low,age_high,age_unit,dir_tilt_correction,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,Pol,vgp_lat,vgp_lon,vdp_dp,vgp_dm,Area,Notes,Notes2,Description,Reference,Sill/dyke name for dublicates
M8,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT,10.1029/2003JB002581,Igenous,Sill,Diabase,49.926,-89.079,270.921,1107.5,1106.9,1108.2,Ma,0.0,98.1,-77.5,17.0,4.0,24,R,47.4173477360705,234.54725316618,29.8104845934015,31.8364017466743,Nipigon,"L, Havoc",Liquid nitrogen cycling (5 treatments),"Nipigon: Liquid nitrogen cycling (5 treatments):L, Havoc",Middleton et al. 2004,
M14,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,48.941,-88.445,271.555,1107.5,1106.9,1108.2,Ma,0.0,126.5,-61.8,32.6,1.4,11,R,53.128894385024,193.084696567583,39.0439577660464,50.4545939072571,Nipigon,"L, Hele 2",Liquid nitrogen cycling (5 treatments),"Nipigon: Liquid nitrogen cycling (5 treatments):L, Hele 2",Middleton et al. 2004,
SI,Ontario MCR sills and intrusives,i,g,DE-BFL: LP-AF,10.1016/j.precamres.2005.10.007,Igenous,Intrusion,Intrusives,49.027149,-88.952852,271.047148,1107.5,1106.9,1108.2,Ma,0.0,87.4,-75.7,4.0,38.28125,32,R,41.2347511034604,233.938307181443,6.76232232589587,7.35517359463167,Nipigon,"AFD, Seagull Intrusion, 1107.8 +- 1.4 Ma",,"Nipigon: :AFD, Seagull Intrusion, 1107.8 +- 1.4 Ma",Borradaile & Middleton 2006,
IS,Ontario MCR sills and intrusives,i,g,DE-BFL: LP-AF,10.1016/j.precamres.2005.10.007,Igenous,Sill,Diabase,50.294,-89.019,270.981,1107.5,1106.9,1108.2,Ma,0.0,102.1,-70.3,4.0,40.833333333333336,30,R,44.705317954928,217.757527758939,5.96614374619999,6.90862866056643,Nipigon,"AFD, T, Inspiration Sills (Logan Sills), dated to 1105.5 +- 3 Ma B2020",,"Nipigon: :AFD, T, Inspiration Sills (Logan Sills), dated to 1105.5 +- 3 Ma B2020",Borradaile & Middleton 2006,
PL_ST,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT: LP-T,10.1016/j.precamres.2005.10.007,Igenous,Lava,Basaltic Lava,50.211,-89.103,270.897,1107.5,1106.9,1108.2,Ma,0.0,108.3,-70.1,11.0,4.153422335240517,39,R,47.7525360903146,214.990992360498,16.325625407992,18.9516162628896,Nipigon,"L,T, Pillar Lake Lava surface L+T, baked by Nipigon sills",,"Nipigon: :L,T, Pillar Lake Lava surface L+T, baked by Nipigon sills",Borradaile & Middleton 2006,
PL_SAF,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT: LP:AF,10.1016/j.precamres.2005.10.007,Igenous,Lava,Basaltic Lava,50.211,-89.103,270.897,1107.5,1106.9,1108.2,Ma,0.0,114.3,-65.2,12.0,6.8055555555555545,20,R,47.9934994209413,203.331326173559,15.7086552530744,19.4166867944504,Nipigon,"L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",,"Nipigon: :L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",Borradaile & Middleton 2006,
PL_BHT,Ontario MCR sills and intrusives,i,g,DE-BFL: LP-LT: LP-T,10.1016/j.precamres.2005.10.007,Igenous,Lava,Basaltic Lava,50.204,-89.153,270.847,1107.5,1106.9,1108.2,Ma,0.0,112.7,-66.1,4.0,39.516129032258064,31,R,47.6318099233252,205.616763813884,5.36042450418253,6.5485415195645,Nipigon,"L,T, Pillar Lake Lava  borehole L+T, baked by Nipigon sills",,"Nipigon: :L,T, Pillar Lake Lava  borehole L+T, baked by Nipigon sills",Borradaile & Middleton 2006,
PL_BHAF,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT: LP:AF,10.1016/j.precamres.2005.10.007,Igenous,Lava,Basaltic Lava,50.204,-89.153,270.847,1107.5,1106.9,1108.2,Ma,0.0,133.2,-69.5,17.0,6.782006920415223,10,R,61.3671855564882,205.202799587153,24.854970703779,29.0700705869195,Nipigon,"L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",,"Nipigon: :L,AF, Pillar Lake Lava surface L+AF, baked by Nipigon sills",Borradaile & Middleton 2006,
P8m,Ontario MCR sills and intrusives,i,b,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.117689,-89.349159,270.650841,1107.5,1106.9,1108.2,Ma,0.0,17.59391359182524,-83.92185775212,138.20329460278433,5.942521933488782,2,R,36.5544364321965,266.15524624377,267.40057558538,271.863052090201,Pigeon,"Jarvis Bay, may be cut by P9 dyke",Not clear from the publication if ether blanket 20 mT or NRM was used,"Pigeon: Not clear from the publication if ether blanket 20 mT or NRM was used:Jarvis Bay, may be cut by P9 dyke","DuBois, 1962",
SN5-15,Ontario MCR sills and intrusives,i,g,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.48339,-89.185494,270.814506,1107.5,1106.9,1108.2,Ma,0.0,69.64338126687318,-71.63061378621549,5.120840283952887,80.46390903233862,11,R,29.745106646925,234.131432143437,7.85846952924443,8.95301006356483,Pigeon,Hwy 17 near Current River,Not clear from the publication if ether blanket 20 mT or NRM was used,Pigeon: Not clear from the publication if ether blanket 20 mT or NRM was used:Hwy 17 near Current River,"DuBois, 1962",Terry Fox
SN30-35m,Ontario MCR sills and intrusives,i,b,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.345497,-89.282805,270.717195,1107.5,1106.9,1108.2,Ma,0.0,163.8324190615621,-43.092980835559274,46.659306284078944,2.0332338545859616,10,R,63.4801618941362,125.116467703719,35.9239986201351,57.9249641443187,Pigeon,"Mt Mackay near Fort William, DuBois used/suggested great circle fitting!! 1106.3 +- 2 Ma Bleeker et al. 2020",Not clear from the publication if ether blanket 20 mT or NRM was used,"Pigeon: Not clear from the publication if ether blanket 20 mT or NRM was used:Mt Mackay near Fort William, DuBois used/suggested great circle fitting!! 1106.3 +- 2 Ma Bleeker et al. 2020","DuBois, 1962",Mt Mackay 1106.3 B20
SN30-35m,Ontario MCR sills and intrusives,i,b,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.345497,-89.282805,270.717195,1107.5,1106.9,1108.2,Ma,0.0,114.77945491192085,-48.22623648318841,14.216007931823905,76.25496052272186,3,R,37.4485687473212,184.429547108675,12.1823804270561,18.6005269852333,Pigeon,Great circle fitting gave a direction close to the mean direction!!!! 1106.3 +- 2 Ma Bleeker et al. 2020,Not clear from the publication if ether blanket 20 mT or NRM was used,Pigeon: Not clear from the publication if ether blanket 20 mT or NRM was used:Great circle fitting gave a direction close to the mean direction!!!! 1106.3 +- 2 Ma Bleeker et al. 2020,"DuBois, 1962",Mt Mackay 1106.3 B20
M9,Ontario MCR sills and intrusives,i,b,DE-BFL: DE-FM: LP-LT,10.1029/2003JB002581,Igenous,Sill,Diabase,48.486,-89.169,270.831,1107.5,1106.9,1108.2,Ma,0.0,89.6,-80.2,5.3,32.3,24,R,44.9298472102309,243.366414324028,9.75238312087361,10.1673625430226,Thunder Bay,"L, Terry Fox",Liquid nitrogen cycling (5 treatments),"Thunder Bay: Liquid nitrogen cycling (5 treatments):L, Terry Fox",Middleton et al. 2004,Terry Fox
M2,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-T,10.1029/2003JB002581,Igenous,Sill,Diabase,48.093,-89.603,270.397,1107.5,1106.9,1108.2,Ma,0.0,119.8,-66.0,25.4,4.1,16,R,50.946477322725,204.05851649228,33.9503182032501,41.5292206130227,Thunder Bay,"T, SW",Min 8 thermal steps until 560,"Thunder Bay: Min 8 thermal steps until 560:T, SW",Middleton et al. 2004,
M15,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-T,10.1029/2003JB002581,Igenous,Sill,Diabase,48.498,-89.173,270.827,1107.5,1106.9,1108.2,Ma,0.0,202.0,71.1,25.5,1.9,24,N,15.7128906269428,258.12591492754,38.7901288403325,44.4780459424305,Thunder Bay,"T, Terry Fox",Min 8 thermal steps until 564,"Thunder Bay: Min 8 thermal steps until 564:T, Terry Fox",Middleton et al. 2004,
M3,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT,10.1029/2003JB002581,Igenous,Sill,Diabase,48.093,-89.603,270.397,1107.5,1106.9,1108.2,Ma,0.0,119.1,-61.4,21.0,3.5,6,R,47.9378889917591,196.39903929778,24.889808011225,32.3322120565768,Thunder Bay,"L, SW",Liquid nitrogen cycling (5 treatments),"Thunder Bay: Liquid nitrogen cycling (5 treatments):L, SW",Middleton et al. 2004,
TI,Ontario MCR sills and intrusives,,g,DE-BFL: LP--DIR-AF: LP-DIR-T,Piispa et al. manuscript in review?,Igenous,Intrusion,Gabbro,48.5313,-89.2985,270.7015,1107.5,1106.9,1108.2,Ma,,116.4,-63.5,10.0,32.0,7,R,47.6042844876107,200.978808424802,12.5213060566124,15.8248576970615,Thunder Bay,"Thunder Intrusion, dated at 1108.0 ± 1.0 by Trevisan et al. 2015",,"Thunder Bay: :Thunder Intrusion, dated at 1108.0 ± 1.0 by Trevisan et al. 2015",Piispa et al. manuscript in preparation,
M12,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT: LP-T,10.1029/2003JB002581,Igenous,Sill,Diabase,48.307,-89.338,270.66200000000003,1107.5,1106.9,1108.2,Ma,0.0,105.3,-76.0,21.7,7.5,16,R,48.2939211526063,230.348514430186,36.9179905150952,40.028000054401,Thunder Bay?,"L & T, Fox Mountain",,"Thunder Bay?: :L & T, Fox Mountain",Middleton et al. 2004,
S3,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.492947,-89.161713,270.838287,1107.5,1106.9,1108.2,Ma,0.0,97.0,-68.0,8.0,71.0,6,R,39.2894230549353,217.12950916709,11.2597531494195,13.4222222597717,Logan,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Logan: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",Terry Fox
S7,Ontario MCR sills and intrusives,i,g,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.344869,-89.28714,270.71286,1107.5,1106.9,1108.2,Ma,0.0,131.0,-55.0,10.0,92.0,4,R,52.0971307977572,179.53076313019,10.0655783247777,14.1884307270238,Logan,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Logan: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",
S10,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.312885,-89.662857,270.33714299999997,1107.5,1106.9,1108.2,Ma,0.0,105.0,-62.0,11.0,558.0,2,R,39.5672857803295,204.438859835032,13.2433536161994,17.0690884219511,Logan,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Logan: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",
S12,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.353511,-89.784608,270.215392,1107.5,1106.9,1108.2,Ma,0.0,134.0,-66.0,66.0,17.0,2,R,59.8897049220152,197.742957534098,88.2173622604138,107.910573246436,Logan,,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Logan: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:","Robertson and Fahrig, 1971",
S4,Ontario MCR sills and intrusives,i,b,DE-BLANKET: LT-AF: LT-T-Z,10.1139/e71-125,Igenous,Sill,Diabase,48.344869,-89.28714,270.71286,1107.5,1106.9,1108.2,Ma,0.0,111.0,-48.0,63.0,2.4,5,R,34.8174427629894,186.907196955988,53.7724510015994,82.3123856184567,Logan,Excluded!,"AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.","Logan: AF cleaning 40mT, thermal stable to 550C. OP (MAGN + ILM intergrowths, some PYRR). Contact Test Parameters: 2 baked contacts agree, but no unbaked data.:Excluded!","Robertson and Fahrig, 1971",
R45,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.560704,-88.82486,271.17514,1107.5,1106.9,1108.2,Ma,0.0,123.5,-69.3,2.7,2001.0,3,R,54.9164952088121,210.161442681236,3.92774864028001,4.60541449356212,Logan,Same as Terry Fox based on Ontario geol map,5-10 mT steps until 100 mT: thermal demag used to shows stability,Logan: 5-10 mT steps until 100 mT: thermal demag used to shows stability:Same as Terry Fox based on Ontario geol map,"Pesonen, 1979",Terry Fox?
R41,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.559341,-88.741749,271.258251,1107.5,1106.9,1108.2,Ma,0.0,100.7,-64.7,13.0,50.0,4,R,38.9881079923035,210.976285754683,16.7969048037925,20.8978354117981,Sibley,Sleeping giant?,5-10 mT steps until 100 mT: thermal demag used to shows stability,Sibley: 5-10 mT steps until 100 mT: thermal demag used to shows stability:Sleeping giant?,"Pesonen, 1979",
N32-34,Ontario MCR sills and intrusives,i,b,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.326,-88.913,271.087,1107.5,1106.9,1108.2,Ma,0.0,122.63898534886042,-70.09668996682873,31.768471628504365,9.332532127043734,4,R,54.6193849588601,212.561156420233,47.1958989067406,54.7873997418083,Sibley tip,Eastern scarp of Sleeping giant,Not clear from the publication if ether blanket 20 mT or NRM was used,Sibley tip: Not clear from the publication if ether blanket 20 mT or NRM was used:Eastern scarp of Sleeping giant,"DuBois, 1962",
N31m,Ontario MCR sills and intrusives,i,b,DE-BLANKET: DE-NRM: LT-AF ,"Dubois, P. M. (1962). Paleomagnetism and correlation of Keweenawan rocks, Geol. Survey Canada Bull, 71, 1-75.",Igenous,Sill,Diabase,48.327039,-88.920277,271.079723,1107.5,1106.9,1108.2,Ma,0.0,125.52197001185758,-66.12824993574259,48.07220999788493,29.131143934881532,2,R,54.6229476051878,202.377121590713,64.5093793395617,78.7769147178654,Sibley tip,"Sleeping giant sill, cuts through Animikie and Sibley sediments",Not clear from the publication if ether blanket 20 mT or NRM was used,"Sibley tip: Not clear from the publication if ether blanket 20 mT or NRM was used:Sleeping giant sill, cuts through Animikie and Sibley sediments","DuBois, 1962",
R40,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.811838,-87.491354,272.508646,1107.5,1106.9,1108.2,Ma,0.0,122.0,-77.3,5.7,179.0,5,R,56.0451038913039,233.907723305753,9.95635743639401,10.6537540226387,Osler,On an island south of Rossport,5-10 mT steps until 100 mT: thermal demag used to shows stability,Osler: 5-10 mT steps until 100 mT: thermal demag used to shows stability:On an island south of Rossport,"Pesonen, 1979",Channel Island sill?
