tab 	locations
age	age_high	age_low	age_unit	citations	description	dir_tilt_correction	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	result_quality	result_type	sites
	1745.0	1736.0	Ma	10.1016/j.precamres.2003.10.002	Site directions and U-Pb baddeleyite age from Irving et al. (2004); pole calculated as Fisher mean of site VGPs (Table 2 of source). Pole based on 17 Cleaver Dyke sites; site 172 is an additional Cleaver Dyke (re-sampling of Irving et al. 1972a site 144) excluded from the published mean. Sites 24, 32, 33, 35, 36 are baked-contact-test and country-rock controls on Labine Group host rock	0	Igneous	65.79	65.58	Diabase	Cleaver Dykes	Region	242.12	241.85	LP-DIR-T:LP-DIR-AF:DE-FM:DE-VGP:ST-G:ST-C:DE-BFL:GM-UPB-CC	7.0	27.1	20.4	274.9	17	Cleaver Dykes ca. 1740 Ma pole	g	a	5:6:8:9:10:15:18:19:21:22:23:26:27:30:31:34:37
	1880.0	1860.0	Ma	10.1016/j.precamres.2003.10.002:10.1139/cjes-2015-0026	Sites 32, 33, 35, 36 are baked-contact-test and country-rock controls on Labine Group host rock. Site 24 is a conglomerate test from Breccia in the Labine Group	0	Igneous	65.65	65.07	Tuff:Andesite:Volcaniclastic Breccia	Labine Group	Region	241.95	241.93	LP-DIR-T:LP-DIR-AF:DE-FM:ST-G:ST-C:DE-BFL						Cleaver baked-contact and conglomerate tests in the Labine Group	g	a	24:32:33:35:36
779.6			Ma	10.1016/j.precamres.2003.10.002	Site 45 is the unrelated ~780 Ma Gunbarrel Gabbro (Hottah sheet)	0	Igneous	65.67	65.67	Gabbro	Hottah Gabbro	Region	241.85	241.85	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL						Gunbarrel Gabbro ca. 780 Ma	g	a	45
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		6.0	132.1	64.6	53	6	0	Igneous	Volcanic Dike	65.72	Diabase	Cleaver Dykes	241.87	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	5	9.6	7.7	28.1	277.3
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		7.9	168.0	65.3	39	5	0	Igneous	Volcanic Dike	65.72	Diabase	Cleaver Dykes	241.92	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	6	12.8	10.4	23.5	250.7
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		4.2	147.2	51.3	117	6	0	Igneous	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.87	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	8	5.7	3.9	10.9	269.8
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		4.2	143.5	49.7	107	6	0	Igneous	Volcanic Dike	65.68	Diabase	Cleaver Dykes	241.85	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	9	5.6	3.7	10.2	273.2
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		5.4	143.4	68.4	67	6	0	Igneous	Volcanic Dike	65.63	Diabase	Cleaver Dykes	242.12	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	10	9.1	7.7	30.6	267.6
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		3.3	126.2	56.8	177	6	0	Igneous	Volcanic Dike	65.62	Diabase	Cleaver Dykes	241.98	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	15	4.8	3.5	21.1	285.4
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		4.5	141.5	53.0	118	6	0	Igneous	Volcanic Dike	65.79	Diabase	Cleaver Dykes	241.92	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	18	6.2	4.3	13.7	274.2
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		9.7	116.9	52.6	33	6	0	Igneous	Volcanic Dike	65.79	Diabase	Cleaver Dykes	241.93	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	19	13.4	9.2	20.1	294.6
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		3.6	162.0	52.9	143	6	0	Igneous	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.93	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	21	5.0	3.4	10.1	257.1
	1745.0	1736.0		Ma	10.1016/j.precamres.2003.10.002		4.6	136.1	59.8	90	6	0	Igneous	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.93	LP-DIR-T:LP-DIR-AF:DE-FM:DE-BFL	g	i	22	6.9	5.2	21.7	276.4
