tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_sites	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	continent_ocean	country	description
Midsommerso Dolerites	Region	Midsommerso Dolerites ca. 1382 Ma pole	a	g	DL-01:DL-02:DL-03:DL-04:DL-06:DL-08:DL-09:DL-10:DL-11:DL-12	LP-DIR-AF:DE-FM:DE-VGP	10.1111/j.1365-246X.1983.tb03321.x:10.1007/s00410-004-0634-7	Intrusive	Diabase	81.8	81.8	327.8	327.8	1382	1380	1384	Ma	100	265.6	14.5	7.9	38.8	10	6.9	242.9	6.3	59.8	10	0	Greenland	Greenland	Paleomagnetic pole for the Midsommerso Dolerites, quartz-tholeiitic dolerite sills, sheets and dykes intruding the Mesoproterozoic Independence Fjord Group sandstones of eastern North Greenland (Marcussen & Abrahamsen, 1983). The pole is the Fisher mean of the bedding-corrected site virtual geomagnetic poles, reported at the positive-latitude antipode. The single-polarity characteristic remanence is carried by titanomagnetite to near-pure magnetite (thermomagnetic Curie points) and was isolated by alternating-field demagnetization. The pole is used in the reconstructed Laurentia frame after rotating Greenland to North America. Age from U-Pb baddeleyite dating of the associated Zig-Zag Dal intrusions (1382 +/- 2 Ma; Upton et al., 2005), superseding the paper's Rb-Sr ca. 1250 Ma.
>>>>>>>>>>
tab delimited	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon	vgp_dp	vgp_dm
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	5.6	75.5	-14.4	74	10	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-01	-5.2	73.2	2.9	5.7
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.6	83.2	-10.4	183	10	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-02	-4.2	65.3	1.8	3.6
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	8.2	80.1	-9.1	55	7	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-03	-3.1	68.2	4.2	8.3
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.5	79.0	-8.6	220	9	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-04	-2.7	69.3	1.8	3.5
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.3	82.9	-12.1	240	9	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-06	-5.0	65.7	1.7	3.4
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.0	101.4	-35.5	251	10	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-08	-21.0	49.4	2.0	3.5
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	1.8	101.8	-28.6	662	10	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-09	-16.8	48.3	1.1	2.0
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	4.1	84.4	-12.5	114	12	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-10	-5.5	64.2	2.1	4.2
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	4.8	90.9	-10.3	81	12	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-11	-5.3	57.7	2.5	4.9
1382	1384	1380	Ma	10.1111/j.1365-246X.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	5.6	81.5	-2.6	68	11	100	Intrusive	Sill	81.8	Diabase	Midsommerso Dolerites	327.8	LP-DIR-AF:DE-FM	g	i	DL-12	-0.1	66.4	2.8	5.6
