tab	sites
site	study	member	member_age	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_unit	dir_comp_name	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	description
AW-12-20	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.16525	248.146738	Ma	ChRM	100	285.0	7.0	7.0	53	6	14.2	152.1	Carbon Canyon member; Weil et al. (2004)
AW-13-1	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.279811	248.113842	Ma	ChRM	100	264.0	-5.0	11.0	31	7	-6.3	159.6	Carbon Canyon member; Weil et al. (2004)
AW-13-2	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.277885	248.113658	Ma	ChRM	100	259.0	10.0	15.0	16	7	-5.8	168.7	Carbon Canyon member; Weil et al. (2004)
AW-13-3	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.278323	248.11634	Ma	ChRM	100	245.0	22.0	14.0	21	7	-12.5	182.6	Carbon Canyon member; Weil et al. (2004)
AW-13-6	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	247.0	-5.0	12.0	31	7	-19.9	170.1	Carbon Canyon member; Weil et al. (2004)
AW-13-7	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	263.0	2.0	17.0	22	6	-5.0	163.1	Carbon Canyon member; Weil et al. (2004)
AW-13-8	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	267.0	10.0	14.0	24	7	0.6	163.9	Carbon Canyon member; Weil et al. (2004)
AW-13-9	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	259.0	-7.0	15.0	27	6	-10.9	161.8	Carbon Canyon member; Weil et al. (2004)
AW-13-10	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	263.0	13.0	14.0	25	7	-1.7	167.6	Carbon Canyon member; Weil et al. (2004)
AW-13-11	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.273822	248.106226	Ma	ChRM	100	269.0	-5.0	19.0	13	7	-2.3	156.7	Carbon Canyon member; Weil et al. (2004)
