tab	sites
site	study	member	member_age	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_unit	dir_comp_name	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	description
A1304-1B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	0	123.6	-40.6			1			Awatubi member; Eyster et al. (2020)
A1304-1B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	100	101.8	-22.0			1	-16.2	340.6	Awatubi member; Eyster et al. (2020)
A1304-2A	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	0	129.6	-50.3			1			Awatubi member; Eyster et al. (2020)
A1304-2A	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	100	97.7	-32.0			1	-16.2	348.0	Awatubi member; Eyster et al. (2020)
A1304-2B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	0	122.2	-42.0			1			Awatubi member; Eyster et al. (2020)
A1304-2B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.268	248.114	Ma	ChRM	100	100.0	-22.4			1	-14.9	341.8	Awatubi member; Eyster et al. (2020)
A1305-1A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	0	287.6	51.2			1			Carbon Butte member; Eyster et al. (2020)
A1305-1A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	100	273.3	23.2			1	9.8	166.0	Carbon Butte member; Eyster et al. (2020)
A1305-4A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	0	298.7	53.4			1			Carbon Butte member; Eyster et al. (2020)
A1305-4A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	100	279.1	28.2			1	16.0	165.2	Carbon Butte member; Eyster et al. (2020)
A1305-4B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	0	275.9	54.8			1			Carbon Butte member; Eyster et al. (2020)
A1305-4B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.114	Ma	ChRM	100	264.8	24.2			1	3.3	171.4	Carbon Butte member; Eyster et al. (2020)
A1306-1A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.276	248.11	Ma	ChRM	0	104.9	10.2			1			Carbon Butte member; Eyster et al. (2020)
A1306-1A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.276	248.11	Ma	ChRM	100	106.1	-2.8			1	-13.8	329.6	Carbon Butte member; Eyster et al. (2020)
A1307-2B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.11	Ma	ChRM	0	111.2	-11.9			1			Awatubi member; Eyster et al. (2020)
A1307-2B	Eyster et al. (2020)	Awatubi	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.274	248.11	Ma	ChRM	100	101.5	-33.4			1	-19.7	346.7	Awatubi member; Eyster et al. (2020)
A1310-2A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	0	102.4	-20.3			1			Carbon Butte member; Eyster et al. (2020)
A1310-2A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	100	107.0	-24.3			1	-21.1	338.7	Carbon Butte member; Eyster et al. (2020)
A1310-2B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	0	88.8	-8.8			1			Carbon Butte member; Eyster et al. (2020)
A1310-2B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	100	90.9	-15.6			1	-5.4	344.1	Carbon Butte member; Eyster et al. (2020)
A1310-3A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	0	98.6	-27.6			1			Carbon Butte member; Eyster et al. (2020)
A1310-3A	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	100	105.0	-32.2			1	-22.1	344.2	Carbon Butte member; Eyster et al. (2020)
A1310-3B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	0	106.2	-10.7			1			Carbon Butte member; Eyster et al. (2020)
A1310-3B	Eyster et al. (2020)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1130/B32012.1	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.167	248.161	Ma	ChRM	100	108.7	-14.1			1	-19.3	332.9	Carbon Butte member; Eyster et al. (2020)
