tab	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2b(10.5 to 10.6)	4.4	107.4	-67.3	202.47933884297518	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7916	Basalt	Osler reverse lower	272.3461	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2b(10.5 to 10.6)	44.7	212.8
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2b(2.2 to 2.6)	4.2	120.0	-62.4	138.88888888888889	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7921	Basalt	Osler reverse lower	272.3454	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2b(2.2 to 2.6)	49.3	198.7
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2c(0.0 to 2.1)	4.4	108.7	-39.2	168.73278236914598	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7903	Basalt	Osler reverse lower	272.3455	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2c(0.0 to 2.1)	28.7	184.0
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2c(2.1 to 18.6)	2.4	111.3	-47.3	567.1296296296297	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7902	Basalt	Osler reverse lower	272.3455	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2c(2.1 to 18.6)	34.7	187.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(103.3 to 110.3)	6.1	84.0	-68.1	87.79002060378036	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7799	Basalt	Osler reverse lower	272.3705	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(103.3 to 110.3)	32.9	224.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(12.5 to 20.1)	6.2	109.1	-73.7	84.98092265001733	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7823	Basalt	Osler reverse lower	272.3682	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(12.5 to 20.1)	49.3	225.3
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(124.8 to 130.4)	5.0	81.5	-63.7	156.8	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7791	Basalt	Osler reverse lower	272.3708	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(124.8 to 130.4)	27.8	220.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(2.3 to 5.5)	4.5	135.4	-69.3	161.31687242798355	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7828	Basalt	Osler reverse lower	272.3674	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(2.3 to 5.5)	62.0	208.0
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(20.1 to 28.9)	1.9	108.1	-69.3	603.2625423207141	9.0	r	100	Extrusive:Igneous	Lava Flow	48.7821	Basalt	Osler reverse lower	272.3684	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(20.1 to 28.9)	46.7	216.0
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(36.9 to 48.4)	4.3	99.6	-70.5	176.67207499549306	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7817	Basalt	Osler reverse lower	272.369	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(36.9 to 48.4)	42.6	221.6
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(5.5 to 12.5)	3.6	127.5	-72.5	151.23456790123456	10.0	r	100	Extrusive:Igneous	Lava Flow	48.7826	Basalt	Osler reverse lower	272.3677	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(5.5 to 12.5)	58.2	218.9
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI3(55.8 to 60.9)	4.3	105.6	-70.7	176.67207499549306	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7812	Basalt	Osler reverse lower	272.3696	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI3(55.8 to 60.9)	45.9	219.8
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(0.0 to 13.8)	3.0	119.4	-72.7	362.962962962963	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7525	Basalt	Osler reverse middle	272.4029	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(0.0 to 13.8)	54.1	220.8
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(13.8 to 20.2)	2.2	111.4	-72.6	674.9311294765839	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7524	Basalt	Osler reverse middle	272.4027	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(13.8 to 20.2)	49.9	222.2
