tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names	description
20670	4	2026-05-08T19:01:38.407Z	@contributor	3.0	10.1029/2000TC001265	Paleomagnetism and Environmental Magnetism (University of Florida, USA)	Updated sites and locations files
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_dp	pole_dm	pole_n_sites	description
St. Francois Mountains	1-BH:2-KG:3-SG:4-GM:5-GM:6-CT:7-SM:8-FR:9-GM:10-GM:11-SM:12-RG:13-RG:14-TS:15-TS:16-TS:17-BM:18-BM:19-LM:21-SM	Region	St. Francois Mountains Igneous Province ca. 1476 Ma pole	a	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:DE-VGP:ST-G:ST-C-I:ST-F:GM-UPB-CC:FS-FD:SO-SM	10.1029/2000TC001265	Igneous:Sedimentary	Granite:Pyroclastite:Conglomerate:Rhyolite	37.48	37.7	269.117	269.65	1476	16	Ma	100	-13.2	219	4.7	8	23	Pole calculations come from Meert & Stuckey 2002, which was calculated on tilt corrected data. Furthermore, site 6-CT is not included in the data, so it is excluded from mean calculations. Its role is to demonstrate randomness of clast directions. The pole is supported by a positive fold test, a positive conglomerate test, and an inverse baked contact test.
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
1-BH	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.7	269.595	1476	16	Ma	0	229	23	19	11	7						Conglomerate-test target site; clast directions are randomly distributed (positive conglomerate test).
1-BH	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.7	269.595	1476	16	Ma	100	229.6	13.2	19	11	7		26	212.2	9.9	19.4	
2-KG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.68	269.615	1476	16	Ma	0	239.6	31	14	44	4						
2-KG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.68	269.615	1476	16	Ma	100	239.6	21	14	44	4		16.2	207.6	7.7	14.7	
3-SG 	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.6	269.65	1476	16	Ma	0	44	50	9.8	28	9	b					
3-SG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.6	269.65	1476	16	Ma	100	44	50	9.8	28	9	b	53	357	8.8	13.1	
3-SG 	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.6	269.65	1476	16	Ma	0	234	39	11	39	6	c					
3-SG 	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pluton	Granite	10	240	37.6	269.65	1476	16	Ma	100	234.7	29	11	39	6	c	16.2	214.5	6.7	12.1	
4-GM 	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pyroclastic Flow	Pyroclastite	10	240	37.569	269.635	1476	16	Ma	0	263	53	9.5	41	7	c					
4-GM 	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265	Igneous	Pyroclastic Flow	Pyroclastite	10	240	37.569	269.635	1476	16	Ma	100	259	43.7	9.5	41	7	c	7.2	206.3	7.4	11.9	
