site,dec,inc,k
2,306,-34,100
3,138,50,276
3',19,85,11
4,130,49,632
4',333,-47,2018
5,348,83,20
11,121,56,467
87,136,50,275
253,129,59,1197
294,152,54,527
98A,121,50,195
98B,103,56,37
