tab 	sites
age	age_high	age_low	age_unit	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1098.1	1098.5	1097.7	Ma	This study	13.5	lt	358.4	60.0	21.0	7	7	7	n	6.7147	0	Intrusive:Igneous	Diabase	35.7884	Diabase	Death Valley	243.85829999999999	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS10-1:CS10-2:CS10-3:CS10-4:CS10-5:CS10-7:CS10-8	CS10	pmagpy-4.2.24-1: demag_gui.v.3.0	CS10-1b:CS10-2b:CS10-3b:CS10-4b:CS10-5b:CS10-7b:CS10-8b	20.4	15.4	84.7	230.5
1098.1	1098.5	1097.7	Ma	This study	13.5	lt	72.4	10.0	21.0	7	7	7	t	6.7146	100	Intrusive:Igneous	Diabase	35.7884	Diabase	Death Valley	243.85829999999999	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS10-1:CS10-2:CS10-3:CS10-4:CS10-5:CS10-7:CS10-8	CS10	pmagpy-4.2.24-1: demag_gui.v.3.0	CS10-1b:CS10-2b:CS10-3b:CS10-4b:CS10-5b:CS10-7b:CS10-8b	13.7	6.9	17.2	340.2
1098.1	1098.5	1097.7	Ma	This study	10.2	mt	286.8	10.8	30.0	8	8	8	t	7.7689	0	Intrusive:Igneous	Diabase	35.7789	Diabase	Death Valley	243.8794	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	CS12-1:CS12-2:CS12-3:CS12-4:CS12-5:CS12-6:CS12-7:CS12-8	CS12	pmagpy-4.2.24-1: demag_gui.v.3.0	CS12-1b:CS12-2b:CS12-3b:CS12-4b:CS12-5b:CS12-6b:CS12-7b:CS12-8b	10.3	5.2	16.8	148.4
1098.1	1098.5	1097.7	Ma	This study	24.2	lt	50.4	26.7	11.0	5	5	5	n	4.6343	100	Intrusive:Igneous	Diabase	35.7789	Diabase	Death Valley	243.8794	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS12-1:CS12-2:CS12-3:CS12-4:CS12-5	CS12	pmagpy-4.2.24-1: demag_gui.v.3.0	CS12-1b:CS12-2b:CS12-3b:CS12-4b:CS12-5b	26.3	14.3	40.1	346.2
1098.1	1098.5	1097.7	Ma	This study	10.2	mt	301.6	63.3	30.0	8	8	8	n	7.7685	100	Intrusive:Igneous	Diabase	35.7789	Diabase	Death Valley	243.8794	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	CS12-1:CS12-2:CS12-3:CS12-4:CS12-5:CS12-6:CS12-7:CS12-8	CS12	pmagpy-4.2.24-1: demag_gui.v.3.0	CS12-1b:CS12-2b:CS12-3b:CS12-4b:CS12-5b:CS12-6b:CS12-7b:CS12-8b	16.1	12.7	45.5	184.3
1098.1	1098.5	1097.7	Ma	This study	24.2	lt	4.9	51.2	11.0	5	5	5	n	4.6343	0	Intrusive:Igneous	Diabase	35.7789	Diabase	Death Valley	243.8794	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS12-1:CS12-2:CS12-3:CS12-4:CS12-5	CS12	pmagpy-4.2.24-1: demag_gui.v.3.0	CS12-1b:CS12-2b:CS12-3b:CS12-4b:CS12-5b	32.8	22.2	84.4	16.3
1098.1	1098.5	1097.7	Ma	This study	11.8	lt	356.9	56.9	43.0	5	5	5	n	4.9077	0	Intrusive:Igneous	Diabase	35.8187	Diabase	Death Valley	243.9062	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	CS13-1:CS13-3:CS13-4:CS13-6:CS13-7	CS13	pmagpy-4.2.24-1: demag_gui.v.3.0	CS13-1b:CS13-3b:CS13-4b:CS13-6b:CS13-7b	17.1	12.5	87.0	188.7
1098.1	1098.5	1097.7	Ma	This study		mt	265.6	9.5		1	1	1	t		0	Intrusive:Igneous	Diabase	35.8187	Diabase	Death Valley	243.9062	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	CS13-1	CS13	pmagpy-4.2.24-1: demag_gui.v.3.0	CS13-1b	181.9	91.9	-0.8	160.4
1098.1	1098.5	1097.7	Ma	This study	11.8	lt	27.5	-10.1	43.0	5	5	5	n	4.9077	100	Intrusive:Igneous	Diabase	35.8187	Diabase	Death Valley	243.9062	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	CS13-1:CS13-3:CS13-4:CS13-6:CS13-7	CS13	pmagpy-4.2.24-1: demag_gui.v.3.0	CS13-1b:CS13-3b:CS13-4b:CS13-6b:CS13-7b	11.9	6.0	41.6	25.9
1098.1	1098.5	1097.7	Ma	This study		mt	332.8	60.6		1	1	1	n		100	Intrusive:Igneous	Diabase	35.8187	Diabase	Death Valley	243.9062	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	CS13-1	CS13	pmagpy-4.2.24-1: demag_gui.v.3.0	CS13-1b	274.3	208.9	68.1	177.4
