tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	lt	38.1	347.0	55.2	4.1	3	4	0.0	CB1-2a_LP-DIR-T	hargrave 2021-11-30 10:41:40	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-2	pmagpy-4.2.24-1: demag_gui	CB1-2a
This study	ht	5.1	145.4	57.0	11.9	3	8	-1.0	CB1-2a_LP-DIR-T	hargrave 2021-11-30 10:41:40	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-2	pmagpy-4.2.24-1: demag_gui	CB1-2a
This study	mt	0.0	144.5	56.6	1.5	3	14	-1.0	CB1-2a_LP-DIR-T	hargrave 2021-11-30 10:41:40	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-2	pmagpy-4.2.24-1: demag_gui	CB1-2a
This study	mt	0.0	274.8	54.3	1.5	3	14	100.0	CB1-2a_LP-DIR-T	hargrave 2021-11-30 10:41:40	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-2	pmagpy-4.2.24-1: demag_gui	CB1-2a
This study	ht	5.1	273.9	54.6	11.9	3	8	100.0	CB1-2a_LP-DIR-T	hargrave 2021-11-30 10:41:40	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-2	pmagpy-4.2.24-1: demag_gui	CB1-2a
This study															LP-NOMAG		CB1-2		CB1-2a
This study	ht	2.6	97.8	52.7	6.6	3	8	-1.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	lt	41.7	3.8	67.6	4.1	3	4	0.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	ht	2.6	251.9	42.1	6.6	3	8	0.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	lt	41.7	11.5	48.4	4.1	3	4	100.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	ht	2.6	270.5	52.3	6.6	3	8	100.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	mt	0.0	99.2	51.5	1.2	3	14	-1.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	mt	0.0	272.7	51.7	1.2	3	14	100.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	mt	0.0	253.9	42.1	1.2	3	14	0.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
This study	lt	41.7	173.9	29.1	4.1	3	4	-1.0	CB1-3a_LP-DIR-T	hargrave 2021-11-30 10:43:09	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-3	pmagpy-4.2.24-1: demag_gui	CB1-3a
