tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
337.2	0.0	23.2	126.5	This study	-22	Intrusive:Igneous	Diabase	0.3	Diabase	SO-CMD-NORTH	CS3-1	CS3
268.2	0.0	23.2	126.5	This study	-27	Intrusive:Igneous	Diabase	0.05	Diabase	SO-CMD-NORTH	CS3-2	CS3
287.2	0.0	23.2	126.5	This study	-27	Intrusive:Igneous	Diabase	0.2	Diabase	SO-CMD-NORTH	CS3-4	CS3
321.2	0.0	23.2	126.5	This study	-20	Intrusive:Igneous	Diabase	0.1	Diabase	SO-CMD-NORTH	CS3-5	CS3
297.2	0.0	23.2	126.5	This study	-28	Intrusive:Igneous	Diabase	0.05	Diabase	SO-CMD-NORTH	CS3-6	CS3
320.2	0.0	23.2	126.5	This study	-18	Intrusive:Igneous	Diabase	0.1	Diabase	SO-CMD-NORTH	CS3-7	CS3
352.2	0.0	23.2	126.5	This study	-9	Intrusive:Igneous	Diabase	0.1	Diabase	SO-CMD-NORTH	CS3-8	CS3
20.2	0.0	33.1	164.0	This study	-36	Intrusive:Igneous	Diabase	2.9	Diabase	SO-CMD-NORTH	CS4-1	CS4
104.2	0.0	33.1	164.0	This study	-56	Intrusive:Igneous	Diabase	2.9	Diabase	SO-CMD-NORTH	CS4-2	CS4
358.2	0.0	33.1	164.0	This study	-35	Intrusive:Igneous	Diabase	2.9	Diabase	SO-CMD-NORTH	CS4-3	CS4
14.2	0.0	33.1	164.0	This study	-19	Intrusive:Igneous	Diabase	2.6	Diabase	SO-CMD-NORTH	CS4-4	CS4
341.2	0.0	33.1	164.0	This study	-31	Intrusive:Igneous	Diabase	0.4	Diabase	SO-CMD-NORTH	CS4-5	CS4
351.2	0.0	33.1	164.0	This study	-29	Intrusive:Igneous	Diabase	2.6	Diabase	SO-CMD-NORTH	CS4-6	CS4
266.2	0.0	33.1	164.0	This study	-63	Intrusive:Igneous	Diabase	0.5	Diabase	SO-CMD-NORTH	CS4-7	CS4
8.2	0.0	33.1	164.0	This study	-61	Intrusive:Igneous	Diabase	0.6	Diabase	SO-CMD-NORTH	CS4-8	CS4
154.2	0.0	33.1	164.0	This study	-43	Intrusive:Igneous	Diabase	0.7	Diabase	SO-CMD-NORTH	CS4-9	CS4
190.2	0.0	54.9	81.19999999999999	This study	-84	Intrusive:Igneous	Diabase	0.3	Diabase	SO-CMD-NORTH	CS5-1	CS5
306.2	0.0	54.9	81.19999999999999	This study	-14	Intrusive:Igneous	Diabase	0.7	Diabase	SO-CMD-NORTH	CS5-2	CS5
248.2	0.0	54.9	81.19999999999999	This study	-33	Intrusive:Igneous	Diabase	1.0	Diabase	SO-CMD-NORTH	CS5-3	CS5
216.2	0.0	54.9	81.19999999999999	This study	-3	Intrusive:Igneous	Diabase	1.0	Diabase	SO-CMD-NORTH	CS5-4	CS5
272.2	0.0	54.9	81.19999999999999	This study	-22	Intrusive:Igneous	Diabase	0.4	Diabase	SO-CMD-NORTH	CS5-5	CS5
