tab	sites
site	location	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_n_samples	dir_comp_name	result_quality	result_type	dir_polarity	vgp_lon	vgp_lat
S62	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.5	249.1	1267.0	2.0			Ma	0	250	17	4	characteristic	g	i	r	180.8	-1.3
S63	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.5	249.1	1267.0	2.0			Ma	0	241	22	5	characteristic	g	i	r	190.0	-2.5
B63	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Sedimentary	Baked Contact	Sandstone	62.5	249.1			1250.0	1845.0	Ma	0	227	34	4	baked contact	b	i	r	205.2	-0.9
S64	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.3	249.2	1267.0	2.0			Ma	0	248	9	5	characteristic	g	i	r	180.9	-6.0
B64	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Sedimentary	Baked Contact	Conglomerate	62.3	249.2			1250.0	1845.0	Ma	0	252	30	3	baked contact	b	i	r	182.4	6.2
L75	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.4	248.7	1267.0	2.0			Ma	0	237	28	4	characteristic	g	i	r	194.5	-0.9
S76	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.5	248.9	1267.0	2.0			Ma	0	253	18	5	characteristic	g	i	r	178.2	0.5
S78	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.2	248.4	1267.0	2.0			Ma	0	247	15	5	characteristic	g	i	r	182.3	-3.6
S86	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Sill	Diabase	62.3	248.4	1267.0	2.0			Ma	0	259	28	5	characteristic	g	i	r	175.0	8.2
D90	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Volcanic Dike	Diabase	62.3	248.4	1267.0	2.0			Ma	0	237	23	4	characteristic	g	i	r	193.1	-3.7
D29	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Volcanic Dike	Diabase	64.1	262.9	1267.0	2.0			Ma	0	268	22	9	characteristic	g	i	r	179.7	9.4
B29	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Metamorphic	Baked Contact	Gneiss	64.1	262.9			1250.0	1845.0	Ma	0	268	24	8	baked contact	b	i	r	180.2	10.4
D175	Mackenzie diabase	LP-DIR-AF:DE-FM	10.1139/e72-061	Igneous	Volcanic Dike	Diabase	66.9	240.9	1267.0	2.0			Ma	0	253	27	3	characteristic	g	i	r	172.0	6.7
