tab	sites
site	location	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_n_samples	dir_k	dir_alpha95	dir_comp_name	result_quality	result_type	dir_polarity	vgp_lon	vgp_lat	description
P74-22Mean	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	64.1	277.6	1267	2			Ma	0	264	5	9			published mean	g	i	r	194	-1	Published site-pair mean row used for the Mackenzie present-work pole in Park 1974 Table 1.
P74-24D	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	64.1	277.6	1267	2			Ma	0	261	13	5			characteristic	g	i	r	198	2	Diabase dike row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-35D	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	64.4	270.7	1267	2			Ma	0	267	18	11			characteristic	g	i	r	188	7	Diabase dike row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-38Mean	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	67.7	268.9	1267	2			Ma	0	267	19	15			published mean	g	i	r	186	8	Published site-pair mean row used for the Mackenzie present-work pole in Park 1974 Table 1.
P74-39D	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	66.4	272.3	1267	2			Ma	0	258	21	8			characteristic	g	i	r	188	5	Diabase dike row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-5AMean	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	62.2	250.3	1267	2			Ma	0	255	34	8			published mean	g	i	r	183	10	Published site-pair mean row used for the Mackenzie present-work pole in Park 1974 Table 1.
P74-10AD	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	62.9	246.7	1267	2			Ma	0	218	35	5			characteristic	g	i	r	211	-2	Diabase dike row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-13AS	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Sill	Diabase	62.2	248.6	1267	2			Ma	0	236	7	5			characteristic	g	i	r	191	-12	Diabase sill row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-84Mean	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Volcanic Dike	Diabase	62.0	250.4	1267	2			Ma	0	258	25	11			published mean	g	i	r	177	6	Published site-pair mean row used for the Mackenzie present-work pole in Park 1974 Table 1.
P74-86C	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Metamorphic	Baked Contact	Gneiss	62.0	250.4	1267	2			Ma	0	248	19	2			contact	g	i	r	184	-1	Adjacent country-rock row retained because Park 1974 excludes low-coercivity site 86D and reports a 12-unit Mackenzie mean.
P74-103S	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Sill	Diabase	62.7	249.5	1267	2			Ma	0	246	31	5			characteristic	g	i	r	188	5	Diabase sill row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
P74-104S	Park 1974 Mackenzie diabases	LP-DIR-AF:DE-FM:DE-VGP	10.1139/e74-098	Igneous	Sill	Diabase	62.8	249.6	1267	2			Ma	0	242	14	5			characteristic	g	i	r	187	-6	Diabase sill row assigned to the Mackenzie igneous episode in Park 1974 Table 1.
