tab	sites
location	site	citations	lat	lon	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_tilt_correction	dir_polarity	vgp_lat	vgp_lon	geologic_classes	geologic_types	lithologies	result_type	result_quality
Portage Lake Volcanics	H_PL10	Hnat et al., 2006	47.39	-88.03	296.5	35.8	34.2	13.3	5	100	n	32.26466429	176.5915444	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL17	Hnat et al., 2006	47.37	-88.16	298.1	44.3	73.4	7.1	7	100	n	37.54070364	180.7951907	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL26	Hnat et al., 2006	46.93	-88.83	279.6	15.6	37.2	10.0	7	100	n	12.34478967	179.6307844	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL28	Hnat et al., 2006	46.81	-89.0	288.8	42.9	321.8	2.9	9	100	n	30.48029747	186.0132101	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL29	Hnat et al., 2006	46.78	-89.05	301.5	26.9	20.7	20.7	4	100	n	31.73568716	167.3008112	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL30	Hnat et al., 2006	46.77	-89.1	301.0	-4.5	21.0	13.5	7	100	n	18.89545043	155.7623006	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL31	Hnat et al., 2006	46.7	-89.23	268.0	36.0	43.6	9.2	7	100	n	13.06135812	196.1305013	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL32	Hnat et al., 2006	46.66	-89.39	301.9	20.4	31.4	16.7	4	100	n	29.30962414	163.7859414	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL01	Hnat et al., 2006	47.28	-88.41	302.8	40.8	51.9	7.8	8	100	n	38.94260295	174.4573579	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL02	Hnat et al., 2006	47.3	-88.4	291.5	32.3	23.2	11.8	8	100	n	27.28936333	178.2176279	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL03	Hnat et al., 2006	47.31	-88.38	274.3	45.7	63.4	7.0	8	100	n	22.35961874	197.9566808	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL04	Hnat et al., 2006	47.31	-88.38	270.3	26.7	34.7	10.4	7	100	n	10.52725562	191.0819957	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL06	Hnat et al., 2006	47.32	-88.37	302.6	22.2	20.1	13.8	7	100	n	30.3205315	164.6181262	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL08	Hnat et al., 2006	47.19	-88.48	276.0	41.1	71.4	7.2	7	100	n	21.0025186	193.9787877	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL11	Hnat et al., 2006	47.34	-88.34	291.0	40.9	50.2	10.9	5	100	n	31.0050825	183.4979812	Extrusive:Igneous	Lava Flow	Basalt	a	g
Portage Lake Volcanics	H_PL19	Hnat et al., 2006	47.08	-88.64	283.1	18.6	23.3	11.7	8	100	n	15.88575743	178.3396399	Extrusive:Igneous	Lava Flow	Basalt	a	g
