tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_polarity	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
R48	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-T	10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	49.0821	271.1177	1108	1106	1110	Ma	0	ChRM	71.7	-67.6	r	55.0	10.4	5	26.9	228.5	14.5	17.4	Nipigon; R48 (Pesonen, 1979)
R49	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-T	10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	48.9924	271.9803	1108	1106	1110	Ma	0	ChRM	50.1	-77.3	r	123.0	11.1	3	31.0	250.4	19.4	20.7	Nipigon; R49 (Pesonen, 1979)
Red Rock North	Nipigon Embayment	i	g	DE-BFL:DE-BLANKET:LP-DIR-AF:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125:10.17741/bgsf/51.1-2.004:10.4095/100589	Igneous	Sill	Diabase	48.9730	271.7052	1108	1106	1110	Ma	0	ChRM	135.2	-77.0	r	63.8	9.6	25	61.4	235.9	16.8	18.0	Nipigon; 5 determinations merged (N12-15:N27-29:N29 BCT:R46:S13; DuBois, 1962; Pesonen, 1979; Robertson and Fahrig, 1971)
Rift	Nipigon Embayment	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Sill	Diabase	49.0000	271.0000	1108	1106	1110	Ma	0	ChRM	110.9	-77.2	r	10.2	12.6	15	51.6	232.5	22.0	23.5	Nipigon; M11 (Middleton et al. 2004)
S1	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	49.2629	271.8779	1108	1106	1110	Ma	0	ChRM	111.0	-71.0	r	71.0	9.0	5	49.2	217.8	13.7	15.7	Nipigon; S1 (Robertson and Fahrig, 1971)
S8	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	49.3645	271.8765	1108	1106	1110	Ma	0	ChRM	108.0	-75.0	r	77.0	11.0	4	49.8	227.8	18.3	20.1	Nipigon; S8 (Robertson and Fahrig, 1971)
S9	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	49.0181	271.5649	1108	1106	1110	Ma	0	ChRM	183.0	-76.0	r	107.0	24.0	2	75.4	276.9	40.8	44.3	Nipigon; S9 (Robertson and Fahrig, 1971)
Seagull Intrusion	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-LT:LP-DIR-T	10.1016/j.precamres.2005.10.007	Igneous	Intrusion	Intrusives	49.0271	271.0471	1108	1106	1110	Ma	0	ChRM	87.4	-75.7	r	38.3	4.0	32	41.2	233.9	6.8	7.4	Nipigon; SI (Borradaile & Middleton 2006)
Steward Lake	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581:10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	48.9266	271.5195	1108	1106	1110	Ma	0	ChRM	148.4	-82.9	r	28.7	23.4	17	59.6	260.3	44.8	45.8	Nipigon; 3 determinations merged (M4:M5:R44; Middleton et al. 2004; Pesonen, 1979)
Fox Mountain	Thunder Bay-Logan	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Sill	Diabase	48.3070	270.6620	1108	1106	1110	Ma	0	ChRM	105.3	-76.0	r	7.5	21.7	16	48.3	230.3	36.9	40.0	Thunder Bay?; M12 (Middleton et al. 2004)
Middleton SW	Thunder Bay-Logan	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Sill	Diabase	48.0930	270.3970	1108	1106	1110	Ma	0	ChRM	119.4	-63.7	r	617.9	10.1	16	49.5	200.1	12.7	16.0	Thunder Bay; 2 determinations merged (M2:M3; Middleton et al. 2004)
Mt Mackay	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125:10.4095/100589	Igneous	Sill	Diabase	48.3453	270.7158	1108	1106	1110	Ma	0	ChRM	137.6	-50.7	r	20.9	27.7	14	53.6	169.5	25.1	37.3	Logan:Pigeon; 3 determinations merged (S7:SN30-35m:SN30-35m; DuBois, 1962; Robertson and Fahrig, 1971)
N31m	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET	10.4095/100589	Igneous	Sill	Diabase	48.3270	271.0797	1108	1106	1110	Ma	0	ChRM	125.5	-66.1	r	29.1	48.1	2	54.6	202.4	64.5	78.7	Sibley tip; N31m (DuBois, 1962)
N32-34	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET	10.4095/100589	Igneous	Sill	Diabase	48.3260	271.0870	1108	1106	1110	Ma	0	ChRM	122.6	-70.1	r	9.3	31.8	4	54.6	212.6	47.1	54.7	Sibley tip; N32-34 (DuBois, 1962)
P8m	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET	10.4095/100589	Igneous	Sill	Diabase	48.1177	270.6508	1108	1106	1110	Ma	0	ChRM	17.6	-83.9	r	5.9	138.2	2	36.6	266.2	267.4	271.9	Pigeon; P8m (DuBois, 1962)
R41	Thunder Bay-Logan	i	g	DE-BFL:LP-DIR-AF:LP-DIR-T	10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	48.5593	271.2583	1108	1106	1110	Ma	0	ChRM	100.7	-64.7	r	50.0	13.0	4	39.0	211.0	16.8	20.9	Sibley; R41 (Pesonen, 1979)
S10	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	48.3129	270.3371	1108	1106	1110	Ma	0	ChRM	105.0	-62.0	r	558.0	11.0	2	39.6	204.4	13.2	17.1	Logan; S10 (Robertson and Fahrig, 1971)
S12	Thunder Bay-Logan	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	48.3535	270.2154	1108	1106	1110	Ma	0	ChRM	134.0	-66.0	r	17.0	66.0	2	59.9	197.7	88.2	107.9	Logan; S12 (Robertson and Fahrig, 1971)
Terry Fox	Thunder Bay-Logan	i	g	DE-BFL:DE-BLANKET:LP-DIR-AF:LP-DIR-AF-BLANKET:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581:10.1139/e71-125:10.17741/bgsf/51.1-2.004:10.4095/100589	Igneous	Sill	Diabase	48.5058	270.9147	1108	1106	1110	Ma	0	ChRM	96.5	-73.3	r	84.3	10.1	44	42.9	227.2	16.1	18.0	Logan:Pigeon:Thunder Bay; 4 determinations merged (M9:R45:S3:SN5-15; DuBois, 1962; Middleton et al. 2004; Pesonen, 1979; Robertson and Fahrig, 1971)
