tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names
20644	1	2026-05-13T16:42:30.806Z	@contributor	3.0	10.1139/E77-158	Geomagnetism Laboratory (University of Liverpool, UK):Western Paleomagnetic & Petrophysical Laboratory (WPPL) (Western University, Canada)
>>>>>>>>>>
tab delimited	locations
location	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_low	age_high	age_unit	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Sudbury Dikes	Region	Sudbury Dike Swarm ca. 1238 Ma pole	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5	1238	4			Ma	-2.9	193.1	3.3	51	38	"Primary Sudbury Dike Swarm pole, sites away from the Grenville Front (1200-1400 Ma)."
Sudbury Dikes	Region	Sudbury Dikes Grenville-Front overprint ca. 1000 Ma	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5			900	1100	Ma	-3.7	343.4	6.3	24	23	"Grenville Front remagnetization overprint, ~1000 Ma; sites within few km of Grenville Front region."
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
26	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.14	277.71			900	1100	Ma	0	103	22	1	7316	4	Grenville Front direction	-1	351	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
27	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.13	277.75			900	1100	Ma	0	105	30	6	240	4	Grenville Front direction	2	346	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
28	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.14	277.62	1238	4	1200	1400	Ma	0	243	16	10	90	4	Sudbury Dike direction	-12	214	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
29	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.36	277.5	1238	4	1200	1400	Ma	0	264	3	10	92	4	Sudbury Dike direction	-3	194	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
34	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.2	277.25	1238	4	1200	1400	Ma	0	239	-10	19	25	4	Sudbury Dike direction	-25	209	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
35	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.23	277.25	1238	4	1200	1400	Ma	0	264	-8	12	64	4	Sudbury Dike direction	-7	190	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
36	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.28	277.25	1238	4	1200	1400	Ma	0	251	-23	22	18	4	Sudbury Dike direction	-22	194	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
37	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.27	277.29	1238	4	1200	1400	Ma	0	253	8	4	510	4	Sudbury Dike direction	-9	204	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
38	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.45	277.4	1238	4	1200	1400	Ma	0	248	0	19	24	4	Sudbury Dike direction	-15	205	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
40	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.13	277.16			900	1100	Ma	0	122	47	8	135	4	Grenville Front direction	1	327	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
