site,rock type,dec,inc,a95,k
1,Amv,130.7,57.4,4.6,148.5
2,Kgd,157.1,55.2,4.7,104.6
3,Kgd,155.9,55.3,3.2,188.3
4,Amv,184.8,73,7.1,47.8
5,Bgb,58.6,77.7,3.4,148.1
6,Bdi,42.7,67.2,5.4,60.3
7,Pgr,36.3,82.9,2.7,283.6
8,Pgr,357.1,78.2,5.2,86.5
9,Pgr,345.4,81.7,4,167.3
10,Ppg,42.9,85,7.5,38.1
11,Ppg,53.8,78.5,3.5,188.5
12,Ppg,62,75.7,4.9,109.2
13,Ppgb,5.3,86.6,5.1,81.6
14,Bdd,42.7,77.1,2,223.7
16,Bdd,34.4,85,4.1,143.2
17,Bdi,133.7,82.5,4.9,87.2
18,Bdi,96.4,75,6.2,71
19,Bdd,75.8,83.8,3.9,246.3
20,Bgb,131.2,83.8,2.5,377.8
21,Bdi,60,-81.3,3.4,263.7
22,Bdi,229.3,82.2,3.4,312.6
23,Bdi,16,70.6,10.8,50.8
24,Bgb,26.8,57.9,3.5,376.8
