tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
SLB01	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5367	269.0600	1083.52	1091.61	Ma	100	270.2	26.6	285.0	3.1	9	10.5	188.5	1.8	3.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB02	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5367	269.0600	1083.52	1091.61	Ma	100	274.2	28.1	165.0	4.0	9	13.8	186.3	2.4	4.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB03	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5344	269.0650	1083.52	1091.61	Ma	100	289.5	51.3	204.0	3.9	8	35.6	189.6	3.6	5.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB04	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5342	269.0652	1083.52	1091.61	Ma	100	292.9	53.3	427.0	2.7	8	39.0	189.3	2.6	3.8	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB05	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5341	269.0650	1083.52	1091.61	Ma	100	287.9	55.2	218.0	3.8	8	36.8	194.3	3.8	5.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB06	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5344	269.0650	1083.52	1091.61	Ma	100	283.2	52.6	337.0	2.8	9	32.2	194.7	2.7	3.9	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB07	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5337	269.0656	1083.52	1091.61	Ma	100	283.9	56.6	63.0	6.5	9	35.1	198.1	6.8	9.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB08	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5333	269.0657	1083.52	1091.61	Ma	100	272.2	57.8	6.0	21.6	10	28.6	206.0	23.3	31.7	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB09	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5329	269.0659	1083.52	1091.61	Ma	100	278.8	56.8	31.0	11.0	7	32.0	201.3	11.6	16.0	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB10	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5325	269.0666	1083.52	1091.61	Ma	100	268.9	28.5	27.0	9.4	10	10.4	190.2	5.7	10.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB11	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5322	269.0665	1083.52	1091.61	Ma	100	264.5	36.9	39.0	8.4	9	11.5	197.1	5.8	9.8	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB12	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5322	269.0665	1083.52	1091.61	Ma	100	265.2	31.8	324.0	2.9	9	9.5	194.3	1.8	3.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB13	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5318	269.0671	1083.52	1091.61	Ma	100	266.7	24.2	91.0	5.8	8	7.1	190.1	3.3	6.2	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB14	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5311	269.0675	1083.52	1091.61	Ma	100	264.8	22.8	472.0	2.4	9	5.3	190.9	1.4	2.5	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB15	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5309	269.0685	1083.52	1091.61	Ma	100	265.4	22.3	83.0	5.7	9	5.5	190.3	3.2	6.0	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB16	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5306	269.0690	1083.52	1091.61	Ma	100	275.0	23.5	53.0	7.2	9	12.4	183.8	4.1	7.7	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
