Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f.1,INCf.1,PLATf.1,PLONf.1,DPf.1,DMf.1,A95f.1,%REV,DEMAGCODE,40,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,R,Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment
Laurentia,Middle Osler volcanics -R,10017,,Ro,100.0,48.8,272.4,20.0,139.0,105.9,-64.9,,36.5,5.5,42.7,211.3,8.2,8.2,,1.0,-64.9,42.7,211.3,8.2,8.2,,1.0,-64.9,42.7,211.3,8.2,8.2,,100,4.0,,,,,,1.0,0.0,1.0,1.0,1.0,,1.0,1,1.0,0,1.0,1.0,1.0,,A,,1103.0,1110.0,"interpolated 1107, Swanson-Hysell et al., 2014 G3",Middle third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014.0,Geochem. Geophys. Geosyst.,15,2039-2047,,
Laurentia,Coldwell Complex,9838,,Rb,0.0,48.8,273.6,40.0,238.0,114.8,-63.7,,50.4,3.6,47.2,206.7,4.8,4.8,,1.0,-63.7,47.2,206.7,4.8,4.8,,1.0,-63.7,47.2,206.7,4.8,4.8,,25or75,4.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1,1.0,0,1.0,1.0,1.0,,B,,1105.0,1109.0,"U-Pb: 1108+/-1, 1105+5/-1, 120.8+/-0.9, 1109+8/-4 Ma",Colwell Complex,"Kulakov, E.V., Smirnov, A.V., Diehl, J.F.",2014.0,J.Geophys.Res.,119,8633-8654,"Paleomagnetism of the ~1.1Ga Coldwell Complex (Ontario, Canada): Implications for Proterozoic geomagnetic field morphology and plate velocities",
Laurentia,Lower Osler volcanics -R,9515,,Ro,100.0,48.8,272.3,30.0,179.0,99.3,-68.0,,62.2,3.4,40.9,218.6,4.8,4.8,,1.0,-68.0,40.9,218.6,4.8,4.8,,1.0,-68.0,40.9,218.6,4.8,4.8,,100,4.0,,,,,,1.0,0.0,1.0,1.0,1.0,,1.0,1,1.0,0,1.0,1.0,1.0,,A,,1105.0,1111.0,"interpolated 1109; has to be older then 1107.5 +4/-2 intrusion, Swanson-Hysell et al., 2014 G3",Lower third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014.0,Geochem. Geophys. Geosyst.,15,2039-2047,,
Laurentia,Lowermost Mamainse Point volcanics -R1,9510,,G*+,100.0,47.1,275.3,24.0,117.0,112.5,-72.9,,29.0,0.1,49.5,227.0,5.3,5.3,,1.0,-72.9,49.5,227.0,5.3,5.3,,1.0,-72.9,49.5,227.0,5.3,5.3,,100,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,G,1.0,1.0,1.0,,A,,1105.0,1111.0,"older than 1107 +/- 2 constraint on Siemens Ck Fm, Swanson-Hysell et al. 2014 Geology",Lowermost Mamainse Point volcanics -R1,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,
Laurentia,MEAN Nipigon sills and lavas,new,"8-unit mean of: Inspiration sills, Pillar Lake lava, Seagull intrusion (Borradaile+06), Nipigon sills (Middleton+04), Logan sills R x3 (Pesonen 79, Robertson+Fahrig 71, Palmer 70), Thunder Bay R dykes (Pesonen 79)",C*+,0.0,49.1,270.9,86.0,1000.0,107.6,-70.9,,1000.0,0.1,47.2,217.8,4.0,4.0,,1.0,-70.9,47.2,217.8,4.0,4.0,,1.0,-70.9,47.2,217.8,4.0,4.0,,100,3.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,c,1.0,0.0,1.0,,A,,1107.0,1115.0,"range of ages with uncertainties, Davis+Sutcliffe 85; Heaman+07",MEAN Nipigon sills and lavas,LULEÅ WORKING GROUP MEAN,2009.0,,,,,
Laurentia,Abitibi Dykes,7193,,"C+,R? (revision to exclude A1)",0.0,48.0,279.0,7.0,197.0,295.0,65.5,,41.0,9.5,48.8,215.5,14.1,14.1,,1.0,65.5,48.8,215.5,14.1,14.1,,1.0,65.5,48.8,215.5,14.1,14.1,,15or85,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,C,1.0,1.0,1.0,,A,,1139.0,1143.0,"1141±2; lomagage should be changed to 1139.  Note dyke A1 no longer part of swarm: redated by Halls+08 at 2170 Ma, GPMDB4.6",Abitibi Dykes,"Ernst,R.E., Buchan,K.L.",1993.0,Canad.J.Earth Sci.,30,1886-1897,"Paleomagnetism of the Abitibi dyke swarm, southern Superior Province, and implications for the Logan Loop",
Laurentia,NW Ontario Lamprophyre Dykes and Abitibi Dykes,9887,Combined result,"C+,Rc",0.0,48.4,-86.4,27.0,332.0,303.1,70.2,,38.4,4.5,55.8,220.0,7.3,7.3,,1.0,70.2,55.8,220.0,7.3,7.3,7.3,1.0,70.2,55.8,220.0,7.3,7.3,7.3,48or52,5.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1,1.0,C,1.0,1.0,1.0,,A,,1139.0,1150.0,40Ar/39Ar age 1144+6/-4 Ma see REFNO 4084; U-Pb age 1140.6+/-2 Ma see REFNO 2773,NW Ontario Lamprophyre Dykes and Abitibi Dykes,"Piispa, E.L., Smirnov, A.V., Pesonen, L.J., Mitchell, R.H.",2018.0,J.Geophys.Res.,123,doi:10.1029/2018JB015992,"Paleomagnetism and Geochemistry of ~1144-Ma Lamprophyre Dikes, Northwestern Ontario: Implications for the North American Polar Wander and Plate Velocities",
Laurentia,Sudbury Dykes Combined,2175,Combined Result,C+,0.0,46.299999,278.599998,52.0,205.0,265.200012,2.3,,1000.0,3.5,-2.5,192.800003,2.5,2.5,,1.0,2.3,-2.5,192.800003,2.5,2.5,,1.0,2.3,-2.5,192.800003,2.5,2.5,,0,3.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,C,1.0,0.0,1.0,,A,,1232.0,1242.0,"ok on age; demag good in Stupavsky+Symons 82; and also maybe Schwarz+Buchan 82, GPMDB4.6",Sudbury Dykes Combined,"Palmer,H.C., Merz,B.A., Hayatsu,A.",1977.0,Canad.J.Earth Sci.,14,1867-1887,"The Sudbury dikes of the Grenville Front region: paleomagnetism, petrochemistry, and K-Ar age studies",
Laurentia,Mackenzie dykes grand mean,B+00,"from Buchan+00, after Buchan+Halls 90",C+,0.0,65.0,250.0,5.0,1000.0,243.9,29.7,,1000.0,0.1,4.0,190.0,5.0,5.0,,1.0,29.7,4.0,190.0,5.0,5.0,,1.0,29.7,4.0,190.0,5.0,5.0,,0or100,3.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,C,1.0,0.0,1.0,,A,,1265.0,1269.0,"ca.1267, GPMDB4.6",Mackenzie dykes grand mean,Buchan et al.,2000.0,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,
Laurentia,Nain Anorthosite,2180,,Rb,0.0,56.5,298.200001,21.0,101.0,277.799988,17.4,,116.0,3.0,11.7,206.699997,1.6,3.1,,1.0,17.4,11.7,206.699997,1.6,3.1,,1.0,17.4,11.7,206.699997,1.6,3.1,,24,3.0,,,,,,1.0,0.0,0.0,,1.0,,0.0,0,1.0,0,1.0,0.0,1.0,,B,,1283.0,1327.0,1305±22 Ma. The Kiglapait Intrusion of the Nain anorthosite complex has Sm/Nd whole rock isochron age from DePaolo (1985),Nain Anorthosite,"Murthy,G.S.",1978.0,Canad.J.Earth Sci.,15,516-525,Paleomagnetic results from the Nain anorthosite and their tectonic implications,
Laurentia,"Pilcher, Garnet Range and Libby Formations",9030,,F+,100.0,46.700001,246.400002,4.0,76.0,28.4,-32.5,,102.199997,9.1,-19.200001,215.300003,7.7,7.7,,0.6,-46.7,11.0,41.1,7.6,11.7,9.4,0.6,-46.7,11.0,41.1,7.6,11.7,9.4,100,4.0,,,,,,1.0,1.0,1.0,,1.0,,0.0,1,1.0,f,1.0,0.0,1.0,,A,,1362.0,1407.0,"ok, GPMDB4.6","Pilcher, Garnet Range and Libby Formations","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",
Laurentia,McNamara Formation,9031,,"F+,Rc",100.0,46.900002,246.400002,10.0,195.0,37.200001,-36.599998,,42.799999,7.5,-13.5,208.300003,6.7,6.7,,0.6,-51.1,4.5,35.4,6.9,10.1,8.4,0.6,-51.1,4.5,35.4,6.9,10.1,8.4,70,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,f,1.0,1.0,1.0,,A,,1395.0,1407.0,"1401±6, GPMDB4.6",McNamara Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",
Laurentia,Mistastin Pluton,2271,,Ro,0.0,55.599998,296.299999,7.0,35.0,93.5,7.0,,48.5,8.8,-1.0,201.5,7.6,7.6,,1.0,7.0,-1.0,201.5,7.6,7.6,,1.0,7.0,-1.0,201.5,7.6,7.6,,87,2.0,,,,,,0.0,0.0,0.0,,1.0,,0.0,0,1.0,0,1.0,0.0,1.0,,B,,1400.0,1450.0,"ca.1420, unpubl Emslie in Gower+Krogh 02",Mistastin Pluton,"Fahrig,W.F., Jones,D.L.",1976.0,Canad.J.Earth Sci.,13,832-837,"The paleomagnetism of the Helikian Mistatin pluton, Labrador, Canada",
Laurentia,MEAN Rocky Mountain intrusions,new,"3 studies (Electra Lake 8342, Laramie anorthosite 7493, Sherman 7494)",Ro,0.0,40.3,253.8,58.0,434.0,41.1,-46.6,,1000.0,0.1,-11.9,217.4,9.7,9.7,,1.0,-46.6,-11.9,217.4,9.7,9.7,,1.0,-46.6,-11.9,217.4,9.7,9.7,,MIXED,4.0,,,,,,1.0,0.0,0.0,,1.0,,,,,,,,,,B,,1415.0,1445.0,"1415-1445, range of ages",MEAN Rocky Mountain intrusions,LULEÅ WORKING GROUP MEAN,2009.0,,,,,
Laurentia,Purcell Lava,9037,Primary,F+,100.0,49.400002,245.099998,10.0,166.0,26.6,-25.700001,,64.0,6.1,-23.6,215.600006,4.8,4.8,,1.0,-25.700001,-23.6,215.600006,4.8,4.8,,1.0,-25.700001,-23.6,215.600006,4.8,4.8,,100,4.0,,,,,,1.0,1.0,1.0,,0.0,,1.0,1,1.0,f,1.0,0.0,0.0,,A,,1436.0,1450.0,"ok, GPMDB4.6",Purcell Lava,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",
Laurentia,Tobacco Root Dykes - A combined,9291,,,0.0,47.4,247.6,14.0,157.0,225.0,61.8,,27.9,7.7,8.7,216.1,9.2,11.9,10.5,1.0,61.8,8.7,216.1,9.2,11.9,10.5,1.0,61.8,8.7,216.1,9.2,11.9,10.5,43or57,4.0,,,,,,1.0,0.0,1.0,,0.0,,0.0,1,1.0,c,0.0,0.0,0.0,,B,,,,"Tobacco Root Mountains group A dikes Sm-Nd age of 1448±49 Ma from Harlan, 2005",Tobacco Root Dykes - A combined,"Harlan, S.S., Geissman, J.W., Snee, L.W.",2008.0,Precambrian Res.,163,239-264,"Paleomagnetism of Proterozoic mafic dikes from the Tobacco Root Mountains, southwest Montana",Overlaps with Nain Anorthosite
Laurentia,Snowslip Formation,9038,Primary,"F+,Ro",100.0,47.900002,245.900002,9.0,295.0,30.9,-20.6,,128.800003,4.6,-24.9,210.199997,3.5,3.5,,0.6,-32.1,19.1,34.7,2.9,5.2,3.9,0.6,-32.1,19.1,34.7,2.9,5.2,3.9,MIXED,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,f,1.0,1.0,1.0,,A,,1436.0,1463.0,"1436-1463, new lomagage",Snowslip Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",
Laurentia,Spokane Formation,9039,Primary,F+,100.0,48.200001,246.800003,8.0,231.0,206.300003,23.700001,,86.400002,6.0,-24.799999,215.5,4.7,4.7,,0.6,36.2,-17.8,220.9,4.1,7.0,5.3,0.6,36.2,-17.8,220.9,4.1,7.0,5.3,0,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,f,1.0,0.0,1.0,,A,,1445.0,1470.0,"pre-1454±9, slightly revised from GPMDB4.6",Spokane Formation,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.",2002.0,Geol.Soc.Amer.Bull.,114,619-638,"Tightening the Belt: Paleomagnetic-stratigraphic constraints on deposition, correlation, and deformation of the Middle Proterozoic (ca. 1.4 Ga) Belt-Purcell Supergroup, United States and Canada",
Laurentia,Michikamau Intrusion Combined,2274,Combined Result,"C+,Ro",0.0,54.5,296.0,12.0,54.0,259.5,11.0,,43.0,6.5,-1.5,217.5,3.3,6.6,,1.0,11.0,-1.5,217.5,3.3,6.6,,1.0,11.0,-1.5,217.5,3.3,6.6,,8,3.0,,,,,,1.0,1.0,0.0,,1.0,,1.0,0,1.0,C,1.0,1.0,1.0,,A,,1455.0,1465.0,"ok, GPMDB4.6",Michikamau Intrusion Combined,"Emslie,R.F., Irving,E., Park,J.K.",1976.0,Canad.J.Earth Sci.,13,1052-1057,"Further paleomagnetic results from the Michikamau Intrusion, Labrador",
Laurentia,St.Francois Mountains Acidic Rocks,8932,,"C*+,F+,G+",100.0,37.5,269.5,18.0,103.0,233.399994,36.900002,,27.0,6.8,-13.2,219.0,4.7,8.0,,1.0,36.900002,-13.2,219.0,4.7,8.0,,1.0,36.900002,-13.2,219.0,4.7,8.0,,0or100,4.0,,,,,,1.0,1.0,1.0,,1.0,,0.0,1,1.0,cfg,1.0,0.0,1.0,,A,,1460.0,1492.0,"ok, GPMDB4.6",St.Francois Mountains Acidic Rocks,"Meert, J.G., Stuckey, W.",2002.0,Tectonics,21(2),"1007, doi:10.1029/2000TC001265","Revisiting the paleomagnetism of the 1.476 Ga St.Francois Mountains igneous province, Missouri.",
Laurentia,Western Channel Diabase,2669,,"Co,C+ in Irving+04",0.0,66.400002,242.199997,35.0,130.0,356.0,-50.0,,35.0,6.0,9.0,245.0,5.1,8.6,,1.0,-50.0,9.0,245.0,5.1,8.6,,1.0,-50.0,9.0,245.0,5.1,8.6,,100,2.0,,,,,,0.0,1.0,1.0,,1.0,,1.0,0,1.0,C,1.0,0.0,1.0,,A,,1587.0,1593.0,"ca.1590, GAC 07 Yellowknife",Western Channel Diabase,"Irving,E., Donaldson,J.A., Park,J.K.",1972.0,Canad.J.Earth Sci.,9,960-971,"Paleomagnetism of the Western Channel Diabase and associated rocks, Northwest Territories",
Laurentia,Cleaver Dykes,9139,,"C+, C*+",0.0,67.5,241.970001,17.0,102.0,136.5,57.400002,,64.0,4.5,19.4,276.700012,6.1,6.1,,1.0,57.400002,19.4,276.700012,6.1,6.1,,1.0,57.400002,19.4,276.700012,6.1,6.1,,0or100,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,Cc,1.0,0.0,1.0,,A,,1736.0,1745.0,"ok, GPMDB4.6",Cleaver Dykes,"Irving,E., Baker,J., M. Hamilton,M., Wynne,P.J.",2004.0,Precambrian Res.,129,251-270,"Early Proterozoic geomagnetic field in western Laurentia: implications for paleolatitudes, local rotations and stratigraphy",
Laurentia,NE trending ECMB Diabase Dykes,9970,Magnetite component,C*+,0.0,45.5,265.7,23.0,148.0,,,,,,20.4,265.8,4.5,4.5,4.5,1.0,,20.4,265.8,4.5,4.5,4.5,1.0,,20.4,265.8,4.5,4.5,4.5,0or100,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,1,1.0,c,1.0,0.0,1.0,,A,,1776.0,1783.0,Older than 1777+/-1 Ma; older than 1782+/-1 Ma,NE trending ECMB Diabase Dykes,"Swanson‐Hysell, N.L. et al.",2021.0,Tectonics,40,e2021TC006751,The Paleogeography of Laurentia in Its Early Years: New Constraints From the Paleoproterozoic East-Central Minnesota Batholith,
Laurentia,Dubawnt Group,2737,,"C+,Rc",100.0,64.099998,265.599998,30.0,130.0,347.0,-50.0,,17.0,7.0,7.0,277.0,8.0,8.0,,0.6,-63.3,-19.4,95.3,8.7,11.0,9.8,0.6,-63.3,-19.4,95.3,8.7,11.0,9.8,63,3.0,,,,,,1.0,1.0,1.0,,0.0,,0.0,0,1.0,C,0.0,1.0,0.0,,B,,1750.0,1820.0,"possibly ca.1750 ovp (Th.Raub 08 PhD thesis); ages from eastern Baker Lake ca.1810 Ma, Rainbird ages, Th.Raub thesis",Dubawnt Group,"Park,J.K., Irving,E., Donaldson,J.A.",1973.0,Geol.Soc.Amer.Bull.,84,859-870,Paleomagnetism of the Dubawnt Group,Overlaps with a Devonian pole
Laurentia-Greenland,Melville Bugt diabase dykes,9495,,R,0.0,74.5834,,9.0,54.0,33.1,-31.2,,29.0,0.1,5.0,273.8,8.7,8.7,,1.0,-31.2,5.0,273.8,8.7,8.7,,1.0,-31.2,5.0,273.8,8.7,8.7,,44or56,,,,,,,1.0,0.0,1.0,1.0,1.0,,1.0,1,1.0,0,1.0,1.0,1.0,,B,,1628.0,1638.0,"U-Pb badd (1635 +/- 2.7; 1632 +/- 1.1; 1629.4 +/- 0.8), mixed polarity ",Melville Bugt diabase,"Halls, H.C., Hamilton, M.A., Denyszyn, S.W.",2011.0,"In:Srivastava, S.W. (ed), Dyke Swarms, DOI 10.1007/978-3-642-12496-9_27",,509-535,The Melville Bugt Dyke Swarm of Greenland: A Connection to the 1.5-1.6 Ga Fennoscandian Rapakivi Granite Province?,
Laurentia-Greenland,Victoria Fjord dolerite dykes,489,,C+,0.0,81.5,315.299999,12.0,92.0,265.200012,21.5,,60.0,5.6,10.3,231.699997,3.1,5.9,,1.0,21.5,10.3,231.699997,3.1,5.9,,1.0,21.5,10.3,231.699997,3.1,5.9,,0or100,,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,1,1.0,c,1.0,0.0,1.0,,B,,1380.0,1384.0,"U-Pb dating of baddeleyite from intrusive Midsommersø Dolerites yields an age of 1382 ± 2 Ma (Upton et al., 2005)",Victoria Fjord Dolerite Dykes,"Abrahamsen, N., Van der Voo, R.",1987.0,Geophys.JRAS,91,597-611,Palaeomagnetism of middle Proterozoic (c.1.25 Ga) dykes from central North Greenland,
Laurentia-Greenland,Midsommersoe Dolerite,99,,,0.0,81.6,,10.0,100.0,85.599998,-14.5,,39.0,7.8,6.9,242.0,5.1,5.1,,1.0,-14.5,6.9,242.0,5.1,5.1,,1.0,-14.5,6.9,242.0,5.1,5.1,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,0,1.0,0,1.0,0.0,1.0,,B,,1380.0,1384.0,"U-Pb dating of baddeleyite from intrusive Midsommersø Dolerites yields an age of 1382 ± 2 Ma (Upton et al., 2005)",Midsommersoe Dolerite,"Marcussen, C., Abrahamsen, N.",1983.0,Geophys.JRAS,73,367-387,"Palaeomagnetism of the Proterozoic Zig-Zag Dal Basalt and the Midsommerso dolerites, eastern North Greenland",
Laurentia-Greenland,Zig-Zag Dal Basalts,98,,,0.0,81.199997,334.799999,19.0,135.0,93.599998,-22.0,,37.0,5.5,12.0,242.800003,3.8,3.8,,1.0,-22.0,12.0,242.800003,3.8,3.8,,1.0,-22.0,12.0,242.800003,3.8,3.8,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,0,1.0,0,1.0,0.0,1.0,,B,,1380.0,1384.0,"U-Pb dating of baddeleyite from intrusive Midsommersø Dolerites yields an age of 1382 ± 2 Ma (Upton et al., 2005)",Zig-Zag Dal Basalts,"Marcussen, C., Abrahamsen, N.",1983.0,Geophys.JRAS,73,367-387,"Palaeomagnetism of the Proterozoic Zig-Zag Dal Basalt and the Midsommerso dolerites, eastern North Greenland",
Laurentia-Greenland,Kungnat Ring Dyke,2107,,,0.0,61.200001,311.700001,4.0,18.0,292.0,-15.4,,455.0,4.3,3.4,198.699997,2.3,4.4,,1.0,-15.4,3.4,198.699997,2.3,4.4,,1.0,-15.4,3.4,198.699997,2.3,4.4,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,0,1.0,0,1.0,0.0,1.0,,B,,1273.0,1277.0,1275.2±1.8 Ma U-Pb and 2 sigma uncertainty date from Upton 2003. measurement data never published and not sure what material was used,Kungnat Ring Dyke,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",
Laurentia-Greenland,North Qoroq Intr.,6607,,,0.0,61.15,314.6,12.0,65.0,295.700012,2.5,,15.0,12.0,13.2,202.600006,5.9,11.7,,1.0,2.5,13.2,202.600006,5.9,11.7,,1.0,2.5,13.2,202.600006,5.9,11.7,,8or92,,,,,,,1.0,0.0,0.0,1.0,1.0,,1.0,1,1.0,1,1.0,0.0,1.0,,B,,1274.0,1276.0,1275.3±1.1 Ma U-Pb and 2 sigma uncertainty date from Upton 2003. measurement data never published and not sure what material was used,North Qoroq Intr.,"Piper, J.D.A.",1992.0,Precambrian Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",
Laurentia-Greenland,West Gardar Dolerite Dykes,2106,,,0.0,61.200001,311.700001,24.0,138.0,291.5,-3.3,,11.0,9.4,8.700000000000001,201.699997,4.7,9.4,,1.0,-3.3,8.700000000000001,201.699997,4.7,9.4,,1.0,-3.3,8.700000000000001,201.699997,4.7,9.4,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1236.0,1251.0,"1236-1251, f",West Gardar Dolerite Dykes,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",
Laurentia-Greenland,West Gardar Lamprophyre Dykes,2108,,,0.0,61.200001,311.700001,9.0,51.0,284.799988,-8.600000000000001,,28.0,10.0,3.2,206.399994,5.1,10.1,,1.0,-8.600000000000001,3.2,206.399994,5.1,10.1,,1.0,-8.600000000000001,3.2,206.399994,5.1,10.1,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1227.0,1249.0,"CHECK AGE, f",West Gardar Lamprophyre Dykes,"Piper, J.D.A., Stearn, J.E.F.",1977.0,Physics Earth Planet. Int.,14,345-358,"Palaeomagnetism of the dyke swarms of the Gardar Igneous Province, South Greenland",
Laurentia-Greenland,Hviddal Giant Dyke,2132,,,0.0,60.900002,313.700001,7.0,38.0,294.299988,42.700001,,38.0,9.8,33.200001,215.300003,7.6,12.2,,1.0,42.700001,33.200001,215.300003,7.6,12.2,,1.0,42.700001,33.200001,215.300003,7.6,12.2,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1179.0,1189.0,"1184±5, f",Hviddal Giant Dyke,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",
Laurentia-Greenland,Narssaq Gabbro,2133,,,0.0,60.900002,313.799999,4.0,22.0,285.299988,46.79999900000001,,97.0,9.4,31.6,225.399994,7.8,12.1,,1.0,46.79999900000001,31.6,225.399994,7.8,12.1,,1.0,46.79999900000001,31.6,225.399994,7.8,12.1,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1179.0,1189.0,"1184±5 assoc'd with Hviddal giant dyke, f",Narssaq Gabbro,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",
Laurentia-Greenland,South Qoroq Intr.,6610,,,0.0,61.15,314.6,9.0,67.0,299.899994,51.200001,,20.0,12.0,41.79999900000001,215.899994,10.8,15.9,,1.0,51.200001,41.79999900000001,215.899994,10.8,15.9,,1.0,51.200001,41.79999900000001,215.899994,10.8,15.9,,0or100,,,,,,,1.0,1.0,0.0,0.0,1.0,,1.0,1,1.0,C,0.0,0.0,1.0,,A,,1161.0,1165.0,"1160±8 Rb-Sr, also 1163±2 U-Pb on assoc'd younger giant dykes, f",South Qoroq Intr.,"Piper, J.D.A.",1992.0,Precambrian Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",
Laurentia-Greenland,Giant Gabbro Dykes,2131,,,0.0,60.900002,313.700001,13.0,73.0,292.200012,56.5,,30.0,7.6,42.29999900000001,226.100006,8.0,11.1,,1.0,56.5,42.29999900000001,226.100006,8.0,11.1,,1.0,56.5,42.29999900000001,226.100006,8.0,11.1,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1161.0,1165.0,"1163±2, f",Giant Gabbro Dykes,"Piper, J.D.A.",1977.0,BGS Denmark,26,85-94,"Palaeomagnetism of the giant dykes of Tugtutoq and Narssaq Gabbro, Gardar Igneous Province, South Greenland",
Laurentia-Greenland,NE-SW Trending Dyke Swarm,6609,,,0.0,61.15,314.6,18.0,102.0,282.899994,50.900002,,46.0,5.0,33.400002,230.800003,4.7,6.9,,1.0,50.900002,33.400002,230.800003,4.7,6.9,,1.0,50.900002,33.400002,230.800003,4.7,6.9,,0or100,,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,1155.0,1165.0,"younger than 1163 giant dykes, older than 1156±1 central Tugtutoq pluton, s",NE-SW Trending Dyke Swarm,"Piper, J.D.A.",1992.0,Precambr.Res.,54,153-172,"The palaeomagnetism of major (Middle Proterozoic) igneous complexes, South Greenland and the Gardar apparent polar wander track",
Laurentia-Greenland-Nain,Kangamiut Dykes,3222,,,0.0,66.0,307.0,23.0,157.0,220.0,56.0,,190.0,2.1,17.1,273.799988,2.2,3.2,,1.0,56.0,17.1,273.799988,2.2,3.2,,1.0,56.0,17.1,273.799988,2.2,3.2,,0or100,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,B,,2030.0,2054.0,"2543, 2766, mixed polarity?",Kangamiut Dykes,"Fahrig, W.F., Bridgwater, D.",1976.0,Early Hist. of Earth,,427-439,Late Archean-Early Proterozoic paleomagnetic pole positions from West Greenland,Looks like Victoria Fjord and Tobacco Root
