Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f.1,INCf.1,PLATf.1,PLONf.1,DPf.1,DMf.1,A95f.1,%REV,DEMAGCODE,40,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,R,Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment
Laurentia,Haliburton Intrusions,9165,A Component,,0.0,45.0,281.400002,17.0,59.0,277.5,-71.800003,,23.0,3.8,-32.599998,141.899994,5.9,6.7,,1.0,-71.800003,-32.599998,141.899994,5.9,6.7,,1.0,-71.800003,-32.599998,141.899994,5.9,6.7,,0or100,4.0,,,,,,1.0,0.0,0.0,,0.0,,0.0,1,1.0,0,0.0,0.0,0.0,,B,,1000.0,1030.0,"ok, GPMDB4.6",Haliburton Intrusions,"Warnock,A.C., Kodama,K.P., Zeitler,P.K.",2000.0,J.Geophys.Res.,105,19435-19453,Using thermochronometry and low-temperature demagnetization to accurately date Precambrian paleomagnetic poles,Overlaps with steep Ediacaran
Laurentia,Nonesuch Shale,2053,,Fo,100.0,47.0,271.5,11.0,27.0,276.799988,8.1,,35.0,7.8,7.6,178.100006,3.9,7.8,,0.6,13.3,9.6,181.2,4.1,8.0,5.7,0.6,13.3,9.6,181.2,4.1,8.0,5.7,0,3.0,,,,,,1.0,0.0,1.0,,0.0,,0.0,0,1.0,1,1.0,1.0,1.0,,B,,1020.0,1080.0,", Wingate+02 est",Nonesuch Shale,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977.0,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone,
Laurentia,Freda Sandstone,2051,High temp.,Fo,100.0,47.0,271.5,20.0,85.0,272.399994,1.5,,32.0,5.9,2.2,179.0,3.0,5.9,,0.6,2.5,2.6,180.6,3.0,5.9,4.2,0.6,2.5,2.6,180.6,3.0,5.9,4.2,0,3.0,,,,,,1.0,0.0,1.0,,0.0,,0.0,0,1.0,1,1.0,1.0,1.0,,B,,1020.0,1080.0,"looser age constraints than listed in GPMDB4.6, Wingate+02 est",Freda Sandstone,"Henry,S.G., Mauk,F.J., Van der Voo,R.",1977.0,Canad.J.Earth Sci.,14,1128-1138,Paleomagnetism of the Upper Keweenawan sediments: the Nonesuch Shale and Freda Sandstone,Overlaps with Cambrian
Laurentia,Michipicoten Island Formation,9916,,,100.0,47.7,274.3,23.0,193.0,288.3,12.0,,30.0,5.6,17.0,174.7,4.4,4.4,4.4,1.0,12.0,17.0,174.7,4.4,4.4,4.4,1.0,12.0,17.0,174.7,4.4,4.4,4.4,0,4.0,,,,,,1.0,0.0,1.0,0.0,0.0,,1.0,1,1.0,0,1.0,0.0,0.0,,A,1084.0,1083.0,1085.0,"All VGPs between U-Pb zircon dates of 1084.35 ± 0.20 Ma and 1083.52 ± 0.23
Ma; Fairchild et al. 2017",Michipicoten Island Formation,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017.0,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia,
Laurentia,Lake Shore Traps,9506,incorporates Diehl et al 1994 CJES,(C+ from Palmer+81; F+ implicit in good grouping after tilt-correction),100.0,47.599998,271.900002,31.0,374.0,283.0,35.7,,1000.0,0.1,23.1,186.4,4.0,4.0,,1.0,35.7,23.1,186.4,4.0,4.0,,1.0,35.7,23.1,186.4,4.0,4.0,,0,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,C,1.0,0.0,1.0,,A,,1085.0,1089.0,"1087.2±1.6 date in andesite, Kulakov et al 2013",Lake Shore Traps,"Kulakov, E.V., Smirnov, A.V., Diehl, J.F.",2013.0,Canad.J.Earth Sci.,50,1085-1096,,
Laurentia,Central Arizona diabases -N,10016,"note also R group: 4 dykes very steep up (poor A95) + one antipodal direction dyke for each N, R group",,0.0,33.7,249.2,13.0,139.0,274.8,38.7,38.7,30.4,7.6,15.7,175.3,5.4,9.1,,1.0,38.7,15.7,175.3,5.4,9.1,,1.0,38.7,15.7,175.3,5.4,9.1,,0,4.0,,,,,,1.0,0.0,1.0,,1.0,,1.0,1,1.0,0,0.0,0.0,1.0,,A,,1077.0,1099.0,"1088±11 in Donadini+12 ext abst (ignoring the 1085 age due to problems with that site, two polarities, 2 ages), Donadini et al 2011",Central Arizona diabases -N,"Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.",2011.0,Geophysica,47,,,
Laurentia,Schroeder Lutsen Basalts,9915,,,100.0,47.5,269.1,50.0,378.0,282.8,42.4,,39.6,3.2,27.1,187.8,3.0,3.0,3.0,1.0,42.4,27.1,187.8,3.0,3.0,3.0,1.0,42.4,27.1,187.8,3.0,3.0,3.0,0,4.0,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,1,1.0,0,1.0,0.0,1.0,,A,1090.0,1083.0,1092.0,Unit is younger than 1091.61 ± 0.14 Ma (U-Pb date on intrusion that is unconformably overlain),Schroeder Lutsen Basalts,"Fairchild, Luke M. and Swanson-Hysell, Nicholas L. and Ramezani, Jahandar and Sprain, Courtney J. and Bowring, Samuel A.",2017.0,Lithosphere,9,117-133,The end of Midcontinent Rift magmatism and the paleogeography of Laurentia,
Laurentia,Cardenas Basalts and Intrusions,9073,,co,100.0,36.080002,248.129997,16.0,114.0,285.5,57.0,,33.900002,6.4,32.0,185.0,6.8,9.3,,1.0,57.0,32.0,185.0,6.8,9.3,,1.0,57.0,32.0,185.0,6.8,9.3,,0,4.0,,,,,,1.0,0.0,1.0,,1.0,,1.0,1,1.0,c,1.0,0.0,1.0,,B,,1086.0,1096.0,1090±4.5 Ma from Ar-Ar biotite age developed in the same study as pmag. ,Cardenas Basalts and Intrusions,"Weil,A.B., Geissman,J.W., Heizler,M., Van der Voo,R.",2003.0,Tectonophysics,375,199-220,"Paleomagnetism of Middle Proterozoic mafic intrusions and Upper Proterozoic (Nankoweap) red beds from the Lower Grand Canyon Supergroup, Arisona",
Laurentia,Chengwatana Volcanics,8163,,Ro,100.0,45.400002,267.300003,8.0,60.0,287.5,45.8,,48.5,8.0,30.9,186.1,6.5,10.3,,1.0,45.8,30.9,186.1,6.5,10.3,,1.0,45.8,30.9,186.1,6.5,10.3,,25,4.0,,,,,,1.0,0.0,1.0,,1.0,,1.0,1,1.0,0,1.0,0.0,1.0,,B,,1093.0,1097.0,"1094.6±2.1 Ma 207Pb/206Pb age from 4 zircons from aphrytic rhyolite of the Chengwatana Volcanics, Zartman et al., 1997",Chengwatana Volcanics,"Kean,W.F., Williams.,I., Chan,L., Feeney,J.",1997.0,Geophys.Res.Lett.,24,1523-1526,"Magnetism of the Keweenawan age Chengwatana lava flows, northwest Wisconsin",
Laurentia,Portage Lake Volcanics,9507,A (MAG),"G*+, F+",100.0,47.0,271.2,28.0,1000.0,291.2,31.3,,24.5,5.6,26.7,178.0,3.5,6.3,,1.0,31.3,26.7,178.0,3.5,6.3,,1.0,31.3,26.7,178.0,3.5,6.3,,0,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,fG,1.0,0.0,1.0,,A,,1092.0,1098.0,"1095±3, Davis+Paces 90",Portage Lake Volcanics,Hnat et al.,2006.0,Tectonophysics,425,,,
Laurentia,North Shore lavas -N,9856,"recalculated from all N lavas, excluding intrusives, sites above unconformity",Ro,100.0,46.3,268.7,61.0,279.0,293.9,44.0,,41.9,0.1,34.5,181.3,2.8,2.8,,1.0,44.0,34.5,181.3,2.8,2.8,,1.0,44.0,34.5,181.3,2.8,2.8,,0,4.0,,,,,,1.0,0.0,1.0,1.0,1.0,,1.0,1,1.0,0,1.0,1.0,1.0,,A,,1094.0,1100.0,"1098.4±2.0; 1096.6±1.8, Tauxe, L., Kodama, K.P., 2009",North Shore lavas -N,"Tauxe, L., Kodama, K.P.",2009.0,Phys. Earth Plan. Int.,177,31-45,,
Laurentia,Uppermost Mamainse Point volcanics -N,9513,,"G*+,R+",100.0,47.1,275.3,34.0,198.0,293.7,37.5,,92.0,0.1,31.2,183.2,2.5,2.5,,1.0,37.5,31.2,183.2,2.5,2.5,,1.0,37.5,31.2,183.2,2.5,2.5,,0,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0,1.0,G,1.0,1.0,1.0,,A,,1095.0,1101.0,"1097; comparison to N Shore volcanic group, Swanson-Hysell et al. 2014 Geology",Uppermost Mamainse Point volcanics -N,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,
Laurentia,"Mamainse Point volcanics -C (lower N, upper R)",9512,,"G*+,Ro",100.0,47.1,275.3,24.0,96.0,293.8,47.1,,34.0,0.1,36.1,189.7,4.9,4.9,,1.0,47.1,36.1,189.7,4.9,4.9,,1.0,47.1,36.1,189.7,4.9,4.9,,42,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,G,1.0,1.0,1.0,,A,,1100.0,1101.0,"1100.36±0.25 U-Pb z , Swanson-Hysell et al. 2014 Geology","Mamainse Point volcanics -C (lower N, upper R)","Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,
Laurentia,Upper Osler volcanics -R,9514,"incorporates Halls 1974; n.b. uppermost Osler has four flows with N polarity -not used here, but pass of Voo # 6; fold test positive >99% though not stated by authors","Ro,F+",100.0,48.7,272.4,59.0,346.0,110.7,-60.9,,1000.0,0.1,42.5,201.6,3.7,3.7,,1.0,-60.9,42.5,201.6,3.7,3.7,,1.0,-60.9,42.5,201.6,3.7,3.7,,100,4.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,f,1.0,1.0,1.0,,A,,1103.0,1107.0,"Agate Pt rhyolite 1105.3±2.3 U-Pb, interbedded with Lower Osler R sites; Davis+Green 97, Swanson-Hysell et al., 2014 G3",Upper third Osler volcanics -R,"Swanson-Hysell, N., Vaughan, A.A., Mustain, M.R., Asp, K.E.",2014.0,Geochem. Geophys. Geosyst.,15,2039-2047,,
Laurentia,Lower Mamainse Point volcanics -R2,9511,,"G*+,R+",100.0,47.1,275.3,14.0,57.0,106.2,-58.3,,69.0,0.1,37.5,205.2,4.5,4.5,,1.0,-58.3,37.5,205.2,4.5,4.5,,1.0,-58.3,37.5,205.2,4.5,4.5,,100,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0,1.0,G,1.0,1.0,1.0,,A,,1103.0,1107.0,"1105 by comparison with Osler R Upper third direction , Swanson-Hysell et al. 2014 Geology",Lower Mamainse Point volcanics -R2,"Swanson-Hysell, N.L., Burgess, S.D., Maloof, A.C., Bowring, S.A.",2014.0,Geology,42,475-478,,
