Terrane,ROCKNAME,GPMDB RESULT#,MAGIC #,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,KD,ED95,PLAT,PLONG,DP,DM,A95,f (1.0 vs 0.6),INCf,PLATf,PLONf,DPf,DMf,A95f,f (1.0/0.8/0.6),INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,Q1,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,Rsum,Grade,Grade E+21,nominal age,age diff,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment,Lithology
Laurentia,Dubawnt Group,2737,,,"C+,Rc",100,64.1,265.6,30,130,347,-50,17,7,7,277,8,8,8,0.6,-63.3,-19.4,95.3,8.7,11,9.8,0.6,-63.3,-19.4,95.3,8.7,11,9.8,63,3,1,1,1,1,1,1,1,1,1,0,6,0,0,1,C,0,1,1,4,B,B,1796,75,1758,1833,"All of the samples from the Dubawnt Formation are from the Kazan Formation, the Christopher Island Formation, and the Martell syenite. The Kazan and Christopher Island Formations are cross cut by a syenite plug that is likely the 1811 Ma syenite dated by Rainbird et al., 2006.  It seems that the 1811 Ma age should be treated as the minimum age for the samples, but a conservative estimate for the age uncertainty would be between 1758 from a U-Pb zircon date from the Wharton Group above the Baker Lake Group, and U-Pb zircon 1833 Ma from a basal volcanic flow. In the compilation we use a nominal age in between, 1796 Ma. ",Dubawnt Group,"Park,J.K., Irving,E., Donaldson,J.A.",1973,Geol.Soc.Amer.Bull.,84,859-870,Paleomagnetism of the Dubawnt Group,Overlaps with a Devonian pole,sediments; redbeds
Laurentia-Rae,Martin Group,2659,,,"F+,Ro",100,59.6,251.4,15,56,322.5,-29.4,15,10.4,-9,288,6.3,11.5,8.5,0.6,-43.2,-0.2,104.8,8,12.9,10.2,0.6,-43.2,-0.2,104.8,8,12.9,10.2,60,2,1,1,1,1,1,0,1,1,1,0,5,1,0,0,f,0,0,0,2,B,A,1818,8,1814,1822,"1818±4 Ma, A UñPb baddeleyite date from one dike broadly dates this magmatic event at ca. 1818±4 Ma (Morelli et al., 2009a)",Martin Formation,"Evans,M.E., Bingham,D.K.",1973,Canad.J.Earth Sci.,10,1485-1493,"Paleomagnetism of the Precambrian Martin Formation, Saskatchewan",Overlaps with Siluro-Devonian path,sediments; redbeds
Laurentia-Rae,Sparrow Dykes,2642,,,"Co,Ro",0,61.6,250.2,10,54,131,51,50,7,12,291,6.6,9.4,7.9,1,51,12,291,6.6,9.4,7.9,1,51,12,291,6.6,9.4,7.9,20,3,1,1,1,1,1,1,0,1,1,0,5,1,0,1,0,0,0,1,3,B,B,1827,8,1823,1831,"a Pb-Pb baddeleyite TIMS age of 1827±4 Ma from Bostock and Breemen 1992 (https://doi.org/10.4095%2F134164) was reported for a 50 m-wide dike.† 1827±4 U-Pb TIMS baddeleyite fractions concordia upper intercept age from Bostock and Breemen, 1992.",Sparrow Dykes,"McGlynn,J.C., Hanson,G.N., Irving,E., Park,J.K.",1974,Canad.J.Earth Sci.,11,30-42,"Paleomagnetism and age of Nonacho Group Sandstones and associated Sparrow dikes, District of Mackenzie",Overlaps with Siluro-Devonian path,
Laurentia-Trans-Hudson orogen,Boot-Phantom Pluton,8359,,,"Rc,C+",0,54.7,258.1,18,90,46.7,83.2,72,4.1,62.4,279.4,7.9,8,7.9,1,83.2,62.4,279.4,7.9,8,7.9,1,83.2,62.4,279.4,7.9,8,7.9,6,4,1,1,1,1,1,1,1,0,1,1,6,1,0,1,C,1,0,1,5,B,B,1838,4,1836,1840,Heaman et al. 1992; no data presented but cited U-Pb zircon age is 1838 ± 2 Ma for both phases of the pluton.,Boot-Phantom Pluton,"Symons,D.T.A., Mackay,C.D.",1999,Basement Tectonics,13,313-331,"Paleomagnetism of the Boot-Phantom pluton and the amalgamation of the Juvenile domains in the Paleoproterozoic Trans-Hudson Orogen, Canada",,
Laurentia-Slave,MEAN Pearson A/Peninsular sill/Kilohigok basin sill,new,,,"C+,F+",,65,250,22,1000,162.4,3.5,1000,0.1,-22,269,6,6,6,1,3.5,-13,249,8,8,8,1,3.5,-13,249,8,8,8,MIXED,2,1,1,1,1,1,0,1,1,1,1,6,1,1,1,Cf,1,1,1,7,A,A,1870,8,1866,1874,"U-Pb on Kilohigok (Mara River) sill; Peninsular Sill, Hulbert (2005) reported an age of 1870 Ma for one of the sills, Davis and Bleeker, 2007 had a GAC abstract reporting an age of 1870 Ma. ",MEAN Pearson A/Peninsular sill/Kilohigok basin sill,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05ñ1.8 Ga) paleomagnetic poles from Slave craton,"Gong+18 reported 2 additional sites that are not included in this mean, but they confirmed the direction as a baseline for local rotations in other areas; plus they added a positive fold test",
Laurentia-Superior,MEAN Haig/Flaherty/Sutton,new,,site-weighted VGP means from 3 results,"F+,Rc",100,56,279,27,100,38.7,-47.8,1000,0.1,1,245.8,3.9,3.9,3.9,1,-47.8,1,245.8,3.9,3.9,3.9,1,-47.8,1,245.8,3.9,3.9,3.9,MIXED,3,1,1,1,1,1,1,1,1,1,1,7,1,1,1,f,1,1,1,7,B,B,1870,6,1867,1873,"1870±3 reported in an unpublished GAC abstract by Hamilton et al., 2009. ",MEAN Haig/Flaherty/Sutton,LULEÅ WORKING GROUP MEAN; Schmidt 1980; Schwarz+82.,2009,,,,,Positive reported BCT doesn't include a well-defined unbaked host direction.,
Laurentia-Slave,Takiyuak Formation,18,,,Ro,100,66.1,246.9,17,111,178,19,15,10,-13,249,8,8,8,0.6,29.9,-7.9,248.8,6.1,11.1,8.3,0.6,29.9,-7.9,248.8,6.1,11.1,8.3,18,3,1,1,1,1,1,1,0,1,1,1,6,1,0,1,0,0,0,1,3,B,B,1876,20,1866,1886,"No direct age constraints, correlation drawn across Slave: older than 1870±4 Peninsular sills and Mara River sills; younger than 1882±4 from the Fontano Fm which is interpreted to be correlated with the Gibraltar Fm, correlation interpretation from Mitchell et al., 2010. ",Takiyuak Formation,"Irving,E., McGlynn,J.C.",1979,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,,sediments; redbeds
Laurentia-Slave,"Douglas Peninsula Formation, Pethei Group",16,,High temp.,Ro,100,62.8,249.7,6,43,172,18,14,19,-18,258,10.2,19.7,14.2,0.6,28.4,-11.8,257.6,11.4,20.9,15.5,0.8,22.1,-15.5,257.8,10.6,20.1,14.6,33,3,1,1,1,0,0,1,0,1,1,1,5,0,0,1,0,0,0,1,2,B,B,1876,20,1866,1886,"correlation across Slave:††older than 1870±4; younger than 1882±4, Davis+Bleeker 07 GAC abst, correln Mitchell+10","Douglas Peninsula Formation, Pethei Group","Irving,E., McGlynn,J.C.",1979,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,,
Laurentia-Slave,"MEAN Kahochella, Peacock Hills",new,,,,100,65,250,33,1000,145.4,16.9,1000,0.1,-12,285,7,7,7,0.6,26.9,-6.6,283.7,4.1,7.6,5.6,0.6,26.9,-6.6,283.7,4.1,7.6,5.6,MIXED,2,1,1,1,1,1,0,0,1,1,1,5,1,0,1,0,0,1,1,4,B,B,1882,23,1866,1889,"regional correlations, Bowring+Grotz 92","MEAN Kahochella, Peacock Hills","Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05ñ1.8 Ga) paleomagnetic poles from Slave craton,,sediments; redbeds
Laurentia-Superior(West),Molson B+C2 dykes,new,,,C+,0,55,262,†,1000,248.6,66.7,1000,0.1,28.9,218,3.8,3.8,3.8,1,66.7,28.9,218,3.8,3.8,3.8,1,66.7,28.9,218,3.8,3.8,3.8,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,C,1,1,1,7,A,A,1885,8,1881,1889,"1884.5 ± 3.6 Ma U-Pb baddeleyite age from one dike from Heaman et al., 2009.",Molson B+C2 dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,
Laurentia-Slave,Ghost dykes,9485,,†,C+,0,62.6,244.6,23,1000,350,-48,32,5,2,254,6,6,6,1,-48,2,106,6,6,6,1,-48,2,106,6,6,6,74,4,1,1,1,1,1,1,1,1,1,0,6,1,1,1,C,1,1,0,6,A,A,1887,10,1882,1892,"1887±5 U-Pb baddeleyite ID-TIMS age from one dike from Buchan et al., 2016. ",Ghost dykes,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13ñ2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",Corresponds with Devonian pole,
Laurentia-Slave,MEAN Seton/Akaitcho/Mara,new,,,C*+,100,65,250,82,1000,169.5,34,1000,0.1,-6,260,4,4,4,1,34,-6,260,4,4,4,1,34,-6,260,4,4,4,MIXED,3,1,1,1,1,1,1,1,1,1,1,7,1,1,1,c,0,0,1,5,B,B,1889,4,1887,1891,Hoffman+23 direct age on Seton,MEAN Seton/Akaitcho/Mara,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05ñ1.8 Ga) paleomagnetic poles from Slave craton,,
Laurentia-Wyoming,Sourdough mafic dike swarm,9539,,,"C+,Ro",0,44.7,-108.3,16,109,65.1,75.2,21.8,4.7,49.2,292,8.1,8.1,8.1,1,75.2,49.2,292,8.1,8.1,8.1,1,75.2,49.2,292,8.1,8.1,8.1,6or94,4,1,1,1,1,1,1,1,1,1,0,6,1,0,1,C,1,1,1,6,A,A,1899,10,1894,1904,"U-Pb baddeleyite ID-TIMS upper intercept age of 1899+/-5 Ma from one dike from Kilian et al., 2016. ",Sourdough mafic dike swarm,"Kilian, T.M., Chamberlain, K.R., Evans, D.A.D., Bleeker, W., Cousens, B.L.",2016,Geology,44,863ñ866,Wyoming on the runóToward††nal Paleoproterozoic assembly of Laurentia,Overlaps with Ediacaran poles,
Laurentia-Rae,Clearwater Anorthosite,8429,,A Magnetization,,0,57.1,251.6,8,115,112.3,38,315.8,3.1,6.5,311.8,2.2,3.7,2.9,1,38,6.5,311.8,2.2,3.7,2.9,1,38,6.5,311.8,2.2,3.7,2.9,0,4,1,1,1,1,1,1,0,0,0,1,4,1,0,1,0,0,0,1,3,B,B,1917,14,1910,1924,"Halls and Hanes, 1999 developed two Ar isotope geochronology ages from the Clearwater anorthosite and obtained a 1917±7 Ma from hornblende and a 1839±5 Ma from biotite. The data hints a cooling age for the remanence and the 1917 Ma age is preferred given that the hornblende closure temperature (if it is a real cooling age) is closer to the remanence unblocking temperature. ",Clearwater Anorthosite,"Halls,H.C., Hanes,J.A.",1999,Tectonophysics,312,235-248,"Paleomagnetism, anisotropy of magnetic susceptibility and argon-argon geochronology of the Clearwater anorthosite, Saskatchewan, Canada",,
Laurentia-Slave,Rifle (Western River) Formation,5915,,,"Ro,C*+ (inverse baked contact test with intruding Mara River Sheet at 1870 Ma)",100,65.9,252.9,22,65,86,25,12,9,14,341,6,10,7.7,0.6,37.9,20.9,337.5,6.3,10.6,8.2,0.6,37.9,20.9,337.5,6.3,10.6,8.2,23,3,1,1,1,1,1,1,1,1,1,0,6,1,0,0,c,0,1,1,4,B,B,1963,12,1957,1969,"The Rifle Formation is dated by zircons from interbedded volcanic ash layers to be 1963 ± 6 Ma (Pb-Pb upper intercept age) by ID-TIMS method by Bowring and Grotzinger, 1992 (https://doi.org/10.2475%2Fajs.292.1.1). In the original stratigraphy chronology study, the ash bed #2 was collected between the Rifle formation and the Beechey formation near Peacock Hills area.†",Rifle (Western River) Formation,"Evans,M.E., Hoye,G.S.",1981,Geol.Surv.Canada Paper 81-10,,191-202,"Paleomagnetic results from the Lower Proterozoic rocks of Great Slave Lake and Bathurst Inlet areas, Northwest Territories",,sediments; redbeds
Laurentia-Superior(East),Minto dykes,8310,,,,0,57,285,6,44,130,-37.2,1000,0.1,38.7,171.5,13.1,13.1,13.1,1,-37.2,38.7,171.5,13.1,13.1,13.1,1,-37.2,38.7,171.5,13.1,13.1,13.1,MIXED,4,1,1,1,1,1,1,0,1,1,0,5,1,0,1,0,1,1,0,4,B,A,1998,4,1996,2000,"1998±2,†",Minto dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track,
Laurentia-Slave,Lac de Gras dykes,9404,,,"C*+,C+",0,64.4,249.6,10,54,338.2,-55.3,68,5.9,11.8,267.9,6,8.4,7.1,1,-55.3,11.8,267.9,6,8.4,7.1,1,-55.3,11.8,267.9,6,8.4,7.1,0or100,4,1,1,1,1,1,1,1,1,0,1,6,1,1,1,Cc,1,0,1,6,A,A,2027,8,2023,2031,"two baddeleyite fractions yielded ages of 2023±2, 2027±4 U-Pb concordia upper intercept ages from Buchan et al., 2009. Prefer the older one given Pb loss worries.",Lac de Gras dykes,"Buchan,K.L., LeCheminant,A.N., van Breemen,O.",2009,Canad.J.Earth Sci.,46,361-379,"Paleomagnetism and U-Pb geochronology of the Lac de Gras diabase dyke swarm, Slave Province, Canada: implications for relative drift of Slave and Superior provinces in the Paleoproterozoic",,
Laurentia-Greenland-Nain,Kangamiut Dykes,3222,,,,0,66,307,23,157,220,56,190,2.1,17.1,273.8,2.2,3.2,2.7,1,56,17.1,273.8,2.2,3.2,2.7,1,56,17.1,273.8,2.2,3.2,2.7,0or100,,1,1,1,1,1,0,1,1,0,0,4,1,0,0,C,0,0,0,3,B,B,2041,23,2031,2054,"leucodioritic cores of two dykes have yielded UñPb zircon ages of 2036±5 Ma and 2046±8 Ma (2s) (Nutman et al., 1999, https://doi.org/10.1016/s0301-9268(98)00099-0). We take the mean of the two mean ages as the nominal age of the dikes (2036+2046)/2=2041 Ma, take 2046+8 Ma as the upper age, take 2036-5 Ma as the lower age.",Kangamiut Dykes,"Fahrig, W.F., Bridgwater, D.",1976,Early Hist. of Earth,,427-439,Late Archean-Early Proterozoic paleomagnetic pole positions from West Greenland,Looks like Victoria Fjord and Tobacco Root,
Laurentia-Superior(East),Lac Esprit dykes,9486,,,,0,53,282,8,82,146.9,-56.4,1000,0.1,62,170.5,6.4,6.4,6.4,1,-56.4,62,170.5,6.4,6.4,6.4,1,-56.4,62,170.5,6.4,6.4,6.4,0or100,4,1,1,1,1,1,1,0,1,0,1,5,1,1,1,0,1,0,0,4,A,A,2069,2,2068,2070,"Buchan et al., 2007 obtained a UñPb baddeleyite concordia upper intercept age of 2069 ± 1 Ma from a Lac Esprit dike swarm",Lac Esprit dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Cenozoic,
Laurentia-Superior(West),Fort Frances dykes,1739,,,,0,48,266,†,1000,117.2,-54.8,1000,0.1,42.8,184.6,6.1,6.1,6.1,1,-54.8,42.8,184.6,6.1,6.1,6.1,1,-54.8,42.8,184.6,6.1,6.1,6.1,0or100,3,1,1,1,1,1,1,0,1,0,0,4,1,1,1,0,1,0,0,4,A,A,2077,9,2072,2081,"2076+5/-4, two fractions of baddeleyite and four fractions of zircon were analysed from the Fort Francis dyke by Buchan et al., 1996. The age of concordia upper intercept age. ",Fort Frances dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track,
Laurentia-Superior(West),Cauchon Lake dykes,8548,,,C+,0,56,263,†,1000,123.3,-63.9,1000,0.1,53.8,180.9,7.7,7.7,7.7,1,-63.9,53.8,180.9,7.7,7.7,7.7,1,-63.9,53.8,180.9,7.7,7.7,7.7,0or100,4,1,1,1,1,1,1,1,1,0,0,5,1,1,1,C,1,0,1,6,A,A,2091,4,2089,2093,a baddeleyiteñzircon UñPb ID-TIMS upper intercept date of 2091 ± 2 Ma from Halls and Heaman 2000. ,Cauchon Lake dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Mesozoic APWP,
