Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,,,,,,,,,REFNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Badplaas dykes & Nsuze basalts,9425,,C*+,0,-26,30.4,4,37,206.8,33.8,33.8,695.3,3.5,-63.6,285.4,2.3,4,3.033150178,0or100,4,1,1,1,1,1,1,1,1,0,1,6,A,2976,2965,2986,"2976, 2966pm1 on dykes; 2985pm1 on lavas; U-Pb",Badplaas dykes & Nsuze basalts,"Lubnina, N., Ernst, R., Klausen, M., SÃ¶derlund, U.",2010,Precambrian Res.,183,523-552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Derdepoort Basalt,8717,,G+,,-24.6,26.4,8,55,222.7,76.6,76.6,29.0,10.4,-39.6,004.7,17.5,17.5,17.5,2or98,4,1,1,1,1,1,1,1,1,1,0,6,A,2782,2777,2787,"2781±5, 2783±2, 2782±5, g",Derdepoort Basalt,"Wingate, M.T.D.",1998,S.Afr.J.Geol.,101,257-274,A palaeomagnetic test of the Kaapvaal - Pilbara (Vaalbara) connection at 2.78 Ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Westonaria Basalts ,NEW,,,,-27.0,27.8,4,19,066.2,79.1,79.1,64.7,10.0,-17.1,047.9,18.1,19.0,18.5,0or100,4,1,0,1,1,0,1,0,1,0,0,3,B,2714,2706,2722,,Westonaria Basalts ,"Strik, G., de Wit, M.J., Langereis, C.G.",2007,Precambrian Res.,153,96-115,"Palaeomagnetism of the Neoarchaean Pongola and Ventersdorp Supergroups and an appraisal of the 3.0-1.9 Ga apparent polar wander path of the Kaapvaal Craton, Southern Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Rykoppies dykes,9424,,C+,0,-25,32.1,7,71,210.4,56.6,56.6,78.5,6.9,-62.1,336.0,3.8,3.8,3.8,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,A,2683,2681,2685,"2683, 2683pm2, U-Pb(bd)",Rykoppies dykes,"Lubnina, N., Ernst, R., Klausen, M., SÃ¶derlund, U.",2010,Precambrian Res.,183,523-552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Allanridge basalts,9401,"B+ component, combined results",G*+,100,-28.5,24.5,18,152,197.4,61.9,61.9,71.8,4.1,-69.8,345.6,5.8,5.8,5.8,0or100,4,1,1,1,1,1,1,1,1,0,0,5,A,2675,2642,2708,"2675, stratigraphic max and min from U-Pb",Allanridge Basalts,"de Kock,M.O., Evans,D.A.D., Beukes,N.J.",2009,Precambrian Res.,153,96-115,"Palaeomagnetism of the Neoarchaean Pongola and Ventersdorp Supergroups and an appraisal of the 3.0-1.9 Ga apparent polar wander path of the Kaapvaal Craton, Southern Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Ongeluk lava and related intrusions,NEW,Includes data from resultno 8250,G*+,100,-28,23,27,1000.0,268.7,-21.0,21.0,20.8,6.2,04.1,282.9,5.3,5.3,5.3,0or100,5,1,1,1,1,1,1,1,1,0,1,6,A,2426,2423,2429,"2426±3, U-Pb(bd)",Ongeluk lava and related intrusions,"Gumsley, A.P., Chamberlain, K.R., Bleeker, W., Söderlund, U., de Kock, M.O., Larsson, E.R., Bekker, A.",2017,PNAS,114,1811-1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Hekpoort Formation,NEW,A component,"F+,Rc",100,-26.3,27.6,9,80,328.0,-80.8,80.8,42.8,8,-44.1,040.0,9.9,10.4,10.14692072,MIXED,5,1,1,1,1,1,1,1,1,1,0,6,A,2225,2222,2228,"2225±3, U-Pb(z); Dorland 2004 unpublished",Hekpoort Formation,"Humbert, F., Sonnette, L., de Kock, M.O., Robion, P., Horng, C.S., Cousture, A., Wabo, H.",2017,Geophys.J.Int.,209,842-865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Phalaborwa pyroxenite,NEW,,,0,-23.96,31.13,7,82,005.0,57.3,57.3,137.2,5.2,35.8,027.7,6.6,6.6,6.6,0or100,4,1,1,1,1,1,1,0,0,0,0,3,B,2060,2059,2061,"2060, U-Pb(bd)",Phalaborwa pyroxenite,"Letts, S., Torsvik, T.H., Webb, S.J., Ashwal, L.D.",2011,Geol. Soc. London Spec. Publ.,357,9-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,"Palabora igneous Cmplx., Grp. 1",833,,,,-24.0,31.1,11,60,013.0,48.0,48.0,33.0,8.1,35.0,045.0,7.0,11.0,8.8,0or100,4,1,1,1,1,1,1,0,0,0,0,3,B,2060,2059,2061,"2060, U-Pb(bd)","Palabora igneous Cmplx., Grp. 1","Morgan, G.E., Briden, J.C.",1981,Phys. Earth Plan. Int.,24,142-168,"Aspects of Precambrian palaeomagnetism, with new data from the Limpopo Mobile Belt and Kaapvaal craton in Southern Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Waterberg UBS-I fm,NEW,,"F*+,G+,C*+",,-24.5,28.0,9,51,019.1,41.8,41.8,25.1,10.5,36.5,051.3,10.9,10.9,10.9,MIXED,4,1,1,1,1,1,1,1,1,0,0,5,A,2054,2050,2058,,Waterberg UBS-I fm,"de Kock, M.O., Evans, D.A.D., Dorland, H.C., Beukes, N.J., Gutzmer, J.",2006,S.Afr.J.Geol.,109,157-182,"Paleomagnetism of the lower two unconformity-bounded sequences of the Waterberg Group, South Africa: Towards a better-defined apparent polar wander path for the Paleoproterozoic Kaapvaal Craton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
