RefNo,ResultNo,RockName,Year,Authors,Journal,Volume,Pages,Continent,RockType,LowAge,HighAge,LoMagAge,HiMagAge,SLat,SLon,PLat,PLon,DP,DM,QSUM,RSUM,K,A95,B,N
1189,118,Granites,1984,"Kodama,K.P.",Geophys.J.Roy.Astron.Soc.,76,273-287,North America,"intrusives, granite",1356,1367,1355,1367,38.5,-95,20.2,39.3,6,10.7,4,4,24.3,9.5,1,9
1904,1714,Tulemalu Dykes,1984,"Fahrig, W.F., Christie, K.W., Eade, K.E., Tella, S.",Canad. J. Earth Sci.,21,544-553,North America,"intrusives, diabase",2180,2200,2180,2200,62.5,-99,0.9,301.9,6,10.4,4,2,16,9,18,98
1903,1713,"Mudcracked Formation, Little Dal Group",1984,"Park, J.K.",Canad. J. Earth Sci.,21,371-375,North America,"sediments, redbeds",780,850,700,780,64.7,-127,24,184,12,18,3,,76,14,1,3
1907,1718,Burchell Lake granite,1984,"Dunlop,D.J.",Canad. J. Earth Sci.,21,1098-1104,North America,"intrusives, granite",2550,2610,2550,2610,48.7,-90.6,71.1,83.2,10.3,14.2,4,3,23.9,10,10,36
1909,1721,Hearst (Matachewan) Dykes,1984,"Ernst,R.E., Halls,H.C.",Canad. J. Earth Sci.,21,1499-1506,North America,intrusives,2452,2456,2452,2456,48.5,-81.3,48.6,69,3.6,6.9,6,5,40,6.6,12,61
1487,742,McClure Mountain Complex,1984,"Lynnes,C.S., Van der Voo,R.",Earth Planet.Sci.Letters,71,163-172,North America,"intrusives, syenites",530,540,530,540,38.1,-105.4,18,142,,,5,,,,30,166
1905,1716,Shelley Lake granite,1984,"Dunlop,D.J.",Canad. J. Earth Sci.,21,869-878,North America,"intrusives, granite",2560,2600,2560,2600,48.4,-91.3,77.6,65.8,4.7,6.4,5,3,95.4,4.4,12,43
1651,1174,Caribou Lake Gabbro,1984,"Irving,E., Davidson,A., McGlynn,J.C.",Geophys.Surv.,7,1-25,North America,"intrusives, gabbro",2176,2196,2176,2196,62.1,-112.8,14,296,4.5,6.7,5,,92,5,12,81
1894,1689,La Grande Riviere Dykes,1983,"Seguin,M.K., Sharma,K.N.M., Woussen,G., Seymour,K.St., Symons,D.T.A.",Canad. J. Earth Sci.,20,339-343,North America,intrusives,1550,1650,1550,1650,53.7,-73,74,276,20,21,1,,,11,6,19
1888,1677,Dollyberry Lake Basalts,1983,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,20,49-56,North America,"extrusives, basalts",2030,2400,2175,2250,46.1,-82.7,59,200,8.6,11,3,,16,7,31,181
1888,1678,Dollyberry Lake Basalts,1983,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,20,49-56,North America,"extrusives, basalts",2030,2400,1800,2000,46.1,-82.7,-20.6,299.3,7.6,12.9,3,,53,11,5,31
2238,5864,Griffith Mine Iron Formation,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"sediments, banded iron formation",2733,2743,2733,2743,50.8,-93.4,28.3,300.8,9.3,10.7,6,5,,6.1,,64
1889,1679,Chequamegon Sandstone,1983,"McCabe,C., Van der Voo,R.",Canad. J. Earth Sci.,20,105-112,North America,sediments,990,1050,990,1050,46.8,-90.7,-12.3,177.7,4.6,4.6,4,,81.7,5.4,10,71
1889,5904,Chequamegon Sandstone,1983,"McCabe,C., Van der Voo,R.",Canad. J. Earth Sci.,20,105-112,North America,sediments,990,1050,0,20,46.8,-90.7,83.6,275.5,3.4,3.4,4,,,,10,112
1892,1684,Lac St.Jean Anorthosite,1983,"Buchan, K.L., Fahrig, W.F., Freda, G.N., Frith, R.A.",Canad. J. Earth Sci.,20,246-258,North America,"intrusives, anorthosite, norite",1288,1614,900,950,48.7,-72,-8,167,4.6,7.3,4,,32,5.7,21,123
1892,1685,Lac St.Jean Anorthosite,1983,"Buchan, K.L., Fahrig, W.F., Freda, G.N., Frith, R.A.",Canad. J. Earth Sci.,20,246-258,North America,"intrusives, anorthosite, norite",1288,1614,900,950,48.7,-72,-19,147,8.5,10.5,4,,46.2,6.5,12,64
1893,1686,Borden dykes,1983,"Christie, K.W., Fahrig, W.F.",Canad. J. Earth Sci.,20,275-289,North America,intrusives,900,1000,900,1000,72.5,-83,-26.7,153.3,6.1,8.6,5,,44,6,14,96
1893,1687,Franklin dykes,1983,"Christie, K.W., Fahrig, W.F.",Canad. J. Earth Sci.,20,275-289,North America,intrusives,720,726,720,726,72.5,-83,9.2,153.4,2.6,5.3,7,,63,5,13,82
1893,1688,Tremblay Sound dyke,1983,"Christie, K.W., Fahrig, W.F.",Canad. J. Earth Sci.,20,275-289,North America,intrusives,650,750,650,750,72.5,-81.5,26.1,165.8,4.2,7.3,3,,207,6,4,19
1894,1690,La Grande Riviere Dykes,1983,"Seguin,M.K., Sharma,K.N.M., Woussen,G., Seymour,K.St., Symons,D.T.A.",Canad. J. Earth Sci.,20,339-343,North America,intrusives,1550,1650,950,1000,53.7,-73,-4,327,11,18,1,,,15,5,9
1894,1691,La Grande Riviere Metavolcanics,1983,"Seguin,M.K., Sharma,K.N.M., Woussen,G., Seymour,K.St., Symons,D.T.A.",Canad. J. Earth Sci.,20,339-343,North America,extrusives,2800,3000,2800,3000,53.7,-75,-49,332,13,22,1,1,,19,6,18
1894,1692,La Grande Riviere Metavolcanics,1983,"Seguin,M.K., Sharma,K.N.M., Woussen,G., Seymour,K.St., Symons,D.T.A.",Canad. J. Earth Sci.,20,339-343,North America,extrusives,2800,3000,2550,2650,53.7,-75,37,54,11,21,2,2,,20,6,13
1896,1693,Mount Nelson Formation,1983,"Morris, W.A., McMechan, M.E.",Canad. J. Earth Sci.,20,561-567,North America,sediments,900,1200,800,900,50.5,-116,10,156,5.4,10.4,4,,18,10,14,92
1896,1694,Mount Nelson Formation,1983,"Morris, W.A., McMechan, M.E.",Canad. J. Earth Sci.,20,561-567,North America,sediments,900,1200,900,1200,50.5,-116,59,119,3.3,5.2,3,,75,4,14,20
1898,1696,Natkusiak Formation,1983,"Palmer, H.C., Barager, W.R.A., Fortier, M., Foster, J.H.",Canad. J. Earth Sci.,20,1456-1469,North America,"extrusives, basalt",721,727,721,727,72,-112,6,159,4,8,6,,27.1,7.8,14,83
1898,1697,Natkusiak Formation,1983,"Palmer, H.C., Barager, W.R.A., Fortier, M., Foster, J.H.",Canad. J. Earth Sci.,20,1456-1469,North America,"extrusives, basalt",721,727,35,56,72,-112,85,217,31,31,3,,60,16,3,18
1898,1699,Minto Arch Sills,1983,"Palmer, H.C., Barager, W.R.A., Fortier, M., Foster, J.H.",Canad. J. Earth Sci.,20,1456-1469,North America,"intrusives, diabase",721,727,35,56,72,-112,80,309,3.8,3.9,4,,,2,24,129
1898,1700,Reynolds Point Formation,1983,"Palmer, H.C., Barager, W.R.A., Fortier, M., Foster, J.H.",Canad. J. Earth Sci.,20,1456-1469,North America,"sediments, shales",780,850,780,850,72.8,-110.1,-6,147,4,7,5,,48,7,10,60
1899,1701,Sakami Formation,1983,"Schwarz,E.J., Freda,G.N.",Canad. J. Earth Sci.,20,1725-1737,North America,"sediments, redbeds",1600,2500,1600,2500,53.9,-73.5,2,249,5,8,5,4,37,6,17,85
2233,5850,Kinojevis Group Tholeiites,1983,"Geissman, J.W., Strangway, D.W., Tasillo-Hirt, A.M., Jensen, L.S.",Canad. J. Earth Sci.,20,436-461,North America,"extrusives, basalts",2703,2765,2703,2765,48.4,-79.5,47,78.8,4.1,8.2,3,1,8,7.9,,38
1901,1710,Mealy dykes,1983,"Park, J.K., Emslie, R.F.",Canad. J. Earth Sci.,20,1818-1833,North America,intrusives,1326,1434,900,1100,53.4,-58.8,-34.2,147.9,17.6,19.2,4,,12,10.5,18,74
1901,1709,Mealy dykes,1983,"Park, J.K., Emslie, R.F.",Canad. J. Earth Sci.,20,1818-1833,North America,intrusives,1326,1434,1326,1434,53.4,-58.8,-22.9,186.6,4.6,6.7,5,,46,4.9,20,94
1900,1708,Wabigoon dyke,1983,"Dunlop,D.J.",Canad. J. Earth Sci.,20,1805-1817,North America,intrusives,2000,2300,2000,2300,49.7,-92.9,45,238.5,3.8,3.9,3,2,999.9,2,2,4
1900,1707,Dyment Greenstone,1983,"Dunlop,D.J.",Canad. J. Earth Sci.,20,1805-1817,North America,"metamorphics, greenstones",2500,3000,2500,2700,49.6,-92.4,46.5,69,2.9,5.8,2,,183,5.6,1,5
1900,1706,Wabigoon gabbro,1983,"Dunlop,D.J.",Canad. J. Earth Sci.,20,1805-1817,North America,"intrusives, gabbro",2500,3000,2500,3000,49.7,-92.6,-10.7,200.2,5.3,10.6,4,4,19.5,10.5,11,29
1899,1705,Chakonipau Formation,1983,"Schwarz,E.J., Freda,G.N.",Canad. J. Earth Sci.,20,1725-1737,North America,"sediments, redbeds",1600,2500,1600,2500,56.3,-68.5,-7.6,261.9,7.3,12.3,5,,29.4,10.4,8,27
2238,5860,Griffith Mine Host Rocks,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"metamorphics, metavolcanics",2733,2743,2733,2743,50.8,-93.4,19,37,1.8,3.6,4,4,,3.5,1,20
2238,5861,Griffith Mine Host Rocks,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"metamorphics, metavolcanics",2733,2743,2733,2743,50.8,-93.4,29.8,10.2,2.1,3.9,5,4,,3.5,,30
2238,5862,Griffith Mine Host Rocks,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"metamorphics, metavolcanics",2733,2743,2500,2600,50.8,-93.4,60.6,59.7,2.8,4.6,3,3,,3.8,,32
2238,5865,Griffith Mine Iron Formation,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"sediments, banded iron formation",2733,2743,2500,2700,50.8,-93.4,49.8,51.7,4.3,7.9,4,2,,7.2,,72
2238,5863,Griffith Mine Iron Formation,1983,"Symons, D.T.A.",Ontario Geol.Surv.Open File Report 5447,,1-18,North America,"sediments, banded iron formation",2733,2743,2733,2743,50.8,-93.4,14.5,60,2.6,4.5,6,5,,3.9,,100
1899,1704,Lac Imbault Redbeds,1983,"Schwarz,E.J., Freda,G.N.",Canad. J. Earth Sci.,20,1725-1737,North America,"sediments, redbeds",1600,2500,1600,2500,57.9,-70,-16,288,8,15,4,2,32,14,5,25
1899,1703,Sakami Formation,1983,"Schwarz,E.J., Freda,G.N.",Canad. J. Earth Sci.,20,1725-1737,North America,"sediments, redbeds",1600,2500,1600,2500,56,-70.8,5,218,11,20,3,2,8,19,3,19
1899,1702,Sakami Formation,1983,"Schwarz,E.J., Freda,G.N.",Canad. J. Earth Sci.,20,1725-1737,North America,"sediments, redbeds",1600,2500,1600,2500,56.5,-71.5,3,358,11,20,3,2,6,16,3,18
1882,1672,"Diabase sill, Sutton lake Inlier",1982,"Schwarz,E.J., Clark,K.R., Fujiwara,Y.",Canad. J. Earth Sci.,19,1330-1332,North America,intrusives,1500,1700,1500,1700,54.4,-84.7,-3,67,11,11,2,,39,11,6,24
1880,1670,French River Anorthosite,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,819-828,North America,"intrusives, anorthosite",1600,1800,1200,1300,46.2,-80.8,6,359,4,7.5,2,,,7,,6
1879,2229,Sudbury Dykes,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,698-708,North America,"intrusives, diabase",1232,1242,1232,1242,46.9,-80.2,3,196,7,14,4,,85,13,3,14
1468,702,"Unicoi Basalts, Blue Ridge Province",1982,"Brown, P.M., Van der Voo, R.",Earth Planet.Sci.Letters,60,407-414,North America,"extrusives, basalts",530,600,530,600,36.6,-81.6,-0.4,178.6,7.3,14.2,2,,24.4,13.8,6,23
1468,703,"Unicoi Basalts, Blue Ridge Province",1982,"Brown, P.M., Van der Voo, R.",Earth Planet.Sci.Letters,60,407-414,North America,"extrusives, basalts",530,600,428,458,36.6,-81.6,13.7,142.5,6.9,11.2,3,,29.4,9.1,10,42
1885,1676,Ghost Range Intrusion,1982,"Geissman,J.W., Strangway,D.W., Tasillo-Hirt,A.M., Jensen,L.S.",Canad. J. Earth Sci.,19,2085-2099,North America,"intrusives, gabbro",2701,2712,2701,2712,48.6,-79.8,-7,13,5.9,11.8,4,3,5.5,11.8,,33
1884,5921,Little Dal Lavas,1982,"Morris, W.A., Aitken, J.D.",Canad. J. Earth Sci.,19,2020-2027,North America,"extrusives, basalts",776,780,50,150,63.8,-128.5,47,175,6,6.5,4,,159,4,8,62
1884,1675,Little Dal Lavas,1982,"Morris, W.A., Aitken, J.D.",Canad. J. Earth Sci.,19,2020-2027,North America,"extrusives, basalts",776,780,776,780,63.8,-128.5,24,159,9.4,14.4,5,,49,11,5,34
1879,1664,Gowganda Formation,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,698-708,North America,sediments,2200,2380,2150,2300,46.8,-80.3,63,251,18,19,5,,32,10,8,35
1879,1665,Gowganda Formation,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,698-708,North America,sediments,2200,2380,950,1050,46.7,-80.3,51,315,19,21,4,,26,11,8,36
1879,1666,Nipissing Diabase,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,698-708,North America,"intrusives, diabase",2215,2223,2215,2223,46.9,-80.2,-17,275,6,10,6,5,17,8,22,94
1880,1667,French River Anorthosite,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,819-828,North America,"intrusives, anorthosite",1600,1800,925,1025,46.2,-80.8,26,315,9,10,4,,,6,6,31
1262,277,Copper Harbor Conglomerate,1982,"Elmore,R.D., Van der Voo,R.",J.Geophys.Res.,87,10918-10928,North America,"sediments, sandstones",1000,1100,1000,1100,46.8,-88.9,11.2,168.3,4,8,4,,58,8,7,45
1263,278,Cambro-Ordovician sediments,1982,"Gillett, S.L., Van Alstine, D.R.",J.Geophys.Res.,87,10929-10953,North America,sediments,472,542,251,271,36.8,-115.3,40.5,131.9,6.4,12.3,5,,19.7,11.9,9,359
1263,279,Cambro-Ordovician sediments,1982,"Gillett, S.L., Van Alstine, D.R.",J.Geophys.Res.,87,10929-10953,North America,sediments,472,542,85,95,36.8,-115.3,83.7,206.2,9.2,12,5,,43.3,7.9,9,
1880,1668,French River Anorthosite,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,819-828,North America,"intrusives, anorthosite",1600,1800,1600,1800,46.2,-80.8,-13,334,1,2,3,,,2,14,90
1880,1669,French River Anorthosite,1982,"Stupavsky,M., Symons,D.T.A.",Canad. J. Earth Sci.,19,819-828,North America,"intrusives, anorthosite",1600,1800,1600,1800,46.2,-80.8,-27,303,4,7.5,2,,,7,,16
1884,1674,Little Dal Lavas,1982,"Morris, W.A., Aitken, J.D.",Canad. J. Earth Sci.,19,2020-2027,North America,"extrusives, basalts",776,780,776,780,63.8,-128.5,24,115,3.8,7.2,5,,159,6.9,4,36
1869,1640,Fond du Lac Formation,1981,"Watts, D.R.",Canad. J. Earth Sci.,18,829-841,North America,sediments,950,1050,950,1050,46.9,-92.3,16,160,5,5,4,,23,4,11,57
1672,1213,Glen Mountains Layered Complex,1981,"Roggenthen,W.M., Fischer,J.F., Napoleone,G., Fischer,A.G.",Geophys.Res.Lett.,8,133-136,North America,"intrusives, gabbro",680,780,680,780,34.7,-98.8,-19.7,200.4,4,7.7,3,,12.6,7.3,8,33
1869,1642,Amnicon and Orienta Formations,1981,"Watts, D.R.",Canad. J. Earth Sci.,18,829-841,North America,sediments,950,1050,950,1050,46.9,-91.8,25,148,4.5,9,3,,16,9,,19
1869,1643,Amnicon and Orienta Formations,1981,"Watts, D.R.",Canad. J. Earth Sci.,18,829-841,North America,sediments,950,1050,900,1000,46.9,-91.8,-24,162,5,8,4,,46,6,,19
1869,1644,Eileen Formation,1981,"Watts, D.R.",Canad. J. Earth Sci.,18,829-841,North America,sediments,950,1050,950,1050,46.9,-91,20,156,5,10,3,,10,10,,16
1870,1645,Buckingham Volcanics,1981,"Dankers,P., Lapointe,P.",Canad. J. Earth Sci.,18,1174-1186,North America,"extrusives, latites",541,605,541,605,45.6,-75.4,-9.5,160.8,6.5,9.7,5,,39.6,7.3,11,76
1458,684,"Hades Pass Quartzite, Uinta Mountain Group",1981,"Bressler,S.",Earth Planet.Sci.Letters,55,53-64,North America,"sediments, quartzite",900,1000,900,1000,40.6,-110.5,4.6,140.1,8.9,16.8,3,,13,15.9,1,8
1458,683,Uinta Mountain Group,1981,"Bressler,S.",Earth Planet.Sci.Letters,55,53-64,North America,sediments,900,1000,900,1000,40.8,-110,0.6,157.2,5.4,5.4,4,,109.1,7.4,5,114
1871,1649,Cape Breton Island Granites,1981,"Rao,K.V., Seguin,M.K., Deutsch,E.R.",Canad. J. Earth Sci.,18,1187-1210,North America,"intrusives, granite",519,587,519,587,46.5,-60.8,37,176,2,3,3,,298,2.8,10,41
1874,1655,Copper Harbor Lavas,1981,"Halls, H.C., Palmer, H.C.",Canad. J. Earth Sci.,18,1395-1408,North America,extrusives,1100,1150,1100,1150,47.4,-88.3,34.9,175.6,2.7,4.6,6,,239.2,3.9,7,34
1874,1656,Copper Harbor Lavas,1981,"Halls, H.C., Palmer, H.C.",Canad. J. Earth Sci.,18,1395-1408,North America,extrusives,1100,1150,1050,1150,47.4,-88.3,19.1,175.7,3.5,6.7,3,,210,6.4,5,21
1874,1657,Copper Harbor Lavas,1981,"Halls, H.C., Palmer, H.C.",Canad. J. Earth Sci.,18,1395-1408,North America,extrusives,1100,1150,1050,1150,47.4,-88.3,13.4,174,1.3,2.6,3,,999.9,2.6,3,9
3939,9664,Strathcona Sound Formations,1981,"Fahrig, W.F., Christie, K.W., Jones, D.L.","Geol. Survey of Canada, Paper 81-10",,303-312,North America,sediments,1000,1100,1000,1100,73.5,-83,8,204.5,2,4,5,3,70.4,3.7,12,22
1241,246,Basinal Little Dal Group,1981,"Park, J.K.",J.Geophys.Res.,86,5134-5146,North America,"sediments, red limestones",780,850,50,650,64.7,-127,60.2,170.1,8.4,9.3,4,,73,5.1,12,33
1241,245,Basinal Little Dal Group,1981,"Park, J.K.",J.Geophys.Res.,86,5134-5146,North America,"sediments, red limestones",780,850,750,780,64.7,-127,-3.4,138.2,5.3,10.6,5,,17,10.5,13,64
1241,244,Basinal Little Dal Group,1981,"Park, J.K.",J.Geophys.Res.,86,5134-5146,North America,"sediments, red limestones",780,850,780,850,64.7,-127,-15.7,141.3,2.7,4.9,5,,79,4.5,14,87
3939,9663,Nauyat and Adams Sound Formations,1981,"Fahrig, W.F., Christie, K.W., Jones, D.L.","Geol. Survey of Canada, Paper 81-10",,303-312,North America,"extrusives, sediments",1100,1270,1100,1270,73,-83,1.5,193.5,3,6,4,3,,,12,
2232,5846,Nastapok Group,1981,"Schwarz, E.J., Fujiwara, Y.",Geol.Surv.Canada Paper 81-10,,255-267,North America,"extrusives, basalts",1700,1750,1700,1750,56.3,-76.3,39,171,4,6,3,,32,5,5,24
2232,5847,Persillon Volcanics,1981,"Schwarz, E.J., Fujiwara, Y.",Geol.Surv.Canada Paper 81-10,,255-267,North America,"extrusives, basalts",1700,1750,1700,1750,56.5,-76.3,49,134,2,4,4,,35,3,11,46
2232,5848,Persillon Volcanics,1981,"Schwarz, E.J., Fujiwara, Y.",Geol.Surv.Canada Paper 81-10,,255-267,North America,"extrusives, basalts",1700,1750,1700,1750,56.2,-76.3,46,192,9,12,4,2,13,8,4,25
2232,5849,Qingaaluk Formation,1981,"Schwarz, E.J., Fujiwara, Y.",Geol.Surv.Canada Paper 81-10,,255-267,North America,"sediments, pink sandstone",1700,1750,1700,1750,56.5,-76.3,40,167,6,11,3,,14,10,3,12
2237,5857,Adams Mine Iron Ores,1981,"Symons, D.T.A., Quick, A.W., Stupavsky, M.",Ontario Geol.Surv.Misc.Paper,98,293-307,North America,"sediments, iron ores, metamorphics",2640,2710,2640,2710,48,-79.9,-2.6,198.5,3.3,6.5,3,1,,6.5,151,171
2237,5858,Adams Mine Iron Ores,1981,"Symons, D.T.A., Quick, A.W., Stupavsky, M.",Ontario Geol.Surv.Misc.Paper,98,293-307,North America,"sediments, iron ores, metamorphics",2640,2710,2400,2600,48,-79.9,56.3,248,7.6,8,4,1,,4.2,45,46
2237,5859,Adams Mine Iron Ores,1981,"Symons, D.T.A., Quick, A.W., Stupavsky, M.",Ontario Geol.Surv.Misc.Paper,98,293-307,North America,"sediments, iron ores, metamorphics",2640,2710,2000,2200,48,-79.9,7.1,271.9,3.7,5.3,3,1,,3.7,30,45
1875,1658,Tsezotene Sills,1981,"Park, J.K.",Canad. J. Earth Sci.,18,1572-1580,North America,"intrusives, diabase",776,780,776,780,64,-130,1,139,3,6,6,,16.5,6,6,38
1875,1659,Tsezotene Sills,1981,"Park, J.K.",Canad. J. Earth Sci.,18,1572-1580,North America,"intrusives, diabase",776,780,776,780,64,-130,-1,141,4.5,9,5,,17.3,9,6,18
1876,1660,Brock Inlier Sills,1981,"Park, J.K.",Canad. J. Earth Sci.,18,1637-1641,North America,"intrusives, gabbro, diabase",720,726,720,726,68.3,-121.5,-2,165,8,16,5,,14.8,16,5,28
1878,1663,Sakami Formation,1981,"Seguin,M.K., Sharma,K.N.M., Woussen,G.",Canad. J. Earth Sci.,18,1893-1899,North America,sediments,1750,1950,1750,1950,53.9,-74,-18,257,4,7.6,4,3,73,7.1,7,13
2249,5915,Western River Formation,1981,"Evans, M.E., Hoye, G.S.",Geol.Surv.Canada Paper 81-10,,191-202,North America,"sediments, redbeds",1957,1969,1957,1969,65.9,-107.1,14,341,6,10,5,5,12,9,22,65
2249,5914,Mara Formation,1981,"Evans, M.E., Hoye, G.S.",Geol.Surv.Canada Paper 81-10,,191-202,North America,"sediments, redbeds",1250,1800,1250,1800,67.1,-107.8,-7,253,5,9,5,4,12,8,28,104
2249,5913,Peacock Hill Formation,1981,"Evans, M.E., Hoye, G.S.",Geol.Surv.Canada Paper 81-10,,191-202,North America,"sediments, redbeds",1250,1800,1250,1800,67.1,-107.8,-15,270,6.2,12.2,3,2,10.5,12.4,15,24
2249,5912,Kilohigok Basin Sill,1981,"Evans, M.E., Hoye, G.S.",Geol.Surv.Canada Paper 81-10,,191-202,North America,"intrusives, gabbro",1250,1800,1250,1800,65.8,-107.1,26.8,88.2,9.6,19,4,3,44,18.9,3,9
1867,1637,Kahochella Group,1981,"Reid, A.B., McMurry, E.W., Evans, M.E.",Canad. J. Earth Sci.,18,574-583,North America,"sediments, redbeds",1770,1830,1770,1830,62,-111.9,-7,298,6,11,4,3,12,10,18,69
1867,1638,Kahochella Group,1981,"Reid, A.B., McMurry, E.W., Evans, M.E.",Canad. J. Earth Sci.,18,574-583,North America,"sediments, redbeds",1770,1830,1650,1750,62,-111.9,14,270,5.6,7.5,4,,48,5,20,80
1868,1639,Nipissing Diabase,1981,"Morris, W.A.",Canad. J. Earth Sci.,18,591-598,North America,"intrusives, diabase",2215,2223,2135,2195,46.5,-81.1,23.9,82.7,7.1,12.5,6,4,30.9,11,7,63
1715,1274,Superior Province dykes and baked contacts,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,intrusives,2125,2175,2125,2175,49,-80.5,41,230,11.8,13.8,4,2,52,8,8,
1715,1273,Matachewan dykes,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,intrusives,2450,2455,2450,2455,48.4,-80.5,45,70,3.1,6.1,5,4,44,6,14,
1715,1272,Kinojevis Group,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,"extrusives,komatiites,intrusives,gabbro",2703,2710,1700,1900,48.4,-80.5,-4,291,8.3,11.5,3,,14,8,,28
1715,1271,Kinojevis Group,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,"extrusives,komatiites,intrusives,gabbro",2703,2710,2125,2175,48.4,-80.5,54,241,15.6,16.8,3,,30,9,11,
1715,1270,Kinojevis Group,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,"extrusives,komatiites,intrusives,gabbro",2703,2710,2540,2726,48.4,-80.5,48,57,6.4,11.8,3,2,19,11,10,
1715,1269,Kinojevis Group,1981,"Schutts,D.L., Dunlop,D.J.",Nature,291,642-645,North America,"extrusives,komatiites,intrusives,gabbro",2703,2710,2703,2710,48.4,-80.5,-29,4,7,12.4,4,3,15,11,13,
1869,1641,Fond du Lac Formation,1981,"Watts, D.R.",Canad. J. Earth Sci.,18,829-841,North America,sediments,950,1050,900,1000,46.9,-92.3,-9,145,6,6,4,,23,4,11,52
1220,174,Striped Peak Formation Unit 1,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,48.1,-116.2,-19.1,196.2,3.3,6.2,4,,22.9,5.9,,27
1220,175,Upper Wallace Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,48.1,-116.1,-24.2,200,3.4,6.6,3,,65.1,6.4,,9
1864,1633,Akaitcho River Formation,1980,"Evans, M.E., Hoye, G.S., Bingham, D.K.",Canad. J. Earth Sci.,17,1389-1395,North America,"sediments, redbeds",1880,1890,1880,1890,62.3,-110.4,-4,268,5,8,6,5,13,7,35,120
1862,1630,Haig Intrusives,1980,"Schmidt, P.W.",Canad. J. Earth Sci.,17,807-822,North America,intrusives,1869,1871,1869,1871,56.4,-79,1,247,6,6,7,6,23,6,10,41
1862,1629,Flaherty Volcanics,1980,"Schmidt, P.W.",Canad. J. Earth Sci.,17,807-822,North America,"extrusives, basalts",1869,1871,1869,1871,56.5,-79,,244,7,7,6,5,46,7,11,35
1862,1628,Eskimo Volcanics,1980,"Schmidt, P.W.",Canad. J. Earth Sci.,17,807-822,North America,"extrusives, basalts",1688,1738,1500,1700,56.4,-79,19,243,15,15,3,,27,12,7,23
1862,1627,Eskimo Volcanics,1980,"Schmidt, P.W.",Canad. J. Earth Sci.,17,807-822,North America,"extrusives, basalts",1688,1738,1688,1738,56.4,-79,-40,2,12,12,5,3,36,10,7,29
1220,170,Upper Pilcher Quartzite,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,"sediments, quartzite",760,1740,760,1740,47.1,-114.4,5.1,178.6,9.4,16.2,3,,16.4,14.1,,8
1220,169,McNamara Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,47.6,-113.7,-12.2,203.2,3.2,5.4,4,,26.4,4.7,,36
1220,168,Basal Pilcher Quartzite,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,"sediments, quartzite",760,1740,760,1740,46.9,-113.8,-17.7,214,4,6.9,3,,58.7,6,,11
1220,176,Shepard Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,47.2,-113.3,-24.7,212.8,1.6,3,5,,31.1,2.8,3,83
1220,177,Snowslip Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,47,-114.1,-25.1,204.4,2.1,4.1,4,,16.5,3.9,,84
1220,179,Spokane Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,47.3,-112.5,-27.2,212.9,2.8,5.4,4,,18.8,5.2,,42
1220,178,Empire Formation,1980,"Elston,D.P., Bressler,S.L.",J.Geophys.Res.,85,339-355,North America,sediments,760,1740,760,1740,47.2,-112.6,-19.1,205.6,4,7.4,4,,15.7,6.9,2,30
