tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names
20639	1	2026-05-14T04:26:43.892Z	@contributor	3.0	10.1139/E93-167	Not Determined (For Legacy Datasets Only)
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_sites	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_k	pole_n_sites	description
southern Superior Province	A1:A3:A4:A5:A6_1:A6_2:A7:A8	Region	Abitibi dyke swarm ca. 1141 Ma pole	a	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:GM-UPB	10.1139/e93-167	Igneous	Monzogabbro: Olivine Gabbro: Diabase	47.075	49.88	274.375	284.22	1140.6	Ma	0	291.9	63.1	9.8	33	8	44.4	148.6	15.4	12.1	9.8	33	8	mean declination and inclination is calculated for common reference locality of 48.0N 81.0W with the mean directions of dykes: Age from Krogh et al. (1987)
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
A8-32	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.676	281.874	1140.6	1	Ma	0	258.5	46	19.1	24	4	n					Dyke A8: age from Krogh et al. 1987
A8-33	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	49.32	282.82	1140.6	1	Ma	0	264.5	63.5	8.9	192	3	n					Dyke A8: age from Krogh et al. 1987
A1	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Monzogabbro	48	279	1140.6	1	Ma	0	99.3	-45.2			1	r	25.5	158.6			age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A3	southern Superior Province	a	g	LP-DIR-T:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	298.3	52.4			2	n	42.1	165.6			age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A4	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	126.4	-71.5			2	r	57	136.2			age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A5	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	310.5	59.1	10.9	72	4	n	54.1	165.3	16.3	12.2	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A6_1	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	283.1	57.2	6.2	153	5	n	35.2	151.2	9.1	6.6	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A6_2	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	302.7	70.9	4.4	189	7	n	54.8	137.1	7.7	6.7	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A7	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	146.2	-80.7			2	r	61.5	102.3			age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
A8	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48	279	1140.6	1	Ma	0	264.9	60.1	9.4	68	5	n	26.3	138	14.2	10.7	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W
