tab	sites																						
site	location	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	citations	method_codes
ns002	North Shore Volcanics	ns002b1 : ns002c1 : ns002d1 : ns002f1	6.6	HEM	283.5	38.7	192	4	4	0	n	3.9844	100	47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ntpb; Terrace Point Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns002	North Shore Volcanics	ns002b1 : ns002c1 : ns002d1 : ns002f1	6.7	HEM	291	32.6	191.1	4	4	0	n	3.9843	0	47.73415	269.57081	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ntpb; Terrace Point Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns003	North Shore Volcanics	ns003d2 : ns003e1 : ns003f1	8.1	HEM	286.6	48.2	232.9	3	3	0	n	2.9914	100	47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns003	North Shore Volcanics	ns003d2 : ns003e1 : ns003f1	8.1	HEM	296.5	41.3	234.1	3	3	0	n	2.9915	0	47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns003	North Shore Volcanics	ns003a1 : ns003b1 : ns003d2 : ns003e1 : ns003f1	3.8	MAG:HEM	286.9	47.9	412.9	5	5	0	n	4.9903	100	47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns003	North Shore Volcanics	ns003a1 : ns003b1 : ns003d2 : ns003e1 : ns003f1	3.8	MAG:HEM	296.7	41	414.1	5	5	0	n	4.9903	0	47.7371	269.58863	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns004	North Shore Volcanics	ns004a1 : ns004c1 : ns004e1 : ns004f1 : ns004g1	5.6	MAG	290	47.8	186.1	5	5	0	n	4.9785	100	47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nbwb; Breakwater Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns004	North Shore Volcanics	ns004a1 : ns004c1 : ns004e1 : ns004f1 : ns004g1	5.6	MAG	299.3	40.4	184.5	5	5	0	n	4.9783	0	47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nbwb; Breakwater Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns005	North Shore Volcanics	ns005b1 : ns005c1 : ns005e1 : ns005g1	5.3	MAG	305.3	29	298.6	4	4	0	n	3.99	0	47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns005	North Shore Volcanics	ns005b1 : ns005c1 : ns005e1 : ns005g1	5.3	MAG	299.8	37.6	298.6	4	4	0	n	3.99	100	47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns006	North Shore Volcanics	ns006b1 : ns006c1 : ns006d2 : ns006e2 : ns006f1	3	HEM	301.1	30.4	657	5	5	0	n	4.9939	0	47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns006	North Shore Volcanics	ns006b1 : ns006c1 : ns006d2 : ns006e2 : ns006f1	3	HEM	294.9	38.4	653.4	5	5	0	n	4.9939	100	47.7161	269.50957	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns007	North Shore Volcanics	ns007a1 : ns007c1 : ns007d1 : ns007f1 : ns007g1	5.8	HEM	307.4	31.8	173.2	5	5	0	n	4.9769	0	47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns007	North Shore Volcanics	ns007a1 : ns007c1 : ns007d1 : ns007f1 : ns007g1	5.8	HEM	301.5	40.6	173.7	5	5	0	n	4.977	100	47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns008	North Shore Volcanics	ns008a1 : ns008b1 : ns008c1 : ns008d1 : ns008h1	4.8	HEM	313.9	34	255.1	5	5	0	n	4.9843	0	47.60108	269.21345	Igneous : Intrusive	Sill	Diorite	DE-SPEC	lvpd; Leveaux porphyritic diorite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
