site,comp,tilt,dec,inc,alpha95,k,n,lat,lon,vgp_lat,vgp_lon,vgp_dp,vgp_dm
SLB10,mag,0,269.2,12.3,5.7,83,9,47.5325,-90.9334,4.0,183.9,3.0,5.8
SLB10,mag,100,264.6,27.3,5.2,98,9,47.5325,-90.9334,7.1,192.8,3.1,5.7
SLB11,hem,0,268.1,26.0,8.6,37,9,47.5322,-90.9335,8.8,189.8,5.0,9.3
SLB11,hem,100,260.3,37.5,8.6,37,9,47.5322,-90.9335,9.1,200.3,6.0,10.1
SLB11,mag,0,271.6,24.6,8.4,39,9,47.5322,-90.9335,10.5,186.7,4.8,9.0
SLB11,mag,100,264.5,36.9,8.4,39,9,47.5322,-90.9335,11.5,197.1,5.8,9.8
SLB12,hem,0,270.0,22.7,2.7,359,9,47.5322,-90.9335,8.7,187.1,1.5,2.9
SLB12,hem,100,263.3,34.7,2.7,360,9,47.5322,-90.9335,9.6,196.9,1.8,3.1
SLB12,mag,0,270.9,19.5,2.9,324,9,47.5322,-90.9335,8.0,185.2,1.6,3.0
SLB12,mag,100,265.2,31.8,2.9,324,9,47.5322,-90.9335,9.5,194.3,1.8,3.3
SLB13,hem,0,270.1,12.5,6.0,85,8,47.5318,-90.9329,4.7,183.3,3.1,6.1
SLB13,hem,100,266.0,24.9,6.0,85,8,47.5318,-90.9329,6.9,190.9,3.5,6.4
SLB13,mag,0,270.5,11.7,5.8,91,8,47.5318,-90.9329,4.7,182.7,3.0,5.9
SLB13,mag,100,266.7,24.2,5.8,91,8,47.5318,-90.9329,7.1,190.1,3.3,6.2
SLB14,hem,0,273.1,16.7,5.5,87,9,47.5311,-90.9325,8.4,182.6,2.9,5.7
SLB14,hem,100,268.3,29.5,5.5,88,9,47.5311,-90.9325,10.5,191.1,3.4,6.1
SLB14,mag,0,268.5,10.7,2.4,462,9,47.5311,-90.9325,3.0,183.8,1.2,2.4
SLB14,mag,100,264.8,22.8,2.4,472,9,47.5311,-90.9325,5.3,190.9,1.4,2.5
SLB15,hem,0,271.1,10.8,4.6,148,8,47.5309,-90.9315,4.8,181.9,2.4,4.7
SLB15,hem,100,267.6,23.4,4.6,149,8,47.5309,-90.9315,7.4,189.1,2.6,4.9
SLB15,mag,0,270.7,10.3,5.2,114,8,47.5309,-90.9315,4.3,182.1,2.7,5.3
SLB15,mag,100,267.3,22.8,5.2,114,8,47.5309,-90.9315,6.9,189.1,2.9,5.5
SLB16,hem,0,279.5,9.5,5.6,86,9,47.5306,-90.931,9.9,175.3,2.9,5.7
SLB16,hem,100,276.7,23.6,5.6,86,9,47.5306,-90.931,13.6,182.6,3.2,6.0
SLB16,mag,0,278.0,9.6,7.2,53,9,47.5306,-90.931,9.0,176.4,3.7,7.3
SLB16,mag,100,275.0,23.5,7.2,53,9,47.5306,-90.931,12.4,183.8,4.1,7.7
SLB17,hem,0,290.4,35.9,6.6,71,8,47.5302,-90.9308,28.2,178.3,4.4,7.7
SLB17,hem,100,283.5,51.4,6.6,71,8,47.5302,-90.9308,31.7,193.5,6.1,9.0
SLB17,mag,0,289.8,34.8,6.8,68,8,47.5302,-90.9308,27.3,178.1,4.5,7.8
SLB17,mag,100,283.0,50.2,6.8,68,8,47.5302,-90.9308,30.7,192.9,6.1,9.1
SLB18,hem,0,287.1,36.1,3.6,205,9,47.5301,-90.9306,26.1,180.8,2.4,4.2
SLB18,hem,100,279.2,51.1,3.6,206,9,47.5301,-90.9306,28.7,196.0,3.3,4.9
SLB18,mag,0,287.0,36.7,3.5,217,9,47.5301,-90.9306,26.3,181.2,2.4,4.1
SLB18,mag,100,278.8,51.6,3.5,218,9,47.5301,-90.9306,28.7,196.6,3.2,4.8
SLB19,hem,0,290.2,33.0,3.6,208,9,47.5299,-90.9304,26.7,176.9,2.3,4.1
SLB19,hem,100,284.0,48.4,3.6,208,9,47.5299,-90.9304,30.3,190.8,3.1,4.7
SLB19,mag,0,289.4,33.4,3.4,228,9,47.5299,-90.9304,26.4,177.7,2.2,3.9
SLB19,mag,100,282.9,48.8,3.4,231,9,47.5299,-90.9304,29.8,191.8,3.0,4.5
SLB20,hem,0,293.8,36.1,3.7,223,8,47.5298,-90.9303,30.6,175.8,2.5,4.3
SLB20,hem,100,287.8,51.9,3.7,223,8,47.5298,-90.9303,34.8,191.2,3.5,5.1
SLB20,mag,0,295.1,35.9,4.1,181,8,47.5298,-90.9303,31.4,174.7,2.8,4.8
SLB20,mag,100,289.6,51.9,4.1,180,8,47.5298,-90.9303,36.0,190.1,3.8,5.6
SLB21,hem,0,288.2,29.5,4.2,173,8,47.5295,-90.93,23.8,176.7,2.6,4.6
SLB21,hem,100,282.4,44.7,4.2,173,8,47.5295,-90.93,27.2,189.3,3.3,5.3
SLB21,mag,0,290.2,29.9,3.9,202,8,47.5295,-90.93,25.3,175.4,2.4,4.3
SLB21,mag,100,284.7,45.4,3.9,201,8,47.5295,-90.93,29.1,188.2,3.1,5.0
