site,site_lat,site_lon,dec,inc,a95,n,k,Plat,Plon,A95
R09YW19,62.4567,245.463,2,-55,9,8,31,8,244,12
R08WG,62.4578,245.4434,8,-47.9,3,11,215,2,238.69,3
R08DS1,62.4722,245.612,344,-37,8,6,65,-6,261,7
R08WGP,62.4861,245.2371,177,60,7,25,17,13,248,9
R08WBD2,62.3201,245.7688,18,-33,6,8,82,-8,229,5
