Terrane,ROCKNAME,Lithology,SLAT,SLONG,nominal age,lomagage,himagage,Grade,f method,f source,f,f low,f high,PLAT uncorrected,PLONG uncorrected,A95 uncorrected,PLAT,PLONG,Zdec,Zinc,Zeta,Edec,Einc,Eta,A95,n resampled,Comment
Laurentia,Chuar Group (combined),Mudstone; Sandstone; Dolomite,36.23,248.13,755,748,761,A,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,7.5,163.6,4.2,10.8,168.2,265.7,34.2,8.2,63.3,53.6,4.2,5.9,1000000,37 pooled site/sample VGPs: too few directions for an E/I or SVEI determination of f
Laurentia,Uinta Mountain Group,Sandstone; Mudstone,40.8,250.7,759,743,767,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,1.9,160.6,2.1,2.4,161.1,253.2,40.7,2.3,68.4,49.2,2.1,2.2,1000000,74 site VGPs: too few directions for an E/I or SVEI determination of f
Laurentia-Scotland,Torridon Group,,57.9,354.3,975,950,1050,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,-17.7,220.9,7.1,-29.6,213.3,265.1,47.4,16.0,140.5,27.6,7.2,10.7,1000000,grand mean of seven published studies; no directional distribution available for an E/I or SVEI determination of f
Laurentia,Jacobsville Formation,,47.3,-88.2,990,980,1000,A,"E/I (Tauxe & Kent, 2004)",Zhang et al. (2024),0.64,0.51,0.83,-14.2,186.2,2.7,-16.9,183.4,255.5,45.2,4.1,108.1,39.9,3.1,3.6,,"Kent ellipse of the E/I-corrected pole as reported by Zhang et al. (2024, Table 1), propagated over the bootstrap f distribution following Pierce et al. (2022); the f = 0.64 correction is reproduced from the data in this notebook"
Laurentia,Upper Freda Formation,,47.0,271.0,1045,1032,1063,B,"SVEI (Tauxe et al., 2024)","this study, following Fuentes et al. (2025)",0.73,0.59,0.87,4.7,169.8,2.1,3.6,168.8,262.8,47.8,2.8,75.5,42.0,2.4,2.6,100000,SVEI flattening range of Fuentes et al. (2025) propagated to the pole with ipmag.find_svei_kent in this notebook
Laurentia,Lower Freda Formation,,46.8,270.4,1075,1063,1085,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,1.2,179.7,2.4,1.4,179.8,271.2,45.2,2.4,88.5,44.8,2.4,2.4,1000000,"legacy Henry et al. (1977) specimen directions; the SVEI elongation (E = 2.11) falls outside the TK03.GAD range at this near-equatorial paleolatitude, so f is not resolved by these data"
Laurentia,Nonesuch Formation,,46.5,269.5,1077,1066,1086,A,"E/I (Tauxe & Kent, 2004)","this study, following Slotznick et al. (2024)",0.43,0.38,0.62,3.9,180.4,1.7,6.6,182.9,280.0,47.1,2.8,86.9,42.1,2.0,2.4,100000,E/I correction of Slotznick et al. (2024) reproduced with ipmag.find_ei_kent in this notebook
Laurentia-Scotland,Stoer Group,,58.0,354.5,1199,1129,1269,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,37.2,238.4,7.7,46.1,246.1,21.6,34.4,14.8,129.0,23.6,7.8,10.7,1000000,grand mean of six published studies; no directional distribution available for an E/I or SVEI determination of f
Laurentia,"Pilcher, Garnet Range, Libby",Redbeds,46.72,-113.66,1385,1378,1407,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,-20.6,217.6,7.9,-11.1,221.2,282.3,67.9,14.5,135.0,18.9,8.0,10.8,1000000,4 site-level mean directions: too few for an E/I or SVEI determination of f
Laurentia,McNamara,Muddy Sandstone; Redbed,47.1,-113.66,1392,1378,1407,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,-14.3,210.2,7.9,-4.2,215.0,295.8,65.0,15.3,126.9,24.5,8.0,11.0,1000000,10 site-level mean directions: too few for an E/I or SVEI determination of f
Laurentia,Snowslip,Redbeds,47.9,-114.1,1449,1436,1463,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,-25.2,212.1,3.3,-19.0,214.8,265.0,61.8,9.0,132.0,20.1,3.3,5.5,1000000,9 site-level mean directions: too few for an E/I or SVEI determination of f
Laurentia,Spokane,Redbeds,48.18,-113.44,1458,1445,1471,B,"compilation f (Pierce et al., 2022)",this study,0.62,0.43,0.91,-16.4,216.1,7.3,-6.1,220.0,293.9,68.8,14.8,132.3,20.2,7.3,10.4,1000000,15 site-level mean directions: too few for an E/I or SVEI determination of f
