Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f,INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,40,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,R,Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment
Laurentia,Sept-Iles Layered Intrusion,GPMDB:1752,Component A,"C*+ (positive inverse baked-contact test: intrusion retains Remanence A away from the cross-cutting dykes, which carry Remanence B)",0,50.2,293.5,10,51,333.1,-29.0,29.0,33.6,8.5,-19.7,321.2,,,6.5,1.0,-29.0,-19.7,321.2,,,6.5,1.0,-29.0,-19.7,321.2,,,6.5,0,4,1,1,1,1,1,1,1,1,0,0,5,1,1,1,c,0,0,0,4,B,565,561,569,"U-Pb zircon age 565 +/- 4 Ma (weighted mean of 207Pb/206Pb dates on granophyric zircon within the layered gabbros; Higgins & van Breemen, 1998).",Sept-Iles Layered Intrusion,"Tanczyk, E. I., Lapointe, P., Morris, W. A., & Schmidt, P. W.",1987,Canadian Journal of Earth Sciences,24,1431-1438,"A paleomagnetic study of the layered mafic intrusion at Sept-Iles, Quebec","Challenge with this direction is that it overlaps with the Ordovician/Silurian APWP of Laurentia which would be the expected time of remagnetization associated with Taconic/Salinic orogeny. The steep Remanence B (dykes + baked host, pole 59S/116E) is not included in the compilation given suspicion of remagnetization. Pole calculated from site VGPs in Swanson-Hysell et al., 2026."
Laurentia,Catoctin Basalts,GPMDB:7474,"A component (steep, magnetite-carried) characteristic remanent magnetization; dual polarity","C+ (positive baked-contact test, feeder dikes/sill bake the Pedlar Granite), F+ (positive fold test), Rc (positive reversal test, class C), M (dual-polarity record)",100,38.5,281.8,6,28,66.8,83.6,83.6,60.3,8.7,42.4,306.9,,,16.5,1.0,83.6,42.4,306.9,,,16.5,1.0,83.6,42.4,306.9,,,16.5,50,4,1,1,1,1,1,1,1,1,1,1,7,1,0,1,fC,1,1,1,6,B,568,555,577,"U-Pb zircon Concordia intercept 572 +/- 5 Ma on a Catoctin feeder dike (Aleinikoff et al., 1995) and 207Pb/206Pb 564 +/- 9 Ma on an interbedded rhyolite; the mean of the two with combined bounds is taken.",Catoctin Basalts,"Meert, J. G., Van der Voo, R., & Payne, T. W.",1994,Journal of Geophysical Research,99,4625-4641,Paleomagnetism of the Catoctin volcanic province: a new Vendian-Cambrian apparent polar wander path for North America,"Pole calculated from site VGPs in Swanson-Hysell et al., 2026"
Laurentia,Callander Alkaline Complex,GPMDB:6458,"ChRM A component (magnetite + hematite), geographic coordinates",C+ (positive baked-contact test: Cambrian lamprophyre dike site 19 bakes Grenville gneiss site 29); R- (negative reversal test; 3 of 26 sites reversed),0,46.2,280.6,26,205,82.2,82.7,82.7,83.2,3.1,46.5,300.8,,,5.8,1.0,82.7,46.5,300.8,,,5.8,1.0,82.7,46.5,300.8,,,5.8,12,4,1,1,1,1,1,1,1,0,1,1,6,0,1,1,C,1,0,1,5,B,575,570,580,Age of magnetization constrained only qualitatively; K-Ar and Pb-Pb ages of ~550-588 Ma led Symons & Chiasson (1991) to adopt an assumed age of 575 +/- 5 Ma. No precise published U-Pb date on the sampled units.,Callander Alkaline Complex,"Symons, D. T. A., & Chiasson, A. D.",1991,Canadian Journal of Earth Sciences,28,355-363,Paleomagnetism of the Callander Complex and the Cambrian apparent polar wander path for North America,"Pole calculated from site VGPs in Swanson-Hysell et al., 2026"
Laurentia,Baie des Moutons complex A,GPMDB:9364,ChRM A characteristic remanent magnetization (geographic coordinates),baked-contact tests inconclusive (no stable remanence in host syenite),0,50.84,301.04,8,55,98.6,78.0,78.0,71.8,6.6,42.9,331.9,,,11.5,1.0,78.0,42.9,331.9,,,11.5,1.0,78.0,42.9,331.9,,,11.5,0,4,1,1,1,1,1,1,0,0,0,1,4,1,1,1,0,1,0,1,5,B,583,581,585,"Weighted-mean hornblende 40Ar-39Ar plateau age of 583.4 +/- 2.0 Ma (McCausland et al., 2011)",Baie des Moutons complex A,"McCausland, P. J. A., Hankard, F., Van der Voo, R., & Hall, C. M.",2011,Precambrian Research,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar-39Ar geochronology of the 583 Ma Baie des Moutons syenite, Quebec","Pole calculated from site VGPs in Swanson-Hysell et al., 2026"
Laurentia,Baie des Moutons complex B,GPMDB:9365,ChRM B characteristic remanent magnetization (geographic coordinates),baked-contact tests inconclusive (no stable remanence in host syenite),0,50.84,301.04,6,44,163.1,6.0,6.0,10.5,21.7,-33.9,321.9,,,15.7,1.0,6.0,-33.9,321.9,,,15.7,1.0,6.0,-33.9,321.9,,,15.7,20,4,1,1,1,0,0,1,0,0,1,0,3,1,0,1,0,1,0,0,3,B,583,581,585,"The host complex has a weighted-mean hornblende 40Ar-39Ar plateau age of 583.4 +/- 2.0 Ma (McCausland et al., 2011).",Baie des Moutons complex B,"McCausland, P. J. A., Hankard, F., Van der Voo, R., & Hall, C. M.",2011,Precambrian Research,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar-39Ar geochronology of the 583 Ma Baie des Moutons syenite, Quebec","Like the younger Sept-Iles pole the pole overlaps with the late Paleozoic path which is when overprinting could be expected due to orogenesis on the margin. Pole calculated from site VGPs in Swanson-Hysell et al., 2026."
Laurentia,Long Range Dykes,GPMDB:6934-6936,"Characteristic remanent magnetization; three-dyke mean (dykes 2, 4, 6), geographic coordinates","C+ (positive baked-contact test on dyke 2; Murthy et al., 1992)",0,53.7,303.3,3,69,124.8,55.5,55.5,48.0,18.0,-12.4,165.4,,,20.8,1.0,55.5,-12.4,165.4,,,20.8,1.0,55.5,-12.4,165.4,,,20.8,0,4,1,1,1,1,1,1,1,1,1,1,7,1,0,1,C,1,0,1,5,B,615,613,617,"- **615 ± 2 Ma** U-Pb (zircon + baddeleyite) on the longest dyke of the swarm (Kamo et al., 1989).
- **Kamo & Gower (1994)** — ""U-Pb baddeleyite dating clarifies age of characteristic paleomagnetic remanence of Long Range dykes"" — obtained a 615 +6/-4 Ma  Ma baddeleyite age on dyke 4 of Murthy et al. (1992) providing age constraints on the remanence carried by dykes 2, 4, 6 that are used for the pole.",Long Range Dykes,"Murthy, G. S., Gower, C., Tubrett, M., & Patzold, R.",1992,Canadian Journal of Earth Sciences,29,1224-1234,"Paleomagnetism of Eocambrian Long Range dykes and Double Mer Formation from Labrador, Canada","Updated to Murthy et al. (1992) three primary-remanence dykes (2, 4, 6);  Replaces the prior compilation value (19N/355.3E), which followed the Hodych et al. (2004) 8-site recalculation (omit dyke 5, combine same-segment sites; D=110.3/I=56.8 converted to a pole) and is not reproducible from the published dyke means. Pole calculated from site VGPs in Swanson-Hysell et al., 2026."
Laurentia,Franklin event grand mean,new,Characteristic remanent magnetization (magnetite); mixed polarity; grand mean of 56 previous-study Canadian site VGPs,"C+ (positive baked-contact test; Denyszyn et al., 2009)",0,73.0,275.4,56,56,114.3,0.4,0.4,19.6,4.4,6.7,162.1,,,3.0,1.0,0.4,6.7,162.1,,,3.0,1.0,0.4,6.7,162.1,,,3.0,50,4,1,1,1,1,1,1,1,1,1,0,6,1,1,1,C,1,1,1,7,A,719,718,720,"Six zircon 206Pb/238U dates 718.61 +/- 0.30 to 719.86 +/- 0.21 Ma record rapid emplacement of the Franklin LIP (Pu et al., 2022), superseding earlier baddeleyite dates.",Franklin event grand mean,"Denyszyn, S. W., Halls, H. C., Davis, D. W., & Evans, D. A. D.",2009,Canadian Journal of Earth Sciences,46,689-705,Paleomagnetism and U-Pb geochronology of Franklin dykes in High Arctic Canada and Greenland,"Reproduces ""D+09can"" pole as mean of VGPs of Canadian Franklin studies (28 normal + 28 reverse sites; Fahrig 1971, Fahrig+Schwarz 1973, Park 1974/1981, Palmer+Hayatsu 1975, Christie+Fahrig 1983, Palmer et al. 1983)"
Laurentia,Chuar Group (combined),,"High-temperature characteristic remanent magnetization (hematite), dual polarity; combined Carbon Canyon + Carbon Butte + Awatubi members (37 readings); detrital sediments","F+ (positive fold test, 66-109% unfolding) and R+ (positive reversal test within the coeval Carbon Butte-Awatubi members, Watson V 7.4<7.6, MM1990 class C; the full combined-set reversal test is confounded by inter-member APW) (Weil et al., 2004; Eyster et al., 2020)",100,36.23,248.13,37,154,272.7,16.5,16.5,19.4,5.5,7.5,163.6,,,4.2,0.6,26.3,10.3,167.9,3.2,5.9,4.4,0.6,26.3,10.3,167.9,3.2,5.9,4.4,50,4,,,,,,,,,,,,1,1,1,f,1,1,0,6,A,755,748,761,"Member ages from the Dehler et al. (2023) U-Pb / Re-Os age model (Carbon Canyon 761.1 Ma; Carbon Butte-Awatubi 750.5 Ma); Re-Os 751.0 +/- 7.6 Ma on the Walcott Member (Rooney et al., 2017).",Chuar Group (combined),"Weil, A. B., Geissman, J. W., & Van der Voo, R.; Eyster, A., et al. (combined three-member pole)",2020,Precambrian Research; GSA Bulletin,129; 132,71-92; 710-738,"Paleomagnetism of the Neoproterozoic Chuar Group, Grand Canyon (Weil et al., 2004; Eyster et al., 2020)","New combined Chuar Group pole, Fisher mean of 37 individual tilt-corrected site VGPs: Carbon Butte-Awatubi (N=23) + Carbon Canyon (N=14). The 17 Eyster HT Carbon Butte-Awatubi readings are reconstructed from Supplemental Table S2 (GSA DR 2019239): linear shallow-HT fits with MAD<15 deg, one per sample (great-circle fits excluded as Eyster uses them only in locality means). This reproduces Eyster N=17 pole 12.5/161.6. Plus 6 Weil (2004) Carbon Butte + 14 Weil Carbon Canyon site VGPs."
Laurentia,Uinta Mountain Group,GPMDB:9290,"Hematite-carried characteristic remanent magnetization (west-normal / east-reverse), shallow; detrital/early-diagenetic",,100,40.8,250.7,74,496,271.3,2.5,2.5,33.4,2.9,1.9,160.6,,,2.1,0.6,4.2,2.4,161.4,1.5,2.9,2.1,0.6,4.2,2.4,161.4,1.5,2.9,2.1,50,4,1,1,1,1,1,1,0,1,1,0,5,1,1,1,0,1,0,0,4,B,759,743,767,"Old (maximum) age bound 766.3 +/- 0.5 Ma: CA-ID-TIMS detrital-zircon U-Pb places the entire Uinta Mountain Group younger than 766 Ma (MDA 766.3 +/- 0.5 Ma, Dehler et al., 2023). Young (minimum) age bound ~730 Ma: correlation of the upper UMG (Red Pine Formation) with the upper Chuar Group via shared vase-shaped microfossils. Age range 730-766 Ma within the late-Tonian ChUMP (Chuar-Uinta Mountains-Pahrump) rift correlation.",Uinta Mountain Group,"Weil, A. B., Geissman, J. W., & Ashby, J. M.",2006,Precambrian Research,147,234-259,"A new paleomagnetic pole for the Neoproterozoic Uinta Mountain supergroup, Central Rocky Mountain States, USA","Recalculated pole of the 74 ChRM site VGPs documented in Swanson-Hysell et al., 2026."
Laurentia,Gunbarrel LIP,MagIC:20603,Component HTC,"C (two positive baked-contact tests: Christmas Lake dike J20B24, Calder sheet R10HL8; Ding et al., 2025)",100,45.03,-109.88,14,92,276.3,-3.7,3.7,13.7,11.1,3.2,151.5,,,8.0,1.0,-3.7,3.2,151.5,,,8.0,1.0,-3.7,3.2,151.5,,,8.0,,,,,,,,,,,,,,1,1,1,C,1,0,1,6,A,780,776,782,"Multiple U-Pb ID-TIMS baddeleyite ages: 779.5 ± 3 Ma (BT-8), 779.6 ± 1.4 Ma (Gunbarrel sill), 779.5 ± 1.8 Ma (Calder sheet); all from Harlan et al. (2003).",Gunbarrel LIP,"Ding, J., Evans, D. A. D., Kilian, T., Mitchell, R. N., Gong, Z., Chamberlain, K., Bleeker, W., & Zhang, S.",2025,Journal of Geophysical Research: Solid Earth,130,,Local rotations biasing supercontinental configurations: Revisiting a key ca. 780 Ma paleomagnetic pole for Laurentia and Rodinia,"Pole calculated from VGPs as in Ding et al. 2025 (reproduced in Swanson-Hysell et al., 2026)."
