site,n,inc,dec,R,k,a95
8,6,-0.1,279.4,5.95,94,7
16,6,17.3,283.7,5.88,42,10.4
19,6,1.7,284.8,5.97,147,5.6
23,6,-23.1,286.8,5.98,203,4.7
25,5,-24.5,288.8,5,107,2.3
26,6,-21.4,287,5.99,895,2.2
29,6,-7.2,288.9,5.88,40,10.7
31,6,-22.7,286.7,5.95,103,6.7
41,4,3.2,278.3,3.97,90,9.4
