site,n,inc,dec,R,k,a95
1,6,32.3,274.8,5.87,38,11
3,6,-7.4,303,5.89,44,10.2
4,6,-33.2,288.9,5.94,78,7.6
6,6,-39.2,292.5,5.92,64,8.5
7,6,21.6,300.8,5.88,43,10.4
9,6,-21.1,316.4,5.95,105,6.6
10,6,41.2,290,5.91,55,9.1
11,5,11.7,299.2,4.98,247,4.9
18,6,11.9,281.5,5.98,241,4.3
22,5,11.8,292.7,4.97,146,6.4
24,6,-26.1,287.3,5.99,892,2.2
27,5,-19.4,290.7,4.98,184,5.7
28,6,-28.4,288.2,5.99,588,2.8
30,6,-16.6,296.8,5.99,530,2.9
32,6,-28.7,300.4,5.97,175,5.1
37,8,1.1,305.3,7.66,21,12.5
38,5,-1.6,296.1,4.91,44,11.7
39,6,21.1,285.6,6,"2,144",1.5
40,5,14.2,281.6,4.99,561,3.2
42,6,-7.3,288.4,5.89,46,10
43,6,28,296.1,5.99,380,3.4
45,5,-13.6,275.8,5,"1,029",2.4
46,5,-30.5,283.9,4.99,359,4
48,5,4.5,278.2,4.87,32,13.8
