tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lon	vgp_lat	vgp_dp	vgp_dm
1	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	95.6	-17.1	7.5	79.8	6	r	Dark facies	28.6	-10.4	4.0	7.8
2	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	94.2	-14.8	16.0	33.7	4	r	Dark facies	29.1	-8.6	8.4	16.4
3	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	277.5	13.7	9.1	55.1	6	n	Dark facies	206.0	9.9	4.7	9.3
4	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	282.2	17.6	5.7	179.0	5	n	Dark facies	203.2	14.2	3.1	5.9
5	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	273.7	21.3	9.6	49.3	6	n	Dark facies	211.5	11.2	5.3	10.1
6	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	276.0	18.6	7.8	96.8	5	n	Dark facies	208.7	11.3	4.2	8.1
7	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1320	30	Ma	0	275.2	18.6	12.4	39.2	5	n	Dark facies	209.4	10.8	6.7	12.9
8	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	286.2	19.6	11.8	61.3	4	n	Dark facies	200.3	17.3	6.4	12.3
9	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	277.8	18.6	6.9	96.9	6	n	Dark facies	207.1	12.3	3.7	7.2
10	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	283.2	16.2	8.5	51.0	7	n	Dark facies	201.8	14.2	4.5	8.8
11	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	282.0	10.4	9.3	52.8	6	n	Dark facies	201.1	11.0	4.8	9.4
12	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	280.9	10.6	11.8	42.7	5	n	Dark facies	202.1	10.5	6.1	12.0
13	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	276.6	17.4	5.8	276.0	5	n	Dark facies	207.7	11.1	3.1	6.0
14	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	287.1	13.3	12.0	59.8	4	n	Dark facies	197.6	15.0	6.2	12.2
15	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	265.0	13.2	16.1	33.5	4	n	Dark facies	216.1	2.8	8.4	16.4
16	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	100.5	-9.1	9.5	95.0	4	r	Dark facies	22.0	-9.6	4.8	9.6
17	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	99.5	-19.8	6.5	199.0	4	r	Dark facies	26.0	-13.7	3.6	6.8
18	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1320	30	Ma	0	94.4	-14.1	11.2	47.7	5	r	Dark facies	28.6	-8.4	5.9	11.5
19	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.54	298.41	1320	30	Ma	0	285.7	28.4	11.5	64.8	4	n	Pale facies	203.9	21.2	6.9	12.6
20	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-076	Intrusive	Pluton	Anorthosite	56.54	298.41	1320	30	Ma	0	267.3	26.4	16.5	56.6	3	n	Pale facies	218.4	10.1	9.7	17.9
21	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.54	298.41	1320	30	Ma	0	273.1	26.1	28.2	20.2	3	n	Pale facies	213.6	13.1	16.5	30.5
