tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	description	continent_ocean	country	state_province	terranes
Nain Anorthosite	Region	Nain anorthosite ca. 1305 Ma pole	a	g	1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.44	56.54	298.26	298.41	1305	1283	1328	Ma	0	11.8	206.8	2.5	162.9	21	24	Paleomagnetic pole for the Nain anorthosite (Nain Plutonic Suite), a massif-type anorthosite complex of coastal Labrador that lies north of the Grenville Front and is unaffected by Grenvillian metamorphism (Murthy, 1978). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles from all 21 sites, combining the dark facies (olivine-bearing anorthosite; Palungotok Island and the region south of Nain) and the pale facies (hypersthene-bearing anorthosite; Paul Island). The characteristic remanence, carried by magnetite with subordinate hematite, was isolated by thermal demagnetization to stable end points; five sites carry the antipodal easterly (reversed) direction, recording a magnetic reversal consistent with a primary origin. The pole age is the Sm-Nd age of the Kiglapait layered intrusion within the complex (DePaolo, 1985); the host anorthosite yields an older Rb-Sr age (Barton, 1974). Original Murthy (1978) site numbers are retained in the site descriptions.	North America	Canada	Newfoundland and Labrador	Laurentia
Nain Anorthosite dark facies	Region	Nain anorthosite dark-facies pole	a	g	1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.44	56.5	298.26	298.4	1305	1283	1328	Ma	0	11.3	206.0	2.4	216.5	18	28	Dark-facies anorthosite (olivine-bearing) of the Nain complex, sampled on Palungotok Island and in the region south of Nain (Murthy, 1978, sites 1-18). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; both normal (westerly) and reversed (easterly) polarities are present.	North America	Canada	Newfoundland and Labrador	Laurentia
Nain Anorthosite pale facies	Region	Nain anorthosite pale-facies pole	a	g	19:20:21	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.54	56.54	298.41	298.41	1305	1283	1328	Ma	0	14.9	212.1	14.0	79.0	3	0	Pale-facies anorthosite (hypersthene-bearing) of the Nain complex, sampled on Paul Island (Murthy, 1978, sites 19-21). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles. Murthy (1978) found the pale-facies mean direction to differ significantly from the dark facies.	North America	Canada	Newfoundland and Labrador	Laurentia
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lat	vgp_lon	vgp_dp	vgp_dm	age_low	age_high
1	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	95.6	-17.1	7.5	79.8	6	r	Dark facies	-10.4	28.6	4.0	7.8	1283	1328
2	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	94.2	-14.8	16.0	33.7	4	r	Dark facies	-8.6	29.1	8.4	16.4	1283	1328
3	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	277.5	13.7	9.1	55.1	6	n	Dark facies	9.9	206.0	4.7	9.3	1283	1328
4	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	282.2	17.6	5.7	179.0	5	n	Dark facies	14.2	203.2	3.1	5.9	1283	1328
5	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	273.7	21.3	9.6	49.3	6	n	Dark facies	11.2	211.5	5.3	10.1	1283	1328
6	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	276.0	18.6	7.8	96.8	5	n	Dark facies	11.3	208.7	4.2	8.1	1283	1328
7	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.44	298.4	1305	Ma	0	275.2	18.6	12.4	39.2	5	n	Dark facies	10.8	209.4	6.7	12.9	1283	1328
8	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	286.2	19.6	11.8	61.3	4	n	Dark facies	17.3	200.3	6.4	12.3	1283	1328
9	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	277.8	18.6	6.9	96.9	6	n	Dark facies	12.3	207.1	3.7	7.2	1283	1328
10	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	283.2	16.2	8.5	51.0	7	n	Dark facies	14.2	201.8	4.5	8.8	1283	1328
11	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	282.0	10.4	9.3	52.8	6	n	Dark facies	11.0	201.1	4.8	9.4	1283	1328
