,,,,,,,,dec,inc,,,,
1,6,92.4,-9.2,15.6,19.3,5.741,530,95.6,-17.1,7.5,79.8,5.937,8.3
2,4,89,-5.6,29.4,10.8,3.721,530,94.2,-14.8,16,33.7,3.911,12.1
3,6,295.7,60.8,19.7,12.5,5.601,540,277.5,13.7,9.1,55.1,5.909,10
4,5,292.5,66.3,6.4,143,4.972,540,282.2,17.6,5.7,179,4.978,5.4
5,6,296.5,70.4,11.8,33.4,5.851,510,273.7,21.3,9.6,49.3,5.899,10.5
6,5,291.4,58.3,13.3,34,4.882,500,276,18.6,7.8,96.8,4.959,7.3
7,5,287.2,47.3,32.2,6.6,4.394,510,275.2,18.6,12.4,39.2,4.898,11.6
8,4,296.4,70.1,18.8,25,3.880,620,286.2,19.6,11.8,61.3,3.951,9
9,6,312.3,72.4,15.4,19.9,5.748,610,277.8,18.6,6.9,95.9,5.948,7.5
10,7,24.8,80.6,23.6,7.5,6.197,630,283.2,16.2,8.5,51.0,6.883,10.5
11,6,340.6,81.8,17.8,15.0,5.667,640,282.0,10.4,9.3,52.8,5.905,10.2
12,5,257.6,86.7,40.6,4.5,4.113,640,280.9,10.6,11.8,42.7,4.906,11.1
13,5,21.3,77.2,18.2,18.6,4.785,640,276.6,17.4,5.8,176,4.977,5.5
14,4,284.2,54.8,18.8,25.0,3.880,620,287.1,13.3,12.0,59.8,3.95,9.1
15,4,35.0,80.4,33.4,8.5,3.648,"530,600",265.0,13.2,16.1,33.5,3.911,12.1
16,4,44.7,78.9,18.6,25.2,3.881,610,100.5,-9.1,9.5,95.0,3.968,7.2
17,4,69.7,70.4,25.2,14.2,3.789,600,99.5,-19.8,6.5,199,3.985,5
18,5,85.3,74.0,15.7,24.6,4.837,600,94.4,-14.1,11.2,47.7,4.916,10.5
19,4,300.2,70.1,10.7,74.2,3.96,650,285.7,28.4,11.5,64.8,3.954,8.7
20,3,270.4,71,18,47.8,2.958,640,267.3,26.4,16.5,56.6,2.965,8.8
21,3,225.1,76.4,54.7,6.2,2.675,640,273.1,26.1,28.2,20.2,2.901,14.8
