tab delimited	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1441	1463	1419	Ma	10.1139/e76-086		12.9	89.6	9.8	28.0	6	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	36	13.042474601238878	6.59326138464966	4.296551429829492	23.94509803469048
1441	1463	1419	Ma	10.1139/e76-086		17.3	95.2	2.3	13.0	7	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	37	17.310457988276248	8.660461149245	-1.9852647372825816	21.467486898022894
1441	1463	1419	Ma	10.1139/e76-086		33.8	74.5	15.7	4.9	6	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	38	34.76818805968767	17.882054747837397	15.329623822637028	34.73761650059762
1441	1463	1419	Ma	10.1139/e76-086		14.3	276.5	0.1	23.0	6	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	41	14.30001633512054	7.15001633512987	3.709187150269374	201.0682478402713
1441	1463	1419	Ma	10.1139/e76-086			98.0	3.6		2	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	42			-3.0191329746358315	18.78346589003696
1441	1463	1419	Ma	10.1139/e76-086		8.9	93.5	15.6	58.0	6	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	43	9.151645078262124	4.705202676319064	4.582824713530637	19.031351173226184
1441	1463	1419	Ma	10.1139/e76-086			106.1	1.9		2	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	g	i	44			-8.222037057375214	12.487904446983546
1441	1463	1419	Ma	10.1139/e76-086		11.6	209.7	83.6	28.0	7	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	b	i	34	22.779323733760982	22.366275421012343	44.23132776040648	287.70427081448594
1441	1463	1419	Ma	10.1139/e76-086			74.0	17.0		6	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	b	i	35			16.17935201958259	34.75587459545331
1441	1463	1419	Ma	10.1139/e76-086		17.4	355.0	77.8	11.0	8	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	b	i	39	32.67966515499855	30.688520535713423	78.72155815342126	286.22244181573495
1441	1463	1419	Ma	10.1139/e76-086		19.5	276.2	46.6	10.0	7	0	Intrusive	Pluton	55.59	Quartz Monzonite	Mistastin Pluton	296.40999999999997	LP-DIR-AF:DE-BLANKET:DE-FM	b	i	40	25.089504188798426	16.140595395890603	26.07727418105245	218.3206234526959
1441	1463	1419	Ma	10.1016/j.epsl.2015.02.011	basement	9.8	257.2	9.3	33.0	8	0	Intrusive	Pluton	55.9218	Quartz Monzonite	Mistastin Pluton	296.6033	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	g	i	8	9.89740885460746	4.997892960982762	-3.217908054191043	219.84015320422864
1441	1463	1419	Ma	10.1016/j.epsl.2015.02.011	melt + basement	3.7	187.1	-67.1	168.0	10	0	Intrusive	Pluton	55.8322	Quartz Monzonite	Mistastin Pluton	296.641	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	b	i	13	6.13637417080226	5.088525400552584	-82.61194972047322	258.30119018054154
1441	1463	1419	Ma	10.1016/j.epsl.2015.02.011	baesment	8.7	181.0	-60.7	78.0	5	0	Intrusive	Pluton	55.8322	Quartz Monzonite	Mistastin Pluton	296.6469	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	b	i	15	13.273220393844372	10.125194231239426	-75.8535236114432	293.5906757670164
1441	1463	1419	Ma	10.1016/j.epsl.2015.02.011	basement	11.7	262.4	6.1	34.0	6	0	Intrusive	Pluton	55.8915	Quartz Monzonite	Mistastin Pluton	296.5953	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	g	i	16	11.749860811267352	5.899967054878473	-1.7122008281407302	214.6045441539422
