site,n,inc,dec,R,k,a95
33,5,-13.3,290.4,4.99,729,2.8
34,5,-19.7,295.3,4.86,28,14.8
35,3,-15.1,292.5,2.97,65,15.4
36,5,-13.6,289.8,4.97,154,6.2
