tab 	sites
age	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	site
1100	Ma	10.1139/e93-122		3.2	281.3	58.2	268.2	9	9	9	0.0	Intrusive:Igneous	Sill	33.7	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD01
1100	Ma	10.1139/e93-122		4.3	277.3	55.7	165.8	8	8	8	0.0	Intrusive:Igneous	Sill	33.7	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD02
1100	Ma	10.1139/e93-122	1.0		279.2	57.0						Intrusive:Igneous	Sill	33.7	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD01-02
1100	Ma	10.1139/e93-122	2.0	3.6	285.3	51.4	165.0	11	11	11	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD03
1100	Ma	10.1139/e93-122	3.0	7.7	295.5	56.6	81.9	7	7	7	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD04
1100	Ma	10.1139/e93-122	4.0	5.8	283.2	26.0	108.5	7	7	7	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD05
1100	Ma	10.1139/e93-122		8.4	301.8	54.9	38.6	9	9	9	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD06
1100	Ma	10.1139/e93-122		3.2	268.6	40.6	265.4	9	9	9	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD07
1100	Ma	10.1139/e93-122	5.0		282.8	48.9						Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD06-07
1100	Ma	10.1139/e93-122	6.0	5.6	318.0	61.2	56.1	13	13	13	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD08
1100	Ma	10.1139/e93-122	7.0	11.5	299.2	53.8	21.1	9	9	9	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD09
1100	Ma	10.1139/e93-122	8.0	3.3	267.5	38.2	421.5	6	6	6	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD10
1100	Ma	10.1139/e93-122		9.5	283.7	44.3	94.2	4	4	4	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD12
1100	Ma	10.1139/e93-122		2.3	281.4	42.7	427.0	1	1	1	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD13
1100	Ma	10.1139/e93-122	9.0		282.5	43.5						Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.3	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD12-13
1100	Ma	10.1139/e93-122	10.0	8.3	285.9	17.1	34.5	1	1	1	0.0	Intrusive:Igneous	Sill	33.6	Diabase	Gila County	249.1	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD17
1100	Ma	10.1139/e93-122		2.8	345.6	35.2	386.0	8	8	8	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.2	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD18
1100	Ma	10.1139/e93-122		7.0	343.7	34.1	119.6	5	5	5	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.2	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD19
1100	Ma	10.1139/e93-122		3.6	328.8	38.9	242.4	8	8	8	0.0	Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.2	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD20
1100	Ma	10.1139/e93-122	11.0		339.6	36.3						Intrusive:Igneous	Sill	33.5	Diabase	Gila County	249.2	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD18-20
1100	Ma	10.1139/e93-122	12.0	5.1	270.1	40.4	120.3	8	8	8	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD22
1100	Ma	10.1139/e93-122	13.0	4.2	277.6	0.0	153.8	9	9	9	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD23
1100	Ma	10.1139/e93-122	14.0	4.0	297.9	58.5	168.0	9	9	9	0.0	Intrusive:Igneous	Sill	33.8	Diabase	Gila County	249.5	LP-DIR-AF:LP-DIR-T:DE-BFL:LP-DC4	g	GD24
