tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
9-GM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pyroclastic Flow	Pyroclastite	85	279	37.594	269.421			1448.0	1484.0	Ma	0	151.2	22.7	17.5	13.0	7.0						
9-GM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pyroclastic Flow	Pyroclastite	85	279	37.594	269.421			1448.0	1484.0	Ma	100	213.7	36.6	17.5	13.0	7.0		-23.9	234.7	11.9	20.4	
10-GM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pyroclastic Flow	Pyroclastite	40	230	37.587	269.413			1448.0	1484.0	Ma	0	294.0	78.0	7.1	116.0	6.0						
10-GM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pyroclastic Flow	Pyroclastite	40	230	37.587	269.413			1448.0	1484.0	Ma	100	245.0	43.7	7.1	116.0	6.0		-2.2	214.5	5.5	8.9	
11-SM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pluton	Granite	32	195	37.607	269.364			1448.0	1484.0	Ma	0	251.9	64.0	13.1	22.0	7.0						
11-SM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pluton	Granite	32	195	37.607	269.364			1448.0	1484.0	Ma	100	223.4	39.4	13.1	22.0	7.0		-17.5	227.6	9.4	15.7	
12-RG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	21	209	37.573	269.295			1448.0	1484.0	Ma	0	236.0	46.0	5.3	163.0	6.0						
12-RG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	21	209	37.573	269.295			1448.0	1484.0	Ma	100	229.7	26.7	5.3	163.0	6.0		-20.4	217.2	3.1	5.8	
13-RG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	15	215	37.544	269.314			1448.0	1484.0	Ma	0	252.1	48.1	11.8	111.0	3.0						
13-RG	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	15	215	37.544	269.314			1448.0	1484.0	Ma	100	244.7	35.5	11.8	111.0	3.0		-6.6	210.3	7.9	13.7	
14-TS	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	5	233	37.529	269.262			1448.0	1484.0	Ma	0	255.0	56.0	6.4	111.0	4.0						
14-TS	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	5	233	37.529	269.262			1448.0	1484.0	Ma	100	252.6	51.3	6.4	111.0	4.0		7.0	214.6	5.9	8.7	
15-TS	St. Francois Mountains	i	b	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	40	31	37.457	269.199			1448.0	1484.0	Ma	0	44.0	6.1	21.2	19.7	6.0						
15-TS	St. Francois Mountains	i	b	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	40	31	37.457	269.199			1448.0	1484.0	Ma	100	46.5	-32.8	21.2	19.7	6.0		19.5	42.1	13.6	24.0	
16-TS	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	25	68	37.48	269.168			1448.0	1484.0	Ma	0	240.1	15.9	7.6	78.7	7.0						
16-TS	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	25	68	37.48	269.168			1448.0	1484.0	Ma	100	238.0	40.6	7.6	78.7	7.0		-8.4	217.2	5.6	9.2	
17-BM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	29	260	37.452	269.188			1448.0	1484.0	Ma	0	184.0	56.0	4.2	208.0	6.0						
17-BM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	29	260	37.452	269.188			1448.0	1484.0	Ma	100	213.8	41.3	4.2	208.0	6.0		-21.1	236.1	3.1	5.1	
18-BM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	21	60	37.498	269.117			1448.0	1484.0	Ma	0	230.0	11.9	5.5	151.0	6.0						
18-BM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	21	60	37.498	269.117			1448.0	1484.0	Ma	100	228.4	32.5	5.5	151.0	6.0		-18.5	220.4	3.5	6.2	
19-LM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	14	100	37.606	269.212			1448.0	1484.0	Ma	0	228.0	3.8	5.1	173.0	6.0						
19-LM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Lava Flow	Rhyolite	14	100	37.606	269.212			1448.0	1484.0	Ma	100	226.4	12.3	5.1	173.0	6.0		-28.5	214.2	2.6	5.2	
21-SM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pluton	Granite	37	218	37.584	269.37			1448.0	1484.0	Ma	0	270.3	71.3	4.4	161.0	8.0						
21-SM	St. Francois Mountains	i	g	LP-DIR-T:LP-DIR-AF:LP-IRM-3D:DE-BFL:DE-FM:FS-FD:SO-SM:ST-F	10.1029/2000TC001265:10.3133/pp1866	Igneous	Pluton	Granite	37	218	37.584	269.37			1448.0	1484.0	Ma	100	237.2	39.7	4.4	161.0	8.0		-9.4	217.5	3.2	5.2	
