tab	sites
site	location	result_type	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_n_total_samples	dir_polarity	vgp_lat	vgp_lon	description
ML2	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8112	273.2772	1144.0				Ma	0	103.8	-61.4	5.5	125.0	6	12	r	38.6	206.9	Lamprophyre dikes: Age from Queen et al. (1996)
D15	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8027	273.2905	1144.0				Ma	0	126.2	-59.4	10.2	46.2	5	9	r	51.5	191.2	Lamprophyre dikes: Age from Queen et al. (1996)
D16 H	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8034	273.2934	1144.0				Ma	0	118.8	-57.2	7.6	47.2	8	11	r	45.4	192.9	Lamprophyre dikes: Age from Queen et al. (1996)
MM3	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8081	273.2924	1144.0				Ma	0	112.3	-85.9	9.9	65.0	4	6	r	51.3	261.2	Lamprophyre dikes: Age from Queen et al. (1996)
D14	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8024	273.2885	1144.0				Ma	0	124.7	-67.4	9.8	48.0	6	9	r	54.9	207.1	Lamprophyre dikes: Age from Queen et al. (1996)
MM1	Southern Superior Province	i	LP-DIR-T:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8029	273.292	1144.0				Ma	0	106.3	-69.8	12.9	61.6	3	3	r	45.7	218.8	Lamprophyre dikes: Age from Queen et al. (1996)
D10 H	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8022	273.2855	1144.0				Ma	0	184.6	-71.4	11.4	45.9	7	9	r	82.2	292.6	Lamprophyre dikes: Age from Queen et al. (1996)
D11	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8022	273.2855	1144.0				Ma	0	147.7	-55.6	11.7	25.5	6	10	r	63.3	167.1	Lamprophyre dikes: Age from Queen et al. (1996)
D12	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8021	273.2859	1144.0				Ma	0	123.1	-64.9	14.0	19.6	6	10	r	52.7	202.5	Lamprophyre dikes: Age from Queen et al. (1996)
MM2	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8029	273.292	1144.0				Ma	0	110.8	-59.7	13.3	58.4	2	3	r	41.8	200.9	Lamprophyre dikes: Age from Queen et al. (1996)
MM2 Baked	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:ST-C	10.1029/2018JB015992	Igneous	Baked Contact	Greenstone	48.8029	273.292			2.62	2.8	Ga	0	170.7	-82.4			1	2	r			Schreiber-White River Archean greenstone belt rocks in the Marathon area: Age from Polat et al. 1998
MM2 Unbaked	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:ST-C	10.1029/2018JB015992	Igneous	Lava	Greenstone	48.8029	273.292			2.62	2.8	Ga	0	74.7	86.0			1	2	r			Schreiber-White River Archean greenstone belt rocks in the Marathon area: Age from Polat et al. 1998
D1	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	47.7043	276.6809	1144.0				Ma	0	182.7	-78.1	7.6	46.6	8	18	r	70.5	279.8	Lamprophyre dikes: Age from Queen et al. (1996)
D1 Baked	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:ST-C	10.1029/2018JB015992	Igneous	Baked Contact	Mafic Dike	47.7043	276.6809	2.45				Ga	0	60.9	-75.6	7.9	503.0	2	4	r			Matachewan dike: Age from Halls et al. 1991
D1 Unbaked	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:ST-C	10.1029/2018JB015992	Igneous	Volcanic Dike	Mafic Dike	47.7043	276.6809	2.45				Ga	0	25.0	33.0	3.2	465.0	5	10	r			Matachewan dike: Age from Halls et al. 1991
D3 H	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	47.7041	276.6813	1144.0				Ma	0	130.0	-68.1	14.2	76.0	5	5	r	57.9	211.9	Lamprophyre dikes: Age from Queen et al. (1996)
D4	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.0584	277.2865	1144.0				Ma	0	117.9	-80.4	10.7	20.2	15	18	r	53.6	248.8	Lamprophyre dikes: Age from Queen et al. (1996)
D7 H	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-BFP-G	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.0373	275.4566	1144.0				Ma	0	102.9	-79.0	14.0	13.7	8	12	r	48.3	243.4	Lamprophyre dikes: Age from Queen et al. (1996)
D2 H	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	47.7042	276.6818	1144.0				Ma	0	259.4	81.1	8.6	64.7	5	5	n	42.0	253.4	Lamprophyre dikes: Age from Queen et al. (1996)
D5	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.059	277.2869	1144.0				Ma	0	331.6	77.2	14.8	11.7	5	9	n	67.0	247.1	Lamprophyre dikes: Age from Queen et al. (1996)
D9	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.0373	275.4566	1144.0				Ma	0	271.2	61.6	14.3	19.0	6	10	n	31.0	216.5	Lamprophyre dikes: Age from Queen et al. (1996)
D13	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8023	273.288	1144.0				Ma	0	301.1	81.7	14.6	9.8	11	14	n	54.8	248.7	Lamprophyre dikes: Age from Queen et al. (1996)
ML1	Southern Superior Province	i	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM	10.1029/2018JB015992	Igneous	Volcanic Dike	Lamprophyre:Ultramafitite	48.8112	273.2772	1144.0				Ma	0	9.5	70.5	11.2	51.1	4	8	n	81.7	314.6	Lamprophyre dikes: Age from Queen et al. (1996)
A4a	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	48.45	278.9	1140.6	1.0			Ma	0	125.9	-71.7			2	14	r	57.0	223.7	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A7abi	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	47.08	276.25	1140.6	1.0			Ma	0	150.4	-80.8			2	12	r	61.5	257.8	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A3-abi	Southern Superior Province	a	LP-DIR-T:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	48.2	275.2	1140.6	1.0			Ma	0	296.1	54.9			2	12	n	42.5	194.4	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A5-abi	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	48.4	278.8	1140.6	1.0			Ma	0	310.1	59.5	10.7	74.0	4	25	n	54.5	196.0	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A6-1-a	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	47.9	277.6	1140.6	1.0			Ma	0	283.3	56.6	6.5	138.8	5	39	n	35.2	209.2	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A6-2-a	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	48.5	280.5	1140.6	1.0			Ma	0	302.0	71.0	4.4	193.3	7	76	n	54.9	223.3	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
A8-abi	Southern Superior Province	a	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167:10.1029/2018JB015992	Igneous	Volcanic Dike	Olivine Gabbro	48.5	281.8	1140.6	1.0			Ma	0	266.3	58.5	9.5	66.4	5	19	n	26.8	222.8	Abitibi dikes: Data taken from Ernst and Buchan (1993) and recalculated by Piispa et al. (2018): Age from Krogh et al. (1987)
