tab 	sites
N	age	age_high	age_low	age_sigma	age_unit	citations	description	dip	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	n	paleolatitude	result_quality	result_type	site	strike	vgp_dm	vgp_dp	vgp_lat	vgp_lat_rev	vgp_lon	vgp_lon_rev
9	1430	1445	1415		Ma	10.1029/94JB00580	Tr	35.0	18.1	59.7	-50.0	12.0	7	0	Igneous	Pluton	41.782	Troctolite	Rocky Mountain intrusions	254.652	DE-FM	7		g	i	La8	280.0	24.18969252335029	16.16412222028256	-1.0244611563338628		26.765321926402972	
9	1430	1445	1415		Ma	10.1029/94JB00580	An	25.0	8.2	47.2	-54.2	40.0	9	0	Igneous	Pluton	41.777	Anorthosite	Rocky Mountain intrusions	254.655	DE-FM	9		g	i	La9	278.0	11.520404029258149	8.092665182765089	2.1105115298208026		37.540816523243	
9	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	7.0	54.5	-43.2	55.0	9	0	Igneous	Pluton	41.735	Syenite	Rocky Mountain intrusions	254.563	DE-FM	9		g	i	La11	192.0	8.692155728412347	5.396683657640827	6.276523833442849		26.71469374370134	
9	1430	1445	1415		Ma	10.1029/94JB00580	Sy	20.0	3.6	30.6	-48.1	202.0	9	0	Igneous	Pluton	41.709	Syenite	Rocky Mountain intrusions	254.515	DE-FM	9		g	i	La14	203.0	4.708799007945	3.079553902392195	13.734652088792775		47.27302970176069	
7	1430	1445	1415		Ma	10.1029/94JB00580	An xen	21.0	9.5	71.8	-58.3	51.0	5	0	Igneous	Pluton	41.713	Anorthosite:Syenite	Rocky Mountain intrusions	254.525	DE-FM	5		g	i	La15	45.0	14.051496603122237	10.3918187782924	-13.737188339722689		25.0531561743501	
10	1430	1445	1415		Ma	10.1029/94JB00580	Sy	25.0	4.4	37.1	-51.9	120.0	10	0	Igneous	Pluton	41.716	Syenite	Rocky Mountain intrusions	254.539	DE-FM	10		g	i	La16	28.0	6.012466693110551	4.107926788154967	8.291077883956714		43.61014882031921	
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy	35.0	2.5	41.1	-48.4	476.0	8	0	Igneous	Pluton	41.719	Syenite	Rocky Mountain intrusions	254.542	DE-FM	8		g	i	La17	235.0	3.280968414373911	2.1529507472238487	9.412916193358411		39.04872490562194	
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	8.3	29.8	-48.4	46.0	8	0	Igneous	Pluton	41.732	Syenite	Rocky Mountain intrusions	254.549	DE-FM	8		g	i	La18	206.0	10.892815135721385	7.147796480783179	13.746421540801078		48.07469005934084	
9	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	14.0	31.1	-51.3	34.0	9	0	Igneous	Pluton	41.738	Anorthosite	Rocky Mountain intrusions	254.571	DE-FM	9		g	i	La19	195.0	18.995452359706427	12.88668608392416	10.927859864136586		48.06517094117122	
10	1430	1445	1415		Ma	10.1029/94JB00580	An	45.0	4.3	70.4	-36.4	147.0	9	0	Igneous	Pluton	41.77	Anorthosite	Rocky Mountain intrusions	254.639	DE-FM	9		g	i	La25	275.0	5.012586173453958	2.9216302495699766	0.24874529900849643		12.519967850660908	
8	1430	1445	1415		Ma	10.1029/94JB00580	An	45.0	8.0	38.2	-48.9	58.0	7	0	Igneous	Pluton	41.764	Anorthosite	Rocky Mountain intrusions	254.626	DE-FM	7		g	i	La26	278.0	10.55829262472117	6.967346446827596	10.214891393643335		41.58977132153621	
9	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	10.0	48.3	-53.6	37.0	7	0	Igneous	Pluton	41.758	Anorthosite	Rocky Mountain intrusions	254.61	DE-FM	7		g	i	La27	235.0	13.946723579713838	9.725554930447302	2.1143214573772706		36.41372228614029	
8	1430	1445	1415		Ma	10.1029/94JB00580	An	55.0	8.0	50.1	-43.8	48.0	8	0	Igneous	Pluton	41.751	Anorthosite	Rocky Mountain intrusions	254.598	DE-FM	8		g	i	La28	192.0	9.994509445955451	6.243138691580796	8.256836862060945		30.250988905295312	
9	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	3.7	37.0	-43.3	194.0	9	0	Igneous	Pluton	41.645	Syenite	Rocky Mountain intrusions	254.515	DE-FM	9		g	i	La29	250.0	4.599060114950147	2.8582910730980085	14.870646688015226		40.2323747619943	
8	1430	1445	1415		Ma	10.1029/94JB00580	An		3.2	34.3	-52.0	293.0	8	0	Igneous	Pluton	41.392	Anorthosite	Rocky Mountain intrusions	254.559	DE-FM	8		g	i	La30		4.377899711601567	2.99468841950642	9.531106886397879		45.78918196970201	
5	1430	1445	1415		Ma	10.1029/94JB00580	An	35.0	9.8	40.6	-50.4	68.0	3	0	Igneous	Pluton	41.775	Anorthosite	Rocky Mountain intrusions	254.653	DE-FM	3		g	i	La34	280.0	13.157835829290342	8.833094066865131	8.047950301261466		40.42475621467702	
6	1430	1445	1415		Ma	10.1029/94JB00580	An	35.0	7.2	60.1	-50.9	94.0	4	0	Igneous	Pluton	41.773	Anorthosite	Rocky Mountain intrusions	254.654	DE-FM	4		g	i	La35	280.0	9.723392940016028	6.5655812684689945	-1.8596139555178826		27.030376767851454	
11	1430	1445	1415		Ma	10.1029/94JB00580	An	25.0	8.9	43.7	-54.3	34.0	9	0	Igneous	Pluton	41.778	Anorthosite	Rocky Mountain intrusions	254.59	DE-FM	9		g	i	La36	278.0	12.519199873384942	8.805076711784354	3.555436063665373		39.96540685741089	
7	1430	1445	1415		Ma	10.1029/94JB00580	An	25.0	5.4	46.5	-44.3	126.0	7	0	Igneous	Pluton	41.725	Anorthosite	Rocky Mountain intrusions	254.541	DE-FM	7		g	i	La37	240.0	6.780998206662229	4.257586729514479	9.780005227838847		33.12469098883679	
9	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		9.6	84.6	-41.0	30.0	9	0	Igneous	Pluton	41.849	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.658	DE-FM	9		g	i	La24		11.665839386429194	7.0881150307272245	-11.63374395379949		5.878082724120995	
9	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		5.9	41.8	-50.5	77.0	9	0	Igneous	Pluton	41.255	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.565	DE-FM	9		g	i	La31		7.9307477972948215	5.330233951211579	7.88611194903667		39.4419092119754	
10	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		10.5	43.5	-48.3	25.0	9	0	Igneous	Pluton	41.254	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.585	DE-FM	9		g	i	La33		13.764665269505004	9.022190951500813	8.792726728545164		37.181242335027115	
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy xen		14.2	61.8	-47.5	30.0	5	0	Igneous	Pluton	41.235	Syenite:Granite	Rocky Mountain intrusions	254.563	DE-FM	5		g	i	La40		18.45063823302903	11.986832788947627	-0.21644204739131037		23.88174393870182	
9	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		23.8	81.8	-45.7	16.0	4	0	Igneous	Pluton	41.236	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.563	DE-FM	4		g	i	La41		30.327997732336076	19.323265681776938	-11.83653484777625		10.402450002271712	
10	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		14.0	52.1	-46.9	17.0	9	0	Igneous	Pluton	41.232	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.563	DE-FM	9		g	i	La42		18.071704307211633	11.663803448831835	5.557473098225547		30.19577289844393	
9	1430	1445	1415		Ma	10.1029/94JB00580	ShGr			34.7	-57.0		2	0	Igneous	Pluton	41.253	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.585	DE-FM	2		g	i	La43				5.018883872809523		47.66103384860189	
