tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	state_province	description	continent_ocean	country	terranes
Laramie Anorthosite Complex	Region	Laramie anorthosite complex ca. 1435 Ma pole	a	g	LI:L2:L3:Lal:La2:La3:La4:La5:La6:La7:La8:La9:La11:La14:La16:La17:La18:La19:La25:La26:La27:La28:La29:La30:La34:La35:La36:La37	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	10.1029/94JB00580	Intrusive	Anorthosite:Syenite:Troctolite	41.392	41.8	254.483	254.675	1430	1415	1445	Ma	0	-8.1	217.1	3.3	67.7	28	Wyoming	Paleomagnetic pole for the Laramie anorthosite complex, a Mesoproterozoic massif-type intrusion (anorthosite, mafic anorthosite, troctolite and associated monzosyenite) of the southern Laramie Range, Wyoming and Colorado (Harlan et al., 1994). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles. A fold test using the igneous layering is negative at the 99% level, indicating the magnetization postdates doming, so the directions are retained in geographic coordinates; three sites carry dual (antipodal) polarity. The characteristic remanence resides in single- to pseudo-single-domain low-Ti titanomagnetite and was isolated by alternating-field and thermal demagnetization with principal-component analysis. The complex is bracketed by U-Pb zircon ages of ca. 1435-1440 Ma on associated plutons.	North America	United States of America	Laurentia
Sherman Granite	Region	Sherman Granite ca. 1420 Ma pole	a	g	La24:La31:La33:La41:La42:La43:La44:Sg1:Sg3:Sg4:Sg5	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	10.1029/94JB00580	Intrusive	Granite:Quartz Monzonite	40.901	41.849	254.563	254.723	1430	1415	1445	Ma	0	-1.1	207.6	9.9	22.3	11	Wyoming	Paleomagnetic pole for the Sherman Granite, a composite Mesoproterozoic batholith (granite to quartz monzonite) of the southern Laramie Range, Wyoming and Colorado (Harlan et al., 1994). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; the sites are in largely undeformed intrusions and carry dual (antipodal) polarity. The magnetite-borne characteristic remanence was isolated by alternating-field and thermal demagnetization with principal-component analysis. U-Pb zircon dates the granite at 1431 +/- 6 Ma; an Ar-Ar hornblende plateau age of 1421 +/- 6 Ma (2 sigma) records cooling, giving a magnetization age of about 1415-1430 Ma.	North America	United States of America	Laurentia
Electra Lake Gabbro	Region	Electra Lake Gabbro ca. 1433 Ma pole	a	g	ELlBlk:ELA1:ELA3:ELA4:ELA9:ELAI0:ELAll:ELA14:ELBI:ELB2:ELB3:ELB5:ELB6:ELB7:ELB8:ELB9:ELBlO:ELBll:ELB12	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM:DE-VGP	10.1029/98JB01350	Intrusive	Gabbro:Diabase	37.544	37.585	252.189	252.202	1430	1415	1445	Ma	0	-20.2	225.7	3.7	83.7	19	Colorado	Paleomagnetic pole for the Electra Lake Gabbro, a small Mesoproterozoic ophitic-gabbro pluton (with associated diabase dikes) intruding Paleoproterozoic gneisses of the Needle Mountains, southwestern Colorado (Harlan & Geissman, 1998). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; the unit carries a single polarity. The characteristic remanence resides in single- to pseudo-single-domain magnetite and was isolated by alternating-field and thermal demagnetization with principal-component and great-circle analysis. A baked-contact test was attempted but proved inconclusive. U-Pb zircon dates the gabbro at 1435 +/- 2 Ma, with an indistinguishable Ar-Ar biotite plateau age of 1431 +/- 3 Ma (2 sigma). Directions are reported in geographic coordinates to match the compilation grand mean; Harlan & Geissman (1998) preferred a small tilt correction for post-Cambrian tilting.	North America	United States of America	Laurentia
Mean Rocky Mountain intrusions	Region	Mean Rocky Mountain intrusions ca. 1430 Ma pole	a	g	LI:L2:L3:Lal:La2:La3:La4:La5:La6:La7:La8:La9:La11:La14:La15:La16:La17:La18:La19:La25:La26:La27:La28:La29:La30:La34:La35:La36:La37:La24:La31:La33:La40:La41:La42:La43:La44:Sg1:Sg3:Sg4:Sg5:ELlBlk:ELA1:ELA3:ELA4:ELA6:ELA7:ELA9:ELAI0:ELAll:ELA14:ELBI:ELB2:ELB3:ELB5:ELB6:ELB7:ELB8:ELB9:ELBlO:ELBll:ELB12	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM:DE-VGP	10.1029/94JB00580:10.1029/98JB01350	Intrusive	Anorthosite:Syenite:Troctolite:Granite:Quartz Monzonite:Gabbro:Diabase:Gneiss	37.544	41.849	252.189	254.723	1430	1415	1445	Ma	0	-10.4	217.9	5.9	10.3	62		Grand-mean paleomagnetic pole for the ca. 1430 Ma Rocky Mountain intrusions of Colorado and Wyoming, combining all site virtual geomagnetic poles of the Laramie anorthosite complex, the Sherman Granite (Harlan et al., 1994) and the Electra Lake Gabbro (Harlan & Geissman, 1998). The pole is the Fisher mean of all site VGPs in geographic (in-situ) coordinates, following the treatment of these units in the Laurentia apparent-polar-wander compilation. The three units yield indistinguishable ca. 1435-1415 Ma U-Pb zircon and Ar-Ar ages.	North America	United States of America	Laurentia
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	description	vgp_lat	vgp_lon	vgp_dp	vgp_dm
LI	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.8	254.67	1430	1415	1445	Ma	0	48.3	-55.8	5.2	215.0	5	anorthosite	0.2550715423123334	37.69895800997946	5.339321119183585	7.451774261174939
L2	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.782	254.675	1430	1415	1445	Ma	0	40.4	-39.0	7.2	46.0	10	anorthosite	16.039516404491337	35.987016774979814	5.121151624135166	8.587466645498333
L3	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.708	254.483	1430	1415	1445	Ma	0	47.1	-53.6	7.4	51.0	7	monzosyenite	2.702486551408802	37.11401064476623	7.196910648531005	10.320575448988242
Lal	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.701	254.499	1430	1415	1445	Ma	0	46.1	-40.4	6.3	93.0	7	monzosyenite	12.46803041441386	31.730956101515496	4.5988392693659526	7.6121859405831
La2	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.709	254.511	1430	1415	1445	Ma	0	43.4	-48.9	3.5	174.0	11	monzosyenite	8.032569468369807	37.49627516738604	3.0482140704870737	4.619253023315513
La3	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.709	254.525	1430	1415	1445	Ma	0	44.1	-49.5	4.0	229.0	7	monzosyenite	7.267959176333604	37.26507836502656	3.531465775653328	5.315235291614719
La4	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.718	254.538	1430	1415	1445	Ma	0	36.8	-47.5	6.3	116.0	6	monzosyenite	11.883096949790902	42.034469328591115	5.3181018711528205	8.185846540005837
La5	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.78	254.65	1430	1415	1445	Ma	0	24.5	-41.5	15.3	26.0	5	anorthosite	20.54976596082814	50.75786785714568	11.405976667576791	18.682154212719958
La6	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.78	254.652	1430	1415	1445	Ma	0	42.6	-39.2	11.5	29.0	7	anorthosite	14.873875665615051	34.22378750237609	8.209545048817748	13.74116210961825
La7	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.778	254.651	1430	1415	1445	Ma	0	53.1	-50.8	6.5	88.0	7	anorthosite	1.920205849415493	31.639323131849522	5.913436967331192	8.76782074265353
La8	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Troctolite	41.782	254.652	1430	1415	1445	Ma	0	59.7	-50.0	18.1	12.0	7	troctolite	-1.0244611563338628	26.765321926402972	16.16412222028256	24.18969252335029
La9	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.777	254.655	1430	1415	1445	Ma	0	47.2	-54.2	8.2	40.0	9	anorthosite	2.1105115298208026	37.540816523243	8.092665182765089	11.520404029258149
La11	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.735	254.563	1430	1415	1445	Ma	0	54.5	-43.2	7.0	55.0	9	monzosyenite	6.276523833442849	26.71469374370134	5.396683657640827	8.692155728412347
La14	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.709	254.515	1430	1415	1445	Ma	0	30.6	-48.1	3.6	202.0	9	monzosyenite	13.734652088792775	47.27302970176069	3.079553902392195	4.708799007945
La15	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Anorthosite:Syenite	41.713	254.525	1430	1415	1445	Ma	0	71.8	-58.3	9.5	51.0	5	anorthosite-hosted xenolith	-13.737188339722689	25.0531561743501	10.3918187782924	14.051496603122237
La16	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.716	254.539	1430	1415	1445	Ma	0	37.1	-51.9	4.4	120.0	10	monzosyenite	8.291077883956714	43.61014882031921	4.107926788154967	6.012466693110551
