site,rock type,lat,lon,n,N,dec,inc,strike,dip,dec_tc,inc_tc,k,alpha95,Plat,Plon,unit
LI,An,41.8,254.67,5,10,48.3,-55.8,110,50,35.6,-8.8,215,5.2,-0.3,217.6,Laramie anorthosite
L2,An,41.782,254.675,10,10,40.4,-39,0,50,345,-52.2,46,7.2,-16.1,215.9,Laramie anorthosite
L3,Sy,41.708,254.483,7,8,47.1,-53.6,240,23,78.4,-52.4,51,7.4,-2.7,217.2,Laramie anorthosite
Lal,Sy,41.701,254.499,7,8,46.1,-40.4,0,0,46.1,-40.4,93,6.3,-12.4,211.9,Laramie anorthosite
La2,Sy,41.709,245.511,11,11,43.4,-48.9,246,30,80.6,-51.2,174,3.5,-8,217.6,Laramie anorthosite
La3,Sy,41.709,254.525,7,7,44.1,-49.5,246,30,81.8,-51.2,229,4,-7.2,217.4,Laramie anorthosite
La4,Sy,41.718,254.538,6,6,36.8,-47.5,208,50,71.4,-23.2,116,6.3,-11.9,222.1,Laramie anorthosite
La5,An,51.78,254.65,5,7,24.5,-41.5,280,35,51.2,-73.5,26,15.3,-20.6,230.7,Laramie anorthosite
La6,An,41.78,254.652,7,8,42.6,-39.2,280,35,77.6,-63.1,29,11.5,-14.9,214.2,Laramie anorthosite
La7,An,41.778,254.651,7,8,53.1,-50.8,280,35,108.7,-64.1,88,6.5,-1.9,211.6,Laramie anorthosite
La8,Tr,41.782,254.652,7,9,59.7,-50,280,35,111.4,-39.8,12,18.1,1,206.7,Laramie anorthosite
La9,An,41.777,254.655,9,9,47.2,-54.2,278,25,87.6,-67.9,40,8.2,-2.1,217.5,Laramie anorthosite
La11,Sy,41.735,254.563,9,9,54.5,-43.2,192,50,69.4,-3.6,55,7,-6.3,206.8,Laramie anorthosite
La14,Sy,41.709,254.515,9,9,30.6,-48.1,203,20,50,-42,202,3.6,-13.7,227.4,Laramie anorthosite
La15,An xen,41.713,254.525,5,7,71.8,-58.3,45,21,34.9,-61.5,51,9.5,13.8,205.1,Laramie anorthosite
La16,Sy,41.716,254.539,10,10,37.1,-51.9,28,25,6.2,-49,120,4.4,-8.3,223.7,Laramie anorthosite
La17,Sy,41.719,254.542,8,8,41.1,-48.4,235,35,79.8,-44.8,476,2.5,-9.4,219.1,Laramie anorthosite
La18,Sy,41.732,254.549,8,8,29.8,-48.4,206,50,68.2,-26.5,46,8.3,-13.7,228.1,Laramie anorthosite
La19,An,41.738,254.571,9,9,31.1,-51.3,195,50,64.7,-21.6,34,14,-10.9,228.1,Laramie anorthosite
La25,An,41.77,254.639,9,10,70.4,-36.4,275,45,109,-41,147,4.3,-0.3,192.5,Laramie anorthosite
La26,An,41.764,254.626,7,8,38.2,-48.9,278,45,119.6,-69.2,58,8,-10.2,221.6,Laramie anorthosite
La27,An,41.758,254.61,7,9,48.3,-53.6,235,50,99.1,-34.8,37,10,-2.7,217.2,Laramie anorthosite
La28,An,41.751,254.598,8,8,50.1,-43.8,192,55,67.4,-36.6,48,8,-8.3,210.3,Laramie anorthosite
La29,Sy,41.645,254.515,9,9,37,-43.3,250,50,93.9,-48.1,194,3.7,-14.8,220.3,Laramie anorthosite
La30,An,41.392,254.559,8,8,34.3,-52,0,0,34.3,-52,293,3.2,-9.2,225.9,Laramie anorthosite
La34,An,41.775,254.653,3,5,40.6,-50.4,280,35,98.7,-71.1,68,9.8,-8.1,220.4,Laramie anorthosite
La35,An,41.773,254.654,4,6,60.1,-50.9,280,35,113.2,-41.2,94,7.2,1.8,207,Laramie anorthosite
La36,An,41.778,254.59,9,11,43.7,-54.3,278,25,83.8,-69.4,34,8.9,-3.6,220,Laramie anorthosite
La37,An,41.725,254.541,7,7,46.5,-44.3,240,25,71.7,-44.7,126,5.4,-9.8,213.2,Laramie anorthosite
La24,ShGr,41.849,254.658,9,9,84.6,-41,0,0,84.6,-41,30,9.6,11.6,185.8,Sherman Granite
La31,ShGr,41.255,254.565,9,9,41.8,-50.5,0,0,41.8,-50.5,77,5.9,-7.9,219.5,Sherman Granite
La33,ShGr,41.254,254.585,9,10,43.5,-48.3,0,0,43.5,-48.3,25,10.5,-8.8,217.2,Sherman Granite
La40,Sy xen,41.235,254.563,5,8,61.8,-47.5,0,0,61.8,-47.5,30,14.2,0.2,203.9,Sherman Granite
La41,ShGr,41.236,254.563,4,9,81.8,-45.7,0,0,81.8,-45.7,16,23.8,11.8,190.4,Sherman Granite
La42,ShGr,41.232,254.563,9,10,52.1,-46.9,0,0,52.1,-46.9,17,14,-5.5,210.2,Sherman Granite
La43,ShGr,41.253,254.585,2,9,34.7,-57,0,0,34.7,-57,,,-5,227.7,Sherman Granite
La44,ShGr,41.254,254.565,8,11,60.4,-42.6,0,0,60.4,-42.6,27,10.9,-3.6,202.3,Sherman Granite
Sg1,ShGr,40.991,254.59,5,13,53.8,-47,0,0,53.8,-47,8,24,-4.8,209,Sherman Granite
Sg3,ShGr,40.96,254.64,4,8,215,44.2,0,0,215,44.2,26,18.5,-16.5,221.8,Sherman Granite
Sg4,ShGr,40.951,254.655,14,14,238,47.3,0,0,238,47.3,43,6.2,-2.5,206.2,Sherman Granite
Sg5,ShGr,40.901,254.723,1,23,87.3,-51.3,0,0,87.3,-51.3,,,18.5,191.2,Sherman Granite
