site,rock type,lat,lon,n,N,dec,inc,dec_tc,inc_tc,k,alpha95,Plon,Plat
ELlBlk,Pdb,37.5456,-107.8064,6,6,25.3,-44,28.4,-40.3,69,8.1,223.6,23.8
ELA14,Pdb,37.5447,-107.8028,4,8,33.2,-48,36.2,-43.9,408,4.8,218.1,18.2
ELA3,Pdb,37.5444,-107.8022,4,4,35.3,-38.5,37.3,-34.3,146,7.6,213.4,23.5
ELA4,Pdb,37.5547,-107.8022,10,10,23.2,-52.3,27.5,-48.7,70,5.9,227.3,18
ELA6,Pgn/Pdb,37.5619,-107.7997,4,8,41.7,-42.8,43.7,-38.4,12,27.5,209.7,18
ELA7,Pgnmz,37.565,-107.7992,7,8,34.7,-54.2,38.3,-50,15,16.4,219.2,12.8
ELA9,Pgb,37.5661,-107.7989,6,10,25.1,-40.4,27.8,-36.8,31,12.2,223,26.3
ELAI0,Pgb,37.5672,-107.7978,5,6,33.3,-46.5,36.1,-42.4,212,5.3,217.6,19.2
ELAll,Pgb,37.5678,-107.7981,12,12,29,-40.8,31.6,-37,457,2,219.6,24.7
ELA14,Pdb,37.5475,-107.8019,10,12,31.1,-33,33,-29.1,62,5.6,215.6,28.5
ELBI,Pgb,37.5644,-107.8021,6,10,357.4,-47.3,2.4,-45.6,34,12.2,249.9,25.4
ELB2,Pgb,37.5661,-107.81,10,10,31.9,-44.6,34.7,-40.6,17,12.2,218.1,21.1
ELB3,Pgb,37.5667,-107.8092,10,12,33.6,-48.3,36.6,-44.2,14,13.5,217.9,17.8
ELB5,Pgb,37.5714,-107.811,7,8,35.1,-41.1,37.4,-36.9,75,7.1,214.4,22
ELB6,Pgb,37.5814,-107.8022,12,12,32.9,-42.3,35.4,-38.2,100,4.4,216.6,22.2
ELB7,Pgb,37.5744,-107.8019,11,12,28.5,-53.8,32.6,-49.9,32,8.5,223.6,15.2
ELB8,Pgb,37.5739,-107.8006,7,10,28.9,-54.6,33,-50.7,13,17.8,223.5,14.4
ELB9,Pgb,37.5847,-107.7997,9,9,23.1,-46.6,26.6,-43.1,93,8.4,226.1,22.6
ELBlO,Pgb,37.5803,-107.8006,9,9,25.9,-38.4,28.4,-34.7,157,4.1,221.8,27.3
ELBll,Pgb,37.5733,-107.7997,12,12,35.6,-45.8,38.2,-41.6,76,5,215.5,18.8
ELB12,Pgb,37.5683,-107.8006,12,13,21.6,-50.4,24.7,-46.9,69,5.3,228.2,20
