tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
29mean	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive:Sedimentary	Sill:Burnt Sediment	Diabase:Baked Sediment	66.36	242.36			1589	1594.8	Ma	0	2	-62	100		11	20	241			k calculated from R and N, mean
30	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.35	242.34			1589	1594.8	Ma	0	318	-57	40		3	19	277			k calculated from R and N, sheets (sills)
31	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.35	242.39			1589	1594.8	Ma	0	353	-52	250		6					k calculated from R and N, sheets (sills) [excluded: subsumed into site mean]
31c	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Sedimentary	Burnt Sediment	Baked Sediment	66.35	242.39			1589	1594.8	Ma	0	336	-51	16.7		5					k calculated from R and N, contact rock [excluded: subsumed into site mean]
31mean	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive:Sedimentary	Sill:Burnt Sediment	Diabase:Baked Sediment	66.35	242.39			1589	1594.8	Ma	0	345	-52	33.3		11	10	255			k calculated from R and N, mean
32	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.33	242.18			1589	1594.8	Ma	0	2	-56	200		3	13	241			k calculated from R and N, sheets (sills)
33	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.34	242.2			1589	1594.8	Ma	0	357	-67	50		3	26	244			k calculated from R and N, sheets (sills)
34	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.37	242.05			1589	1594.8	Ma	0	357	-36	200		3	-3	245			k calculated from R and N, sheets (sills)
35	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.42	242.12			1589	1594.8	Ma	0	4	-53	200		3	10	239			k calculated from R and N, sheets (sills)
36	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.41	242.13			1589	1594.8	Ma	0	16	-75	33.3		3	38	233			k calculated from R and N, sheets (sills)
38	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.39	242.12			1589	1594.8	Ma	0	1	-52	40		3	9	241			k calculated from R and N, sheets (sills)
39	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.38	242.11			1589	1594.8	Ma	0	5	-56	200		3	14	238			k calculated from R and N, sheets (sills)
40	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.37	242.14			1589	1594.8	Ma	0	352	-69	200		3	29	248			k calculated from R and N, sheets (sills)
42	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.37	242.38			1589	1594.8	Ma	0	344	-49	8		3	7	256			k calculated from R and N, sheets (sills)
43	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.36	242.39			1589	1594.8	Ma	0	355	-44	100		3	3	247			k calculated from R and N, sheets (sills)
55	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.64164204	242.2000159			1589	1594.8	Ma	0	351	-40	33.3		3	-1	251			k calculated from R and N, sheets (sills)
58	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.64164204	242.1000159			1589	1594.8	Ma	0	359	-48	28.6		3	6	243			k calculated from R and N, sheets (sills)
16	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.32	242.35			1589	1594.8	Ma	0	358	-49	40		3	7	244			k calculated from R and N, dikes, western channel dikes and contact rocks
19	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.29	242.31			1589	1594.8	Ma	0	5	-26	33.3		4	-10	237			k calculated from R and N, dikes, western channel dikes and contact rocks
20	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.28	242.4			1589	1594.8	Ma	0	2	-51	200		3					k calculated from R and N, dikes, western channel dikes and contact rocks [excluded: subsumed into site mean]
20c	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Extrusive	Lava Flow	Porphyritic Basalt	66.28	242.4			1589	1594.8	Ma	0	14	-67	66.7		3					k calculated from R and N, contact rock [excluded: subsumed into site mean]
20mean	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive:Extrusive	Volcanic Dike:Lava Flow	Diabase:Porphyritic Basalt	66.28	242.4			1589	1594.8	Ma	0	7	-59	45.5		6	16	237			k calculated from R and N, dikes mean
21	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.27	242.37			1589	1594.8	Ma	0	356	-34	200		3	-5	246			k calculated from R and N, dikes, western channel dikes and contact rocks
22	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.26	242.3			1589	1594.8	Ma	0	356	-36			2	-4	246			k calculated from R and N, dikes, western channel dikes and contact rocks
23	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.24	242.27			1589	1594.8	Ma	0	3	-36	100		3	-4	239			k calculated from R and N, dikes, western channel dikes and contact rocks
24	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.25	242.28			1589	1594.8	Ma	0	3	-40	100		3	-1	240			k calculated from R and N, dikes, western channel dikes and contact rocks
129	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.03	241.95			1589	1594.8	Ma	0	349	-23	100		3	-12	253			k calculated from R and N, dikes, western channel dikes and contact rocks
137	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.08	242.03			1589	1594.8	Ma	0	1	-28	14.3		2	-9	241			k calculated from R and N, dikes, western channel dikes and contact rocks
138	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Volcanic Dike	Diabase	66.08	242.01			1589	1594.8	Ma	0	3	-35			2	-5	239			k calculated from R and N, dikes, western channel dikes and contact rocks
144	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.04	242.2			1589	1594.8	Ma	0	138	59	200		3	21	276			k calculated from R and N, Port Radium sill [excluded: Port Radium sill, separate unit]
