site,N,dec,inc,k,a95,site_lat,site_lon
Dyke 2,3,117.3,47.4,52,17.3,53.7,303.3
Dyke 4,7,133.1,51.2,48,8.8,53.7,303.3
Dyke 6,2,124.8,55.5,48,18,53.7,303.3
Dyke 1,3,215.3,-75.5,67,15.2,53.7,303.3
Dyke 3,1,249.8,-49.2,43,16.4,53.7,303.3
