tab delimited	locations																										
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	dir_dec	dir_inc	dir_alpha95	dir_k	description
Grand Canyon	JG-60-18: JG-60-6: JG-53-2: AW-13-4: AW-12-10: AW-12-11: AW-12-13: AW-12-14A: AW-12-14B	Land Section	"Chuar Group, Kwagunt Formation 742.3 Ma pole"	a	g	LP-DIR-T: DE-BFL: DE-FM: FS-H	10.1016/j.precamres.2003.09.016: 10.1016/j.precamres.2023.107156: 10.1130/B31532.1: 10.3133/sim3227	Sedimentary	Sandstone: Siltstone: Mudstone: Dolomite: Carbonate: Calcareous Sandstone: Tephra: Stromatolite	36.14	36.28	248.1	248.17	729.81	754.87	Ma	0					9	278	27.3	12.2	18.6	"Kwagunt Formation: Carbon Butte, Awatubi, Walcott members. Pole and A95 computed as Fisher mean of site VGPs using PmagPy ipmag.fisher_mean. Site directions from Weil et al. (2004); member age brackets from Dehler et al. (2023) U-Pb and Re-Os age model; stratigraphic framework follows Dehler et al. (2017); geologic map context from Billingsley et al. (2012, USGS SIM 3227)"
Grand Canyon	JG-60-18: JG-60-6: JG-53-2: AW-13-4: AW-12-10: AW-12-11: AW-12-13: AW-12-14A: AW-12-14B	Land Section	"Chuar Group, Kwagunt Formation 742.3 Ma pole"	a	g	LP-DIR-T: DE-BFL: DE-FM: FS-H	10.1016/j.precamres.2003.09.016: 10.1016/j.precamres.2023.107156: 10.1130/B31532.1: 10.3133/sim3227	Sedimentary	Sandstone: Siltstone: Mudstone: Dolomite: Carbonate: Calcareous Sandstone: Tephra: Stromatolite	36.14	36.28	248.1	248.17	729.81	754.87	Ma	100	18.3	165.5	7.8	44.4	9	280.8	30.6	8.4	38.6	"Kwagunt Formation: Carbon Butte, Awatubi, Walcott members. Pole and A95 computed as Fisher mean of site VGPs using PmagPy ipmag.fisher_mean. Site directions from Weil et al. (2004); member age brackets from Dehler et al. (2023) U-Pb and Re-Os age model; stratigraphic framework follows Dehler et al. (2017); geologic map context from Billingsley et al. (2012, USGS SIM 3227)"
Grand Canyon	AW-12-8: AW-12-9: AW-12-15: AW-12-19: AW-12-20: AW-13-1: AW-13-2: AW-13-3: AW-13-6: AW-13-7: AW-13-8: AW-13-9: AW-13-10: AW-13-11: AW-12-22: AW-12-23	Land Section	"Chuar Group, Galeros Formation 762.3 Ma pole"	a	g	LP-DIR-T: DE-BFL: DE-FM: FS-H	10.1016/j.precamres.2003.09.016: 10.1016/j.precamres.2023.107156: 10.1130/B31532.1: 10.3133/sim3227	Sedimentary	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	36.14	36.28	248.1	248.17	756.32	768.4	Ma	0					16	265.7	4	14	7.9	"Galeros Formation: Carbon Canyon and Jupiter members. Pole and A95 computed as Fisher mean of site VGPs using PmagPy ipmag.fisher_mean. Site directions from Weil et al. (2004); member age brackets from Dehler et al. (2023) U-Pb and Re-Os age model; stratigraphic framework follows Dehler et al. (2017); geologic map context from Billingsley et al. (2012, USGS SIM 3227)"
Grand Canyon	AW-12-8: AW-12-9: AW-12-15: AW-12-19: AW-12-20: AW-13-1: AW-13-2: AW-13-3: AW-13-6: AW-13-7: AW-13-8: AW-13-9: AW-13-10: AW-13-11: AW-12-22: AW-12-23	Land Section	"Chuar Group, Galeros Formation 762.3 Ma pole"	a	g	LP-DIR-T: DE-BFL: DE-FM: FS-H	10.1016/j.precamres.2003.09.016: 10.1016/j.precamres.2023.107156: 10.1130/B31532.1: 10.3133/sim3227	Sedimentary	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	36.14	36.28	248.1	248.17	756.32	768.4	Ma	100	-1.9	163.1	7	29	16	265.5	5.1	8.5	19.8	"Galeros Formation: Carbon Canyon and Jupiter members. Pole and A95 computed as Fisher mean of site VGPs using PmagPy ipmag.fisher_mean. Site directions from Weil et al. (2004); member age brackets from Dehler et al. (2023) U-Pb and Re-Os age model; stratigraphic framework follows Dehler et al. (2017); geologic map context from Billingsley et al. (2012, USGS SIM 3227)"
>>>>>>>>>>
tab delimited	sites																										
site	dir_comp_name	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
JG-60-18	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Calcareous Sandstone: Dolomite: Sandstone: Tephra	24	290	36.203796	248.149985	729.81	746.12	Ma	0	290	54	18	27	7					"Kwagunt Formation, Walcott member"
JG-60-6	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Calcareous Sandstone: Dolomite: Sandstone: Tephra	21	313	36.205515	248.152709	729.81	746.12	Ma	0	299	50	13	28	7					"Kwagunt Formation, Walcott member"
JG-53-2	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Carbonate: Stromatolite	30	229	36.258118	248.110988	746.12	753.47	Ma	0	107	-31	11	76	6					"Kwagunt Formation, Awatubi member"
T-52-1	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	22	238	36.274493	248.118863	753.47	754.87	Ma	0	5	64	8	56	8					"Kwagunt Formation, Carbon Butte member"
T-65-1	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	18	70	36.17234	248.157581	753.47	754.87	Ma	0	4	54	11	50	5					"Kwagunt Formation, Carbon Butte member"
T-65-2	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	18	70	36.17559	248.154966	753.47	754.87	Ma	0	5	53	7	107	6					"Kwagunt Formation, Carbon Butte member"
JG-60-2	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	30	285	36.207338	248.170274	753.47	754.87	Ma	0	0	61	6	122	6					"Kwagunt Formation, Carbon Butte member"
JG-60-3	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	46	275	36.204852	248.169978	753.47	754.87	Ma	0	5	55	8	151	6					"Kwagunt Formation, Carbon Butte member"
JG-53-4	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	29	245	36.274011	248.121659	753.47	754.87	Ma	0	13	57	10	51	6					"Kwagunt Formation, Carbon Butte member"
JG-53-5	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	29	245	36.272798	248.125496	753.47	754.87	Ma	0	345	63	10	30	9					"Kwagunt Formation, Carbon Butte member"
AW-13-4	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	20	95	36.26907	248.103964	753.47	754.87	Ma	0	272	3	9	39	8					"Kwagunt Formation, Carbon Butte member"
AW-13-5	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	22	135	36.267261	248.102825	753.47	754.87	Ma	0	6	51	7.8	61	8					"Kwagunt Formation, Carbon Butte member"
AW-12-10	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	14	43	36.247153	248.133426	753.47	754.87	Ma	0	88	-25	12	65	6					"Kwagunt Formation, Carbon Butte member"
AW-12-11	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	62	36.2495	248.133917	753.47	754.87	Ma	0	103	-13	16	258	6					"Kwagunt Formation, Carbon Butte member"
AW-12-12	PDF	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	22	64	36.24478	248.12932	753.47	754.87	Ma	0	11	68	9	61	8					"Kwagunt Formation, Carbon Butte member"
AW-12-13	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	9	106	36.242285	248.12589	753.47	754.87	Ma	0	85	-28	21	20	7					"Kwagunt Formation, Carbon Butte member"
AW-12-14A	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	71	36.242383	248.121909	753.47	754.87	Ma	0	92	-20	12	60	6					"Kwagunt Formation, Carbon Butte member"
AW-12-14B	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	71	36.242021	248.118195	753.47	754.87	Ma	0	97	-19	12	39	8					"Kwagunt Formation, Carbon Butte member"
AW-12-8	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	43	252	36.255328	248.141498	756.32	765.97	Ma	0	260	60	13	27	6					"Galeros Formation, Carbon Canyon member"
AW-12-9	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	60	250	36.253493	248.142241	756.32	765.97	Ma	0	256	48	9	90	7					"Galeros Formation, Carbon Canyon member"
AW-12-15	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	12	33	36.236527	248.119935	756.32	765.97	Ma	0	277	31	15	24	7					"Galeros Formation, Carbon Canyon member"
AW-12-19	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	39	40	36.163766	248.147031	756.32	765.97	Ma	0	299	-8	16	16	7					"Galeros Formation, Carbon Canyon member"
AW-12-20	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	16	20	36.16525	248.146738	756.32	765.97	Ma	0	284	5	7	53	6					"Galeros Formation, Carbon Canyon member"
AW-13-1	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	25	200	36.279811	248.113842	756.32	765.97	Ma	0	264	6	11	31	7					"Galeros Formation, Carbon Canyon member"
AW-13-2	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	20	195	36.277885	248.113658	756.32	765.97	Ma	0	264	18	15	16	7					"Galeros Formation, Carbon Canyon member"
AW-13-3	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	20	175	36.278323	248.11634	756.32	765.97	Ma	0	254	26	14	21	7					"Galeros Formation, Carbon Canyon member"
AW-13-6	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	30	125	36.273822	248.106226	756.32	765.97	Ma	0	241	-20	12	31	7					"Galeros Formation, Carbon Canyon member"
AW-13-7	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	29	127	36.273822	248.106226	756.32	765.97	Ma	0	260	-19	17	22	6					"Galeros Formation, Carbon Canyon member"
AW-13-8	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	13	115	36.273822	248.106226	756.32	765.97	Ma	0	267	-2	14	24	7					"Galeros Formation, Carbon Canyon member"
AW-13-9	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	30	120	36.273822	248.106226	756.32	765.97	Ma	0	252	-29	15	27	6					"Galeros Formation, Carbon Canyon member"
AW-13-10	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	23	115	36.273822	248.106226	756.32	765.97	Ma	0	264	-6	14	25	7					"Galeros Formation, Carbon Canyon member"
AW-13-11	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	30	120	36.273822	248.106226	756.32	765.97	Ma	0	263	-30	19	13	7					"Galeros Formation, Carbon Canyon member"
