tab 	sites
age	age_high	age_low	age_unit	citations	dir_comp_name	dir_dec	dir_inc	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_lat	vgp_lon
1075	1085.57	1050	Ma	This study	hdt	264.0	26.6	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-102	PF18-102	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-102a	6.1	193.5
1075	1085.57	1050	Ma	This study	mt	272.8	15.8	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-102	PF18-102	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-102a	7.8	183.0
1075	1085.57	1050	Ma	This study	mht	288.1	-15.7	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-103	PF18-103	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-103a	6.4	160.8
1075	1085.57	1050	Ma	This study	lt	0.9	75.9	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-103	PF18-103	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-103a	73.1	270.9
1075	1085.57	1050	Ma	This study	mht	268.0	58.5	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-103	PF18-103	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-103a	26.1	209.9
1075	1085.57	1050	Ma	This study	lt	319.9	-0.6	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-103	PF18-103	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-103a	31.5	138.6
1075	1085.57	1050	Ma	This study	lt	317.4	0.2	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-104	PF18-104	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-104a	30.6	141.3
1075	1085.57	1050	Ma	This study	hdt	261.8	13.9	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-104	PF18-104	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-104a	-0.5	190.3
1075	1085.57	1050	Ma	This study	hdt	207.4	43.5	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-104	PF18-104	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-104a	-14.0	244.1
1075	1085.57	1050	Ma	This study	lt	356.1	78.4	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-104	PF18-104	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-104a	68.7	265.4
