tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	weight
This study	lt	23.1	168.8	52.1	0.5	2	3	-1.0	PF18-104a_LP-DIR-T	hargrave 2021-06-08 10:23:56	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-104	pmagpy-4.2.24-1: demag_gui	PF18-104a	
This study	hdt	0.0	348.2	71.2	10.6	2	16	-1.0	PF18-104a_LP-DIR-T	hargrave 2021-06-08 10:23:56	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-104	pmagpy-4.2.24-1: demag_gui	PF18-104a	
This study	lt	17.0	320.3	-3.0	0.2	3	3	100.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	hdt	0.0	264.0	10.5	17.6	3	14	100.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	mht	10.8	263.6	56.0	5.2	3	15	0.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	mht	10.8	284.5	-15.8	5.2	3	15	100.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	hdt	0.0	212.1	45.6	17.6	3	14	0.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	mht	10.8	342.9	68.6	5.2	3	15	-1.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	lt	17.0	122.4	71.3	0.2	3	3	-1.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	hdt	0.0	284.0	50.3	17.6	3	14	-1.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	lt	17.0	355.1	74.1	0.2	3	3	0.0	PF18-105a_LP-DIR-T	hargrave 2021-06-08 10:25:39	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-105	pmagpy-4.2.24-1: demag_gui	PF18-105a	
This study	lt	17.7	141.2	56.1	0.5	2	3	-1.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	mht	9.6	39.8	75.1	4.6	2	15	-1.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	lt	17.7	358.3	68.8	0.5	2	3	0.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	mht	9.6	270.4	55.3	4.6	2	15	0.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	lt	17.7	324.9	-5.8	0.5	2	3	100.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	mht	9.6	286.9	-19.0	4.6	2	15	100.0	PF18-106a_LP-DIR-T	hargrave 2021-06-08 10:27:21	u	893.0	648.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-106	pmagpy-4.2.24-1: demag_gui	PF18-106a	
This study	hdt	0.0	317.8	60.2	9.5	2	16	-1.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	lt	25.5	159.3	52.6	1.2	2	3	-1.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	lt	25.5	332.5	76.8	1.2	2	3	0.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	hdt	0.0	251.9	21.1	9.5	2	16	100.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	hdt	0.0	198.9	33.7	9.5	2	16	0.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	lt	25.5	314.2	-4.0	1.2	2	3	100.0	PF18-107a_LP-DIR-T	hargrave 2021-06-08 10:28:58	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-107	pmagpy-4.2.24-1: demag_gui	PF18-107a	
This study	mt	14.6	191.2	31.4	3.8	2	3	0.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	863.0	843.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	hdt	0.0	250.2	14.9	6.7	2	14	100.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	mt	14.6	250.2	27.8	3.8	2	3	100.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	863.0	843.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	hdt	0.0	335.2	64.8	6.7	2	14	-1.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	hdt	0.0	206.4	32.3	6.7	2	14	0.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	mt	14.6	310.7	58.8	3.8	2	3	-1.0	PF18-108a_LP-DIR-T	hargrave 2021-06-08 10:30:32	u	863.0	843.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-108	pmagpy-4.2.24-1: demag_gui	PF18-108a	
This study	hdt	0.0	286.2	63.1	4.3	2	14	-1.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
This study	lt	29.1	162.6	36.3	0.1	2	3	-1.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
This study	hdt	0.0	190.0	36.1	4.3	2	14	0.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
This study	lt	29.1	351.1	72.1	0.1	2	3	0.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
