tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_polarity	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
CLD1	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.713	273.678	1107	1105	1109	Ma	0	ChRM	116.0	-61.5	r	187.0	7.4	3	-46.2	20.9	8.8	11.4	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
CLD3	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.719	273.327	1107	1105	1109	Ma	0	ChRM	125.7	-73.8	r	37.0	8.6	8	-57.5	44.0	13.9	15.5	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
CLD4	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.727	273.672	1107	1105	1109	Ma	0	ChRM	103.7	-66.4	r	76.0	4.4	14	-42.0	34.4	5.9	7.2	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
CLD5	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.729	273.671	1107	1105	1109	Ma	0	ChRM	116.9	-73.3	r	76.0	4.4	7	-52.9	44.1	7.1	7.9	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
CLD6	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.742	273.666	1107	1105	1109	Ma	0	ChRM	106.3	-67.2	r	34.0	8.5	9	-44.0	34.5	11.7	14.1	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
NMG1	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.847	273.516	1107	1105	1109	Ma	0	ChRM	99.1	-51.9	r	32.0	12.3	9	-29.5	20.4	11.5	16.8	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL10	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.768	273.626	1107	1105	1109	Ma	0	ChRM	118.5	-70.7	r	114.0	6.4	5	-52.8	37.2	9.6	11.1	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL14	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.780	273.580	1107	1105	1109	Ma	0	ChRM	125.5	-49.2	r	32.0	11.0	6	-45.1	359.7	9.6	14.6	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL15	Coldwell Complex	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.773	273.607	1107	1105	1109	Ma	0	ChRM	118.4	-68.5	r	43.0	11.0	5	-51.7	32.2	15.7	18.6	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL33	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.785	273.572	1107	1105	1109	Ma	0	ChRM	118.6	-66.7	r	174.0	3.9	8	-50.9	28.3	5.3	6.4	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
