tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_n_samples	dir_polarity	description	vgp_lat	vgp_lon
28	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Intrusive	Pluton	Syenite	64.1	265.3	1796	1758	1833	Ma	100	338	-51	4	r	Martell Syenite: syenite	-7.4	104.0
1	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Extrusive	Lava Flow	Trachyte	64.1	265.3	1796	1758	1833	Ma	100	56	-40	4	r	Christopher Island Formation: lava	-7.1	34.9
27	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	302	-59	2	r	Christopher Island Formation: red sandstone	-23.4	130.6
26	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Extrusive	Lava Flow	Trachyte	64.1	265.3	1796	1758	1833	Ma	100	283	-46	5	r	Christopher Island Formation: lava	-19.0	151.6
10	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Extrusive	Lava Flow	Trachyte	64.1	265.3	1796	1758	1833	Ma	100	355	-56	5	r	Christopher Island Formation: lava	-10.7	89.4
11	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Extrusive	Lava Flow	Trachyte	64.1	265.3	1796	1758	1833	Ma	100	352	-60	5	r	Christopher Island Formation: lava	-15.2	91.6
32	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	1	-78	2	r	Christopher Island Formation: red sandstone	-41.1	84.8
30	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Intrusive	Volcanic Dike	Basalt	64.1	265.3	1796	1758	1833	Ma	100	198	48	6	n	Christopher Island Formation: dike	4.2	249.6
2	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Intrusive	Volcanic Dike	Basalt	64.1	265.3	1796	1758	1833	Ma	100	327	-55	16	r	Christopher Island Formation: dike and baked host	-13.0	112.4
9	Dubawnt Group	i	g	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Intrusive	Volcanic Dike	Basalt	64.1	265.3	1796	1758	1833	Ma	100	353	-69	8		Christopher Island Formation: dike and baked host	-26.7	90.1
