site,dec,inc,k,a95,N
43,326,0,6,43,4
44,335,-4,4,41,5
50,0,-84,5,29,5
51,178,29,5,47,3
53,196,8,16,13,5
54,8,25,12,28,3
1040,281,31,20,17,3
1041,278,39,5,47,2
1050,173,11,4,40,3
1051,213,16,9,32,2
1052,156,33,5,49,3
1053,185,32,11,40,2
1060,190,14,3,35,5
1061,195,29,42,12,3
1062,184,26,5,36,3
1063,169,5,4,68,3
1064,175,27,3,67,3
1065,170,26,5,33,3
1066,168,20,7,50,2
1070,184,11,80,5,5
1071,192,42,11,17,4
