tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names	description
20696	2	2026-06-06T15:06:06.829Z	@polarwander	3.0	10.1139/CJES-2013-0003	Earth Magnetism Laboratory (Michigan Tech, USA)	Corrected the Fisher k values for sites SI1–SI10 (previously mis-entered as the LST1a–LST10a values) and added the Diehl & Haig (1994) flow means plus the location-level Lake Shore Traps mean pole.
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Lake Shore Traps	CS1:CS2:SI1:SI2:SI3:SI4:SI5:SI6:SI7:SI8:SI9:SI10:LST12:LST14:LST15:LST18:LST22:LST24:LST25:LST30:LST1:LST2:LST3:LST4:LST5:LST6:LST7:LST8:LST9:LST10:LST11:LST13:LST16:LST17:LST19:LST23:LST26:LST28:LST29:LST31:Lt1:Lt2:OT1:OT2:OT3:OT4:OT5:OT6:OT7:OT8	Outcrop	Lake Shore Traps ca. 1085 Ma pole	a	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP:ST-G	10.1139/cjes-2013-0003:10.1139/e94-034:10.1130/L580.1:10.1139/e81-053	Igneous	Basalt	47.3	47.46	271.55	272.29	1085.57	0.5	Ma	100	23.1	185.7	3.3	38.8	50	Lake Shore Traps mean pole built on the Kulakov et al. (2013) contribution with the Diehl & Haig (1994) sites merged in (duplicated flow LST28 counted once; N=50). Age constrained by a U-Pb (206Pb/238U, CA-ID-TIMS) weighted-mean date of 1085.57 +/- 0.5 Ma on an andesitic flow within the Lake Shore Traps (Fairchild et al., 2017). Positive conglomerate test on Keweenawan conglomerates (Palmer, Halls & Pesonen, 1981; method code ST-G) supports a primary magnetization.
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
CS1	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	300.3	34.1	3.8	240.0	9	34.0	172.5	2.5	4.3	Middle LST; Kulakov et al. (2013)
CS2	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	297.0	37.9	2.7	803.0	6	33.6	177.4	1.9	3.2	Middle LST; Kulakov et al. (2013)
SI1	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	280.4	48.1	3.0	282.0	9	27.7	195.8	2.6	3.9	Middle LST; Kulakov et al. (2013)
SI2	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	272.4	45.8	5.0	153.0	6	21.2	199.5	4.1	6.4	Middle LST; Kulakov et al. (2013)
SI3	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	279.9	43.5	4.0	281.0	6	24.9	193.1	3.1	5.0	Middle LST; Kulakov et al. (2013)
SI4	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	275.5	48.1	2.3	1025.0	8	24.5	199.0	2.0	3.0	Middle LST; Kulakov et al. (2013)
SI5	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	276.6	44.7	6.4	109.0	6	23.4	196.0	5.1	8.1	Middle LST; Kulakov et al. (2013)
SI6	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	269.8	40.3	2.5	738.0	7	16.6	198.1	1.8	3.0	Middle LST; Kulakov et al. (2013)
SI7	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	285.3	43.1	6.2	221.0	4	28.3	189.1	4.8	7.7	Middle LST; Kulakov et al. (2013)
SI8	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	279.0	40.1	3.8	320.0	6	22.5	191.7	2.8	4.6	Middle LST; Kulakov et al. (2013)
