tab 	sites
age	age_sigma	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1085.57	0.5	Ma	24	22.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	6.0	279.1	43.9	104.0	6	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST25	7.5	4.7	24.6	194.2
1085.57	0.5	Ma	24	22.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013) — Kulakov et al. (2013) re-measurement of flow LST28 (Diehl & Haig, 1994); flagged result_quality=b and excluded from the pole to avoid double-counting the flow (the Diehl & Haig measurement is used).	4.9	276.9	36.8	159.0	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	b	i	LST28_K2013	5.7	3.4	19.5	191.7
1085.57	0.5	Ma	24	22.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	5.1	268.4	36.6	144.0	6	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST30	6.0	3.5	13.8	197.5
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.8	301.3	38.7	184.7	9	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST1	4.5	2.7	36.9	175.8
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	4.8	302.5	37.6	162.8	7	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST2	5.7	3.3	37.1	173.2
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.4	302.5	36.7	620.2	7	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST3	2.8	1.6	36.7	172.6
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.1	300.1	36.8	681.1	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST4	2.5	1.4	35.2	174.6
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.4	302.0	34.8	630.0	7	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST5	2.8	1.6	35.5	171.9
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.4	300.4	35.1	228.2	9	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST6	3.9	2.3	34.6	173.4
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.0	295.5	35.6	581.8	10	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST7	2.3	1.3	31.5	177.6
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.9	299.7	35.2	207.3	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST8	4.5	2.6	34.1	174.0
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.9	295.8	27.6	206.4	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST9	4.3	2.3	28.1	173.2
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.1	300.7	30.7	863.3	7	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST10	2.3	1.3	32.7	170.8
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.1	289.9	20.9	379.3	7	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST11	3.3	1.7	21.4	174.9
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	4.5	285.3	42.4	155.4	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST13	5.5	3.4	27.9	189.1
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.7	278.7	42.6	358.8	9	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST16	3.3	2.1	23.6	193.7
