tab	sites
location	site	citations	lat	lon	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_tilt_correction	dir_polarity	vgp_lat	vgp_lon	geologic_classes	geologic_types	lithologies	result_type	result_quality	sequence
North Shore Volcanic Group	ns050	Tauxe and Kodama, 2009	46.88286	268.08416	291.3	44.7	473.1	4.2	4	100	n	33.10995329113249	182.56595632726106	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns051	Tauxe and Kodama, 2009	46.88497	268.08801	293.3	42.0	222.6	5.1	5	100	n	33.105526802701945	179.270378604622	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns051	Tauxe and Kodama, 2009	46.88497	268.08801	291.4	40.9	262.3	7.6	3	100	n	31.262628290248347	179.9128860371453	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns053	Tauxe and Kodama, 2009	46.87654	268.06891	295.1	43.0	768.3	3.3	4	100	n	34.83691909931704	178.6449815414926	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns055	Tauxe and Kodama, 2009	46.87575	268.04751	283.6	36.7	391.3	3.9	5	100	n	23.92295771466589	182.93657285898425	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns057	Tauxe and Kodama, 2009	46.87453	268.06569	287.3	29.5	1734.9	3.0	3	100	n	23.22104696744672	176.64607443681416	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns057	Tauxe and Kodama, 2009	46.87453	268.06569	287.7	29.6	2203.3	1.6	5	100	n	23.537436339622417	176.39826937670307	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns059	Tauxe and Kodama, 2009	46.8835	268.08551	290.2	44.3	88.9	9.8	4	100	n	32.154514110653054	183.0448409837664	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns060	Tauxe and Kodama, 2009	46.86945	268.05315	293.7	45.7	83.8	10.1	4	100	n	35.26440859456158	181.61192050934847	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns061	Tauxe and Kodama, 2009	46.86879	268.05134	304.5	49.8	241.1	5.1	5	100	n	44.82067118799555	177.43610766347842	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns062	Tauxe and Kodama, 2009	46.86996	268.05477	294.3	52.6	316.0	5.2	4	100	n	39.412099656584765	187.20286866579872	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns063	Tauxe and Kodama, 2009	46.86909	268.05227	298.8	30.8	1019.9	4.5	3	100	n	31.607441025069775	168.47828845297954	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns063	Tauxe and Kodama, 2009	46.86909	268.05227	299.6	33.9	292.6	4.6	5	100	n	33.54137994124063	169.49904150107	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns064	Tauxe and Kodama, 2009	46.86785	268.04964	298.9	48.1	257.8	5.7	4	100	n	40.0806033421258	179.90109304571683	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns065	Tauxe and Kodama, 2009	46.86961	268.05363	291.6	47.9	95.9	9.4	4	100	n	34.99862915208428	184.77979278212862	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns066	Tauxe and Kodama, 2009	46.86674	268.0474	317.6	36.6	1055.8	2.8	4	100	n	46.663780577250556	155.13417233262783	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns067	Tauxe and Kodama, 2009	46.87085	268.05704	287.4	47.6	300.9	5.3	4	100	n	31.994085861666665	187.3474687318688	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns068	Tauxe and Kodama, 2009	46.86433	268.04385	314.5	33.4	128.1	8.1	4	100	n	43.127394256697734	156.1897444350318	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
North Shore Volcanic Group	ns071	Tauxe and Kodama, 2009	46.8673	268.04816	310.5	45.5	111.5	7.3	5	100	n	46.608644484604916	168.63345289938513	Extrusive:Igneous	Lava Flow	Basalt	i	g	upper SW
