tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	filtered_out_by_direction	strike	dip	section
SC 17	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	91.9	-15		7.5	9/9					Sheep Creek Canyon		308	41	Sheep Creek Canyon
SC 19	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	96.2	11.7		9.6	5/14					Sheep Creek Canyon		303	40	Sheep Creek Canyon
SC 19	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	94.8	-7.4		9.6	5/14					Sheep Creek Canyon		303	40	Sheep Creek Canyon
SC 20	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	97.4	6		5.7	11/11					Sheep Creek Canyon		304	35	Sheep Creek Canyon
SC 20	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	98.5	-9.8		5.7	11/11					Sheep Creek Canyon		304	35	Sheep Creek Canyon
SC 21b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	273.1	62.9		20.7	3/13					Sheep Creek Canyon		305	52	Sheep Creek Canyon
SC 21b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	0	47.5		20.7	3/13					Sheep Creek Canyon		305	52	Sheep Creek Canyon
SC 22	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	90.8	22.3		6.4	14/17					Sheep Creek Canyon		287	30	Sheep Creek Canyon
SC 22	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	82.1	11.5		6.4	14/17					Sheep Creek Canyon		287	30	Sheep Creek Canyon
SC 23	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	98.3	0.5		7.5	8/12					Sheep Creek Canyon		287	30	Sheep Creek Canyon
SC 23	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	99.2	-3.9		7.5	8/12					Sheep Creek Canyon		287	30	Sheep Creek Canyon
SC 24	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	95.1	-1.2		3.6	4/5					Sheep Creek Canyon		267	20	Sheep Creek Canyon
SC 24	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	95	1.6		3.6	4/5					Sheep Creek Canyon		267	20	Sheep Creek Canyon
SC 26	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	89.8	-0.4		5.9	8/8					Sheep Creek Canyon		257	22	Sheep Creek Canyon
SC 26	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	89	4.4		5.9	8/8					Sheep Creek Canyon		257	22	Sheep Creek Canyon
SC 71	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	99.5	-1.8		11.3	5/8					Sheep Creek Canyon		294	33	Sheep Creek Canyon
SC 71	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	102.7	-9.4		11.3	5/8					Sheep Creek Canyon		294	33	Sheep Creek Canyon
SC 72b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	96.4	18.4		15.9	5/8					Sheep Creek Canyon		318	25	Sheep Creek Canyon
SC 72b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	93.2	1.1		15.9	5/8					Sheep Creek Canyon		318	25	Sheep Creek Canyon
SC 75	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	89.6	0.1		13.2	7/11					Sheep Creek Canyon		294	39	Sheep Creek Canyon
SC 75	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	94.5	-15		13.2	7/11					Sheep Creek Canyon		294	39	Sheep Creek Canyon
SC 77	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	90.6	11.1		7.5	8/8					Sheep Creek Canyon		284	32	Sheep Creek Canyon
SC 77	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	86.8	2.5		7.5	8/8					Sheep Creek Canyon		284	32	Sheep Creek Canyon
SC 80	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	86.6	20.7		10.2	7/7					Sheep Creek Canyon		296	27	Sheep Creek Canyon
SC 80	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	81	6.1		10.2	7/7					Sheep Creek Canyon		296	27	Sheep Creek Canyon
SC 83	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	103.3	-11.1		2.5	8/8					Sheep Creek Canyon		284	30	Sheep Creek Canyon
SC 83	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	109	-9.9		2.5	8/8					Sheep Creek Canyon		284	30	Sheep Creek Canyon
SC 84	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	90.9	-0.9		7.3	7/7					Sheep Creek Canyon		278	95	Sheep Creek Canyon
SC 84	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	99.5	-7		7.3	7/7					Sheep Creek Canyon		278	95	Sheep Creek Canyon
SC 85a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	77.2	17.9		8.2	8/8					Sheep Creek Canyon		280	30	Sheep Creek Canyon
SC 85a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	71.7	4.7		8.2	8/8					Sheep Creek Canyon		280	30	Sheep Creek Canyon
SC 86	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	88.5	9.9		8.3	7/7					Sheep Creek Canyon		267	23	Sheep Creek Canyon
SC 86	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	84.5	9.7		8.3	7/7					Sheep Creek Canyon		267	23	Sheep Creek Canyon
SC 87	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	89.6	-11.8		7.3	7/7					Sheep Creek Canyon		279	35	Sheep Creek Canyon
SC 87	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	98.2	-15		7.3	7/7					Sheep Creek Canyon		279	35	Sheep Creek Canyon
SC 88a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	74.3	10.7		11.6	5/6					Sheep Creek Canyon	yes	292	27	Sheep Creek Canyon
SC 88a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	73.4	-6.2		11.6	5/6					Sheep Creek Canyon	yes	292	27	Sheep Creek Canyon
SC 89	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	99.3	-19.5		11	9/12					Sheep Creek Canyon		247	15	Sheep Creek Canyon
SC 89	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	102.7	-11.1		11	9/12					Sheep Creek Canyon		247	15	Sheep Creek Canyon
SC 90	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	91.1	-21.8		9.6	6/6					Sheep Creek Canyon		247	15	Sheep Creek Canyon
SC 90	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	95.6	-15.1		9.6	6/6					Sheep Creek Canyon		247	15	Sheep Creek Canyon
BL 55a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	41.7	57.9		6.4	5/5					Browne Lake	yes	278	5	Browne Lake
BL 55a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	37.8	53.7		6.4	5/5					Browne Lake	yes	278	5	Browne Lake
BL 56	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	82.9	-5.8		13.1	5/10					Browne Lake		277	11	Browne Lake
BL 56	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	84.3	-8.3		13.1	5/10					Browne Lake		277	11	Browne Lake
CC 57	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	263.2	-13.4		5.8	8/11					Carter Creek		285	12	Carter Creek
CC 57	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	261	-8.7		5.8	8/11					Carter Creek		285	12	Carter Creek
CC 58	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	266.4	-6.7		4.4	10/12					Carter Creek		232	10	Carter Creek
CC 58	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	265	-12.3		4.4	10/12					Carter Creek		232	10	Carter Creek
CC 59	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	270.4	-11.8		12.9	5/8					Carter Creek		277	9	Carter Creek
CC 59	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	268.6	-10.6		12.9	5/8					Carter Creek		277	9	Carter Creek
CC 60	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	272	-5		3.4	4/8					Carter Creek		300	5	Carter Creek
CC 60	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	271.7	-2.6		3.4	4/8					Carter Creek		300	5	Carter Creek
CC 61	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	263.9	-5.9		11.7	9/11					Carter Creek		281	1	Carter Creek
CC 61	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	263.8	-5.6		11.7	9/11					Carter Creek		281	1	Carter Creek
DS 29b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	98.7	-20.1		30.7	7/10					Dowd Springs non-fold test rocks		0	0	Dowd Springs non-fold test rocks
DS 29b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	98.7	-20.1		30.7	7/10					Dowd Springs non-fold test rocks		0	0	Dowd Springs non-fold test rocks
DS 29a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	281.1	-42.2		14.3	5/10					Dowd Springs non-fold test rocks	yes	0	0	Dowd Springs non-fold test rocks
DS 29a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	281.1	-42.2		14.3	5/10					Dowd Springs non-fold test rocks	yes	0	0	Dowd Springs non-fold test rocks
DS 30a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	290.9	-72.2		8.1	6/10					Dowd Springs non-fold test rocks	yes	107	4	Dowd Springs non-fold test rocks
DS 30a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	302.9	-71.5		8.1	6/10					Dowd Springs non-fold test rocks	yes	107	4	Dowd Springs non-fold test rocks
DS 31b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	107.1	3.3		20.6	8/11					Dowd Springs non-fold test rocks		217	3	Dowd Springs non-fold test rocks
DS 31b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	107	6.1		20.6	8/11					Dowd Springs non-fold test rocks		217	3	Dowd Springs non-fold test rocks
DS 32b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	282	-36.1		24	5/10					Dowd Springs non-fold test rocks		0	0	Dowd Springs non-fold test rocks
DS 32b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	282	-36.1		24	5/10					Dowd Springs non-fold test rocks		0	0	Dowd Springs non-fold test rocks
DS 33b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	97	-14.7		19.9	3/10					Dowd Springs non-fold test rocks		132	7	Dowd Springs non-fold test rocks
DS 33b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	95.7	-10.6		19.9	3/10					Dowd Springs non-fold test rocks		132	7	Dowd Springs non-fold test rocks
DS 34	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	101.9	-5		10.8	9/10					Dowd Springs non-fold test rocks		132	7	Dowd Springs non-fold test rocks
DS 34	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	101.6	-1.5		10.8	9/10					Dowd Springs non-fold test rocks		132	7	Dowd Springs non-fold test rocks
DS 35	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	103.8	-7.2		8.8	10/11					Dowd Springs non-fold test rocks		99	4	Dowd Springs non-fold test rocks
DS 35	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	103.3	-7.5		8.8	10/11					Dowd Springs non-fold test rocks		99	4	Dowd Springs non-fold test rocks
DS 36	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	108.7	-23		9.3	9/11					Dowd Springs non-fold test rocks		102	6	Dowd Springs non-fold test rocks
DS 36	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	106.1	-23.6		9.3	9/11					Dowd Springs non-fold test rocks		102	6	Dowd Springs non-fold test rocks
DS 37	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	107.6	6.6		12.4	9/10					Dowd Springs non-fold test rocks		120	10	Dowd Springs non-fold test rocks
DS 37	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	108.9	8.6		12.4	9/10					Dowd Springs non-fold test rocks		120	10	Dowd Springs non-fold test rocks
DS 38	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	91.7	-12.7		10.7	15/15					Dowd Springs non-fold test rocks		102	12	Dowd Springs non-fold test rocks
DS 38	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	89.3	-10.3		10.7	15/15					Dowd Springs non-fold test rocks		102	12	Dowd Springs non-fold test rocks
DS 39	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	261.7	-0.2		11.5	4/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 39	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	260.8	11.5		11.5	4/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 40	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	257.8	-38.7		12.7	4/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 40	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	270.5	12.7		12.7	4/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 41	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	261.2	-19.4		8.5	3/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 41	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	266.3	8.5		8.5	3/5					Dowd Springs fold test rocks		63	19	Dowd Springs fold test rocks
DS 42	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	271.2	-0.6		14.8	3/4					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
DS 42	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	270.3	14.8		14.8	3/4					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
DS 43	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	276.4	8.2		12.2	3/5					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
DS 43	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	276.7	12.2		12.2	3/5					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
DS 44	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	271.4	-6.8		7.9	5/5					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
DS 44	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	269.4	7.9		7.9	5/5					Dowd Springs fold test rocks		221	14	Dowd Springs fold test rocks
FG-AW-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	270.8	-9.3		16.5	5/6					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	267	-19		16.5	5/6					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	264.4	-10.5		9.4	6/6					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	260	-18		9.4	6/6					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	274	-7.6		11.8	4/5					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	271	-19		11.8	4/5					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-AW-04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	255.6	4.6		11.4	6/6					Flaming Gorge Section		236	18	Flaming Gorge Section
