tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	filtered_out_by_direction	strike	dip	section
SC 2a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	104.5	36		11.5	5/11					Sheep Creek Canyon	yes	325	81	Sheep Creek Canyon
SC 2a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	97.9	-25.3		11.5	5/11					Sheep Creek Canyon	yes	325	81	Sheep Creek Canyon
SC 5a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	102.6	58.7		12.7	4/12					Sheep Creek Canyon	yes	324	80	Sheep Creek Canyon
SC 5a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	77.4	-11		12.7	4/12					Sheep Creek Canyon	yes	324	80	Sheep Creek Canyon
SC 6a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	114	31.3		12.6	7/12					Sheep Creek Canyon	yes	325	78	Sheep Creek Canyon
SC 6a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	105.7	-18.8		12.6	7/12					Sheep Creek Canyon	yes	325	78	Sheep Creek Canyon
SC 9b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	97.5	-8.2		17.1	3/20					Sheep Creek Canyon		293	43	Sheep Creek Canyon
SC 9b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	107.2	-16.5		17.1	3/20					Sheep Creek Canyon		293	43	Sheep Creek Canyon
SC 10a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	81.2	33.3		11.9	3/3					Sheep Creek Canyon	yes	301	55	Sheep Creek Canyon
SC 10a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	71.3	-7.1		11.9	3/3					Sheep Creek Canyon	yes	301	55	Sheep Creek Canyon
SC 11	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	98.1	-12.5		4.1	12/12					Sheep Creek Canyon		296	39	Sheep Creek Canyon
SC 11	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	110	-20.9		4.1	12/12					Sheep Creek Canyon		296	39	Sheep Creek Canyon
SC 12	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	95.3	6.5		5.3	12/14					Sheep Creek Canyon		297	36	Sheep Creek Canyon
SC 12	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	95.5	-7.1		5.3	12/14					Sheep Creek Canyon		297	36	Sheep Creek Canyon
SC 13	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	88.7	15.6		6.5	2/7					Sheep Creek Canyon		286	38	Sheep Creek Canyon
SC 13	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	83	2		6.5	2/7					Sheep Creek Canyon		286	38	Sheep Creek Canyon
SC 13a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	82.3	32.9		12.5	3/7					Sheep Creek Canyon	yes	286	38	Sheep Creek Canyon
SC 13a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	68	12.7		12.5	3/7					Sheep Creek Canyon	yes	286	38	Sheep Creek Canyon
SC 14	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	105.3	6.4		3.4	4/15					Sheep Creek Canyon		301	39	Sheep Creek Canyon
SC 14	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	104.7	-4.7		3.4	4/15					Sheep Creek Canyon		301	39	Sheep Creek Canyon
SC 15	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	108	6.4		11.6	4/4					Sheep Creek Canyon		298	30	Sheep Creek Canyon
SC 15	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	106.2	0.6		11.6	4/4					Sheep Creek Canyon		298	30	Sheep Creek Canyon
SC 16	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	105.9	6		9.5	5/5					Sheep Creek Canyon		315	41	Sheep Creek Canyon
SC 16	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	108.5	-13.8		9.5	5/5					Sheep Creek Canyon		315	41	Sheep Creek Canyon
SC 17	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	90.5	10.2		7.5	9/9					Sheep Creek Canyon		308	41	Sheep Creek Canyon
