tab	sites
site	location	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	description	dir_polarity	vgp_lon	vgp_lat	vgp_dp	vgp_dm
D1	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	265.0	21.0	7.6	41.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	231.9	10.0	4.2	8.0
D2	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	264.0	29.0	7.9	38.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	233.6	14.4	4.8	8.7
D3	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	273.0	20.0	4.4	121.0	10.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	223.9	10.6	2.4	4.6
D4	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	268.0	21.0	5.5	150.0	6.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	228.9	10.4	3.0	5.8
D5	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	274.0	14.0	1.6	1807.0	6.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	222.4	7.6	0.8	1.6
D6	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	275.0	28.0	4.6	149.0	8.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	222.6	15.5	2.8	5.0
D7	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	258.0	29.0	6.1	72.0	9.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	239.4	13.6	3.7	6.7
D8	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	260.0	37.0	6.9	56.0	5.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	238.3	18.9	4.7	8.1
D9	central North Greenland	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	256.0	27.0	6.2	152.0	5.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology 	r	241.2	12.1	3.7	6.7
D10	central North Greenland	b	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1111/j.1365-246X.1987.tb01660.x	Igneous	Volcanic Dike	Diabase	81.5	315.3			1380.0	1384.0	Ma	0.0	46.0	30.0	18.5	10.0	8.0	dates infered from 10.1007/s00410-004-0634-7 given updated methodology, was not used for mean pole 	r	87.2	21.9	11.4	20.5
